etf_id,date,dividend_per_unit,currency
AGG,2003-11-03,0.359,USD
AGG,2003-12-01,0.272,USD
AGG,2003-12-31,0.291,USD
AGG,2004-02-02,0.278,USD
AGG,2004-03-01,0.246,USD
AGG,2004-04-01,0.26,USD
AGG,2004-05-03,0.27,USD
AGG,2004-06-01,0.317,USD
AGG,2004-07-01,0.317,USD
AGG,2004-08-02,0.322,USD
AGG,2004-09-01,0.318,USD
AGG,2004-10-01,0.317,USD
AGG,2004-11-01,0.279,USD
AGG,2004-12-01,0.308,USD
AGG,2004-12-31,0.304,USD
AGG,2005-02-01,0.309,USD
AGG,2005-03-01,0.287,USD
AGG,2005-04-01,0.343,USD
AGG,2005-05-02,0.334,USD
AGG,2005-06-01,0.348,USD
AGG,2005-07-01,0.333,USD
AGG,2005-08-01,0.331,USD
AGG,2005-09-01,0.34,USD
AGG,2005-10-03,0.337,USD
AGG,2005-11-01,0.364,USD
AGG,2005-12-01,0.379,USD
AGG,2005-12-28,0.384,USD
AGG,2006-02-01,0.371,USD
AGG,2006-03-01,0.373,USD
AGG,2006-04-03,0.383,USD
AGG,2006-05-01,0.375,USD
AGG,2006-06-01,0.383,USD
AGG,2006-07-03,0.388,USD
AGG,2006-08-01,0.409,USD
AGG,2006-09-01,0.393,USD
AGG,2006-10-02,0.414,USD
AGG,2006-11-01,0.422,USD
AGG,2006-12-01,0.398,USD
AGG,2006-12-27,0.369,USD
AGG,2007-02-01,0.393,USD
AGG,2007-03-01,0.394,USD
AGG,2007-04-02,0.389,USD
AGG,2007-05-01,0.382,USD
AGG,2007-06-01,0.428,USD
AGG,2007-07-02,0.421,USD
AGG,2007-08-01,0.431,USD
AGG,2007-09-04,0.429,USD
AGG,2007-10-01,0.414,USD
AGG,2007-11-01,0.417,USD
AGG,2007-12-03,0.407,USD
AGG,2007-12-27,0.409,USD
AGG,2008-02-01,0.415,USD
AGG,2008-03-03,0.383,USD
AGG,2008-04-01,0.415,USD
AGG,2008-05-01,0.326,USD
AGG,2008-06-02,0.394,USD
AGG,2008-07-01,0.384,USD
AGG,2008-08-01,0.402,USD
AGG,2008-09-02,0.394,USD
AGG,2008-10-01,0.39,USD
AGG,2008-11-03,0.4,USD
AGG,2008-12-01,0.403,USD
AGG,2008-12-29,0.376,USD
AGG,2009-02-02,0.366,USD
AGG,2009-03-02,0.327,USD
AGG,2009-04-01,0.351,USD
AGG,2009-05-01,0.329,USD
AGG,2009-06-01,0.308,USD
AGG,2009-07-01,0.342,USD
AGG,2009-08-03,0.334,USD
AGG,2009-09-01,0.332,USD
AGG,2009-10-01,0.342,USD
AGG,2009-11-02,0.324,USD
AGG,2009-12-01,0.353,USD
AGG,2009-12-29,0.302,USD
AGG,2010-02-01,0.327,USD
AGG,2010-03-01,0.323,USD
AGG,2010-04-01,0.321,USD
AGG,2010-05-03,0.312,USD
AGG,2010-06-01,0.324,USD
AGG,2010-07-01,0.314,USD
AGG,2010-08-02,0.294,USD
AGG,2010-09-01,0.298,USD
AGG,2010-10-01,0.265,USD
AGG,2010-11-01,0.276,USD
AGG,2010-12-01,0.553,USD
AGG,2010-12-28,0.344,USD
AGG,2011-02-01,0.316,USD
AGG,2011-03-01,0.285,USD
AGG,2011-04-01,0.313,USD
AGG,2011-05-02,0.316,USD
AGG,2011-06-01,0.313,USD
AGG,2011-07-01,0.304,USD
AGG,2011-08-01,0.3,USD
AGG,2011-09-01,0.232,USD
AGG,2011-10-03,0.219,USD
AGG,2011-11-01,0.287,USD
AGG,2011-12-01,0.578,USD
AGG,2011-12-27,0.028,USD
AGG,2012-02-01,0.275,USD
AGG,2012-03-01,0.277,USD
AGG,2012-04-02,0.243,USD
AGG,2012-05-01,0.23,USD
AGG,2012-06-01,0.238,USD
AGG,2012-07-02,0.223,USD
AGG,2012-08-01,0.22,USD
AGG,2012-09-04,0.219,USD
AGG,2012-10-01,0.207,USD
AGG,2012-11-01,0.243,USD
AGG,2012-12-03,0.666,USD
AGG,2012-12-26,0.23,USD
AGG,2013-02-01,0.211,USD
AGG,2013-03-01,0.209,USD
