Stock_ID,Ex-Dividend Date,Dividend Per Unit
BIV,2007-05-01 00:00:00-04:00,0.21
BIV,2007-06-01 00:00:00-04:00,0.236
BIV,2007-07-02 00:00:00-04:00,0.219
BIV,2007-08-01 00:00:00-04:00,0.241
BIV,2007-09-04 00:00:00-04:00,0.3
BIV,2007-10-01 00:00:00-04:00,0.298
BIV,2007-11-01 00:00:00-04:00,0.295
BIV,2007-12-03 00:00:00-05:00,0.295
BIV,2007-12-24 00:00:00-05:00,0.295
BIV,2008-02-01 00:00:00-05:00,0.294
BIV,2008-03-03 00:00:00-05:00,0.258
BIV,2008-04-01 00:00:00-04:00,0.306
BIV,2008-05-01 00:00:00-04:00,0.277
BIV,2008-06-02 00:00:00-04:00,0.307
BIV,2008-07-01 00:00:00-04:00,0.299
BIV,2008-08-01 00:00:00-04:00,0.304
BIV,2008-09-02 00:00:00-04:00,0.305
BIV,2008-10-01 00:00:00-04:00,0.283
BIV,2008-11-03 00:00:00-05:00,0.309
BIV,2008-12-01 00:00:00-05:00,0.296
BIV,2008-12-24 00:00:00-05:00,0.296
BIV,2009-02-02 00:00:00-05:00,0.298
BIV,2009-03-02 00:00:00-05:00,0.266
BIV,2009-04-01 00:00:00-04:00,0.303
BIV,2009-05-01 00:00:00-04:00,0.286
BIV,2009-06-01 00:00:00-04:00,0.292
BIV,2009-07-01 00:00:00-04:00,0.291
BIV,2009-08-03 00:00:00-04:00,0.291
BIV,2009-09-01 00:00:00-04:00,0.286
BIV,2009-10-01 00:00:00-04:00,0.284
BIV,2009-11-02 00:00:00-05:00,0.296
BIV,2009-12-01 00:00:00-05:00,0.281
BIV,2009-12-28 00:00:00-05:00,0.298
BIV,2010-02-01 00:00:00-05:00,0.292
BIV,2010-03-01 00:00:00-05:00,0.264
BIV,2010-04-01 00:00:00-04:00,0.283
BIV,2010-05-03 00:00:00-04:00,0.283
BIV,2010-06-01 00:00:00-04:00,0.275
BIV,2010-07-01 00:00:00-04:00,0.271
BIV,2010-08-02 00:00:00-04:00,0.277
BIV,2010-09-01 00:00:00-04:00,0.278
BIV,2010-10-01 00:00:00-04:00,0.27
BIV,2010-11-01 00:00:00-04:00,0.276
BIV,2010-12-01 00:00:00-05:00,0.271
BIV,2010-12-27 00:00:00-05:00,0.706
BIV,2011-02-01 00:00:00-05:00,0.279
BIV,2011-03-01 00:00:00-05:00,0.252
BIV,2011-03-23 00:00:00-04:00,0.295
BIV,2011-04-01 00:00:00-04:00,0.283
BIV,2011-05-02 00:00:00-04:00,0.271
BIV,2011-06-01 00:00:00-04:00,0.276
BIV,2011-07-01 00:00:00-04:00,0.26
BIV,2011-08-01 00:00:00-04:00,0.276
BIV,2011-09-01 00:00:00-04:00,0.267
BIV,2011-10-03 00:00:00-04:00,0.249
BIV,2011-11-01 00:00:00-04:00,0.258
BIV,2011-12-01 00:00:00-05:00,0.25
BIV,2011-12-23 00:00:00-05:00,1.281
BIV,2012-02-01 00:00:00-05:00,0.252
BIV,2012-03-01 00:00:00-05:00,0.232
BIV,2012-04-02 00:00:00-04:00,0.509
BIV,2012-05-01 00:00:00-04:00,0.229
BIV,2012-06-01 00:00:00-04:00,0.236
BIV,2012-07-02 00:00:00-04:00,0.229
BIV,2012-08-01 00:00:00-04:00,0.232
BIV,2012-09-04 00:00:00-04:00,0.231
BIV,2012-10-01 00:00:00-04:00,0.22
BIV,2012-12-03 00:00:00-05:00,0.214
BIV,2012-12-24 00:00:00-05:00,1.621
BIV,2013-02-01 00:00:00-05:00,0.213
BIV,2013-03-01 00:00:00-05:00,0.195
BIV,2013-04-01 00:00:00-04:00,0.55
BIV,2013-05-01 00:00:00-04:00,0.204
BIV,2013-06-03 00:00:00-04:00,0.21
BIV,2013-07-01 00:00:00-04:00,0.206
BIV,2013-08-01 00:00:00-04:00,0.223
BIV,2013-09-03 00:00:00-04:00,0.214
BIV,2013-10-01 00:00:00-04:00,0.205
BIV,2013-11-01 00:00:00-04:00,0.212
BIV,2013-12-02 00:00:00-05:00,0.207
BIV,2013-12-24 00:00:00-05:00,0.804
BIV,2014-02-03 00:00:00-05:00,0.241
BIV,2014-03-03 00:00:00-05:00,0.188
BIV,2014-04-01 00:00:00-04:00,0.244
BIV,2014-05-01 00:00:00-04:00,0.194
BIV,2014-06-02 00:00:00-04:00,0.204
BIV,2014-07-01 00:00:00-04:00,0.198
BIV,2014-08-01 00:00:00-04:00,0.2
BIV,2014-09-02 00:00:00-04:00,0.199
BIV,2014-10-01 00:00:00-04:00,0.188
BIV,2014-11-03 00:00:00-05:00,0.197
BIV,2014-12-01 00:00:00-05:00,0.192
BIV,2014-12-23 00:00:00-05:00,0.653
BIV,2015-02-02 00:00:00-05:00,0.192
BIV,2015-03-02 00:00:00-05:00,0.175
BIV,2015-04-01 00:00:00-04:00,0.215
BIV,2015-05-01 00:00:00-04:00,0.186
BIV,2015-06-01 00:00:00-04:00,0.193
BIV,2015-07-01 00:00:00-04:00,0.185
BIV,2015-08-03 00:00:00-04:00,0.19
BIV,2015-09-01 00:00:00-04:00,0.184
BIV,2015-10-01 00:00:00-04:00,0.183
BIV,2015-11-02 00:00:00-05:00,0.18
BIV,2015-12-01 00:00:00-05:00,0.181
BIV,2015-12-23 00:00:00-05:00,0.446
BIV,2016-02-01 00:00:00-05:00,0.188
BIV,2016-03-01 00:00:00-05:00,0.176
BIV,2016-04-01 00:00:00-04:00,0.185
BIV,2016-05-02 00:00:00-04:00,0.177
BIV,2016-06-01 00:00:00-04:00,0.181
BIV,2016-07-01 00:00:00-04:00,0.177
BIV,2016-08-01 00:00:00-04:00,0.185
BIV,2016-09-01 00:00:00-04:00,0.181
BIV,2016-10-03 00:00:00-04:00,0.174
BIV,2016-11-01 00:00:00-04:00,0.179
BIV,2016-12-01 00:00:00-05:00,0.176
BIV,2016-12-22 00:00:00-05:00,0.002
BIV,2017-02-01 00:00:00-05:00,0.178
BIV,2017-03-01 00:00:00-05:00,0.166
BIV,2017-04-03 00:00:00-04:00,0.185
BIV,2017-05-01 00:00:00-04:00,0.178
BIV,2017-06-01 00:00:00-04:00,0.184
BIV,2017-07-03 00:00:00-04:00,0.178
BIV,2017-08-01 00:00:00-04:00,0.184
BIV,2017-09-01 00:00:00-04:00,0.186
BIV,2017-10-02 00:00:00-04:00,0.181
BIV,2017-11-01 00:00:00-04:00,0.186
BIV,2017-12-01 00:00:00-05:00,0.18
BIV,2017-12-26 00:00:00-05:00,0.268
BIV,2018-02-01 00:00:00-05:00,0.187
BIV,2018-03-01 00:00:00-05:00,0.171
BIV,2018-04-02 00:00:00-04:00,0.195
BIV,2018-05-01 00:00:00-04:00,0.189
BIV,2018-06-01 00:00:00-04:00,0.197
BIV,2018-07-02 00:00:00-04:00,0.201
BIV,2018-08-01 00:00:00-04:00,0.203
BIV,2018-09-04 00:00:00-04:00,0.2
BIV,2018-10-01 00:00:00-04:00,0.195
BIV,2018-11-01 00:00:00-04:00,0.201
BIV,2018-12-03 00:00:00-05:00,0.197
BIV,2018-12-24 00:00:00-05:00,0.201
BIV,2019-02-01 00:00:00-05:00,0.218
BIV,2019-03-01 00:00:00-05:00,0.189
BIV,2019-04-01 00:00:00-04:00,0.205
BIV,2019-05-01 00:00:00-04:00,0.197
BIV,2019-06-03 00:00:00-04:00,0.205
BIV,2019-07-01 00:00:00-04:00,0.198
BIV,2019-08-01 00:00:00-04:00,0.204
BIV,2019-09-03 00:00:00-04:00,0.202
BIV,2019-10-01 00:00:00-04:00,0.194
BIV,2019-11-01 00:00:00-04:00,0.198
BIV,2019-12-02 00:00:00-05:00,0.191
BIV,2019-12-23 00:00:00-05:00,0.197
BIV,2020-02-03 00:00:00-05:00,0.207
BIV,2020-03-02 00:00:00-05:00,0.181
BIV,2020-04-01 00:00:00-04:00,0.204
BIV,2020-05-01 00:00:00-04:00,0.178
BIV,2020-06-01 00:00:00-04:00,0.182
BIV,2020-07-01 00:00:00-04:00,0.172
BIV,2020-08-03 00:00:00-04:00,0.172
BIV,2020-09-01 00:00:00-04:00,0.168
BIV,2020-10-01 00:00:00-04:00,0.158
BIV,2020-11-02 00:00:00-05:00,0.163
BIV,2020-12-01 00:00:00-05:00,0.154
BIV,2020-12-23 00:00:00-05:00,0.805
BIV,2021-02-01 00:00:00-05:00,0.154
BIV,2021-03-01 00:00:00-05:00,0.138
BIV,2021-04-01 00:00:00-04:00,0.461
BIV,2021-05-03 00:00:00-04:00,0.143
BIV,2021-06-01 00:00:00-04:00,0.148
BIV,2021-07-01 00:00:00-04:00,0.141
BIV,2021-08-02 00:00:00-04:00,0.145
BIV,2021-09-01 00:00:00-04:00,0.143
BIV,2021-10-01 00:00:00-04:00,0.138
BIV,2021-11-01 00:00:00-04:00,0.141
BIV,2021-12-01 00:00:00-05:00,0.138
BIV,2021-12-23 00:00:00-05:00,1.11
BIV,2022-02-01 00:00:00-05:00,0.139
BIV,2022-03-01 00:00:00-05:00,0.126
BIV,2022-04-01 00:00:00-04:00,0.166
BIV,2022-05-02 00:00:00-04:00,0.138
BIV,2022-06-01 00:00:00-04:00,0.144
BIV,2022-07-01 00:00:00-04:00,0.142
BIV,2022-08-01 00:00:00-04:00,0.148
BIV,2022-09-01 00:00:00-04:00,0.148
BIV,2022-10-03 00:00:00-04:00,0.148
BIV,2022-11-01 00:00:00-04:00,0.161
BIV,2022-12-01 00:00:00-05:00,0.161
BIV,2022-12-23 00:00:00-05:00,0.172
BIV,2023-02-01 00:00:00-05:00,0.175
BIV,2023-03-01 00:00:00-05:00,0.163
BIV,2023-04-03 00:00:00-04:00,0.188
BIV,2023-05-01 00:00:00-04:00,0.183
BIV,2023-06-01 00:00:00-04:00,0.193
BIV,2023-07-03 00:00:00-04:00,0.192
BIV,2023-08-01 00:00:00-04:00,0.203
BIV,2023-09-01 00:00:00-04:00,0.207
BIV,2023-10-02 00:00:00-04:00,0.206
BIV,2023-11-01 00:00:00-04:00,0.216
BIV,2023-12-01 00:00:00-05:00,0.213
BIV,2023-12-22 00:00:00-05:00,0.225
BIV,2024-02-01 00:00:00-05:00,0.226
BIV,2024-03-01 00:00:00-05:00,0.211
BIV,2024-04-01 00:00:00-04:00,0.234
BIV,2024-05-01 00:00:00-04:00,0.228
BIV,2024-06-03 00:00:00-04:00,0.238
BIV,2024-07-01 00:00:00-04:00,0.234
BIV,2024-08-01 00:00:00-04:00,0.242
BIV,2024-09-03 00:00:00-04:00,0.243
BIV,2024-10-01 00:00:00-04:00,0.236
BIV,2024-11-01 00:00:00-04:00,0.247
BIV,2024-12-02 00:00:00-05:00,0.241
BIV,2024-12-24 00:00:00-05:00,0.253
BIV,2025-02-03 00:00:00-05:00,0.253
BIV,2025-03-03 00:00:00-05:00,0.233
BIV,2025-04-01 00:00:00-04:00,0.261
BIV,2025-05-01 00:00:00-04:00,0.253
BIV,2025-06-02 00:00:00-04:00,0.266
