Stock_ID,Ex-Dividend Date,Dividend Per Unit
BNDX,2013-07-01 00:00:00-04:00,0.054
BNDX,2013-08-01 00:00:00-04:00,0.07
BNDX,2013-09-03 00:00:00-04:00,0.049
BNDX,2013-10-01 00:00:00-04:00,0.069
BNDX,2013-11-01 00:00:00-04:00,0.064
BNDX,2013-12-02 00:00:00-05:00,0.05
BNDX,2013-12-24 00:00:00-05:00,0.073
BNDX,2014-02-03 00:00:00-05:00,0.059
BNDX,2014-03-03 00:00:00-05:00,0.06
BNDX,2014-04-01 00:00:00-04:00,0.065
BNDX,2014-05-01 00:00:00-04:00,0.068
BNDX,2014-06-02 00:00:00-04:00,0.06
BNDX,2014-07-01 00:00:00-04:00,0.059
BNDX,2014-08-01 00:00:00-04:00,0.075
BNDX,2014-09-02 00:00:00-04:00,0.064
BNDX,2014-10-01 00:00:00-04:00,0.055
BNDX,2014-11-03 00:00:00-05:00,0.074
BNDX,2014-12-01 00:00:00-05:00,0.085
BNDX,2014-12-23 00:00:00-05:00,0.093
BNDX,2015-02-02 00:00:00-05:00,0.072
BNDX,2015-03-02 00:00:00-05:00,0.062
BNDX,2015-04-01 00:00:00-04:00,0.056
BNDX,2015-05-01 00:00:00-04:00,0.061
BNDX,2015-06-01 00:00:00-04:00,0.051
BNDX,2015-07-01 00:00:00-04:00,0.062
BNDX,2015-08-03 00:00:00-04:00,0.051
BNDX,2015-09-01 00:00:00-04:00,0.057
BNDX,2015-10-01 00:00:00-04:00,0.062
BNDX,2015-11-02 00:00:00-05:00,0.081
BNDX,2015-12-01 00:00:00-05:00,0.11
BNDX,2015-12-23 00:00:00-05:00,0.135
BNDX,2016-02-01 00:00:00-05:00,0.056
BNDX,2016-03-01 00:00:00-05:00,0.055
BNDX,2016-04-01 00:00:00-04:00,0.056
BNDX,2016-05-02 00:00:00-04:00,0.056
BNDX,2016-06-01 00:00:00-04:00,0.055
BNDX,2016-07-01 00:00:00-04:00,0.056
BNDX,2016-08-01 00:00:00-04:00,0.05
BNDX,2016-09-01 00:00:00-04:00,0.056
BNDX,2016-10-03 00:00:00-04:00,0.056
BNDX,2016-11-01 00:00:00-04:00,0.061
BNDX,2016-12-01 00:00:00-05:00,0.066
BNDX,2016-12-22 00:00:00-05:00,0.404
BNDX,2017-02-01 00:00:00-05:00,0.045
BNDX,2017-03-01 00:00:00-05:00,0.046
BNDX,2017-04-03 00:00:00-04:00,0.046
BNDX,2017-05-01 00:00:00-04:00,0.046
BNDX,2017-06-01 00:00:00-04:00,0.047
BNDX,2017-07-03 00:00:00-04:00,0.049
BNDX,2017-08-01 00:00:00-04:00,0.048
BNDX,2017-09-01 00:00:00-04:00,0.049
BNDX,2017-10-02 00:00:00-04:00,0.049
BNDX,2017-11-01 00:00:00-04:00,0.048
BNDX,2017-12-01 00:00:00-05:00,0.048
BNDX,2017-12-26 00:00:00-05:00,0.691
BNDX,2018-02-01 00:00:00-05:00,0.049
BNDX,2018-03-01 00:00:00-05:00,0.043
BNDX,2018-04-02 00:00:00-04:00,0.052
BNDX,2018-05-01 00:00:00-04:00,0.043
BNDX,2018-06-01 00:00:00-04:00,0.047
BNDX,2018-07-02 00:00:00-04:00,0.048
BNDX,2018-08-01 00:00:00-04:00,0.05
BNDX,2018-09-04 00:00:00-04:00,0.051
BNDX,2018-10-01 00:00:00-04:00,0.05
BNDX,2018-11-01 00:00:00-04:00,0.054
BNDX,2018-12-03 00:00:00-05:00,0.052
BNDX,2018-12-24 00:00:00-05:00,1.094
BNDX,2019-02-01 00:00:00-05:00,0.054
BNDX,2019-03-01 00:00:00-05:00,0.046
BNDX,2019-04-01 00:00:00-04:00,0.053
BNDX,2019-05-01 00:00:00-04:00,0.051
BNDX,2019-06-03 00:00:00-04:00,0.054
BNDX,2019-07-01 00:00:00-04:00,0.055
BNDX,2019-08-01 00:00:00-04:00,0.054
BNDX,2019-09-03 00:00:00-04:00,0.053
BNDX,2019-10-01 00:00:00-04:00,0.052
BNDX,2019-11-01 00:00:00-04:00,0.052
BNDX,2019-12-02 00:00:00-05:00,0.05
BNDX,2019-12-23 00:00:00-05:00,1.352
BNDX,2020-02-03 00:00:00-05:00,0.045
BNDX,2020-03-02 00:00:00-05:00,0.044
BNDX,2020-04-01 00:00:00-04:00,0.051
BNDX,2020-05-01 00:00:00-04:00,0.047
BNDX,2020-06-01 00:00:00-04:00,0.048
BNDX,2020-07-01 00:00:00-04:00,0.047
BNDX,2020-08-03 00:00:00-04:00,0.048
BNDX,2020-09-01 00:00:00-04:00,0.047
BNDX,2020-10-01 00:00:00-04:00,0.046
BNDX,2020-11-02 00:00:00-05:00,0.047
BNDX,2020-12-01 00:00:00-05:00,0.045
BNDX,2020-12-23 00:00:00-05:00,0.136
BNDX,2021-02-01 00:00:00-05:00,0.045
BNDX,2021-03-01 00:00:00-05:00,0.045
BNDX,2021-04-01 00:00:00-04:00,0.041
BNDX,2021-05-03 00:00:00-04:00,0.039
BNDX,2021-06-01 00:00:00-04:00,0.041
BNDX,2021-07-01 00:00:00-04:00,0.042
BNDX,2021-08-02 00:00:00-04:00,0.041
BNDX,2021-09-01 00:00:00-04:00,0.04
BNDX,2021-10-01 00:00:00-04:00,0.038
BNDX,2021-11-01 00:00:00-04:00,0.039
BNDX,2021-12-01 00:00:00-05:00,0.034
BNDX,2021-12-23 00:00:00-05:00,1.618
BNDX,2022-02-01 00:00:00-05:00,0.047
BNDX,2022-03-01 00:00:00-05:00,0.035
BNDX,2022-04-01 00:00:00-04:00,0.038
BNDX,2022-05-02 00:00:00-04:00,0.038
BNDX,2022-06-01 00:00:00-04:00,0.042
BNDX,2022-07-01 00:00:00-04:00,0.043
BNDX,2022-08-01 00:00:00-04:00,0.049
BNDX,2022-09-01 00:00:00-04:00,0.048
BNDX,2022-10-03 00:00:00-04:00,0.05
BNDX,2022-11-01 00:00:00-04:00,0.054
BNDX,2022-12-01 00:00:00-05:00,0.06
BNDX,2022-12-23 00:00:00-05:00,0.215
BNDX,2023-02-01 00:00:00-05:00,0.063
BNDX,2023-03-01 00:00:00-05:00,0.059
BNDX,2023-04-03 00:00:00-04:00,0.072
BNDX,2023-05-01 00:00:00-04:00,0.07
BNDX,2023-06-01 00:00:00-04:00,0.073
BNDX,2023-07-03 00:00:00-04:00,0.078
BNDX,2023-08-01 00:00:00-04:00,0.082
