etf_id,date,dividend_per_unit,currency
DGRO,2014-09-24,0.169,USD
DGRO,2014-12-24,0.089,USD
DGRO,2015-03-25,0.168,USD
DGRO,2015-06-24,0.169,USD
DGRO,2015-09-25,0.163,USD
DGRO,2015-12-24,0.136,USD
DGRO,2015-12-29,0.011,USD
DGRO,2016-06-21,0.171,USD
DGRO,2016-09-26,0.175,USD
DGRO,2016-12-21,0.152,USD
DGRO,2017-03-24,0.161,USD
DGRO,2017-06-27,0.186,USD
DGRO,2017-09-26,0.165,USD
DGRO,2017-12-19,0.194,USD
DGRO,2018-03-22,0.192,USD
DGRO,2018-06-26,0.191,USD
DGRO,2018-09-26,0.228,USD
DGRO,2018-12-17,0.2,USD
DGRO,2019-03-20,0.218,USD
DGRO,2019-06-17,0.228,USD
DGRO,2019-09-24,0.25,USD
DGRO,2019-12-16,0.235,USD
DGRO,2020-03-25,0.247,USD
DGRO,2020-06-15,0.249,USD
DGRO,2020-09-23,0.261,USD
DGRO,2020-12-14,0.273,USD
DGRO,2021-03-25,0.262,USD
DGRO,2021-06-10,0.261,USD
DGRO,2021-09-24,0.25,USD
DGRO,2021-12-13,0.299,USD
DGRO,2022-03-24,0.262,USD
DGRO,2022-06-09,0.235,USD
DGRO,2022-09-26,0.342,USD
DGRO,2022-12-13,0.329,USD
DGRO,2023-03-23,0.298,USD
DGRO,2023-06-07,0.26,USD
DGRO,2023-09-26,0.388,USD
DGRO,2023-12-20,0.37,USD
DGRO,2024-03-21,0.311,USD
DGRO,2024-06-11,0.293,USD
DGRO,2024-09-25,0.403,USD
DGRO,2024-12-17,0.378,USD
DGRO,2025-03-18,0.311,USD
DGRO,2025-06-16,0.324,USD
