etf_id,date,dividend_per_unit,currency
EFA,2001-10-02,0.055333,USD
EFA,2001-12-24,0.027333,USD
EFA,2002-12-23,0.627333,USD
EFA,2003-12-16,0.156667,USD
EFA,2003-12-22,0.522667,USD
EFA,2004-12-23,0.803,USD
EFA,2005-12-23,1.11,USD
EFA,2006-12-21,1.533,USD
EFA,2007-12-24,2.0,USD
EFA,2008-06-25,1.308,USD
EFA,2008-12-23,0.541,USD
EFA,2009-06-23,0.945,USD
EFA,2009-12-22,0.496,USD
EFA,2010-06-23,0.859,USD
EFA,2010-12-21,0.538,USD
EFA,2011-06-22,1.141,USD
EFA,2011-12-20,0.569,USD
EFA,2012-06-21,1.149,USD
EFA,2012-12-18,0.61,USD
EFA,2013-06-27,1.152,USD
EFA,2013-12-18,0.552,USD
EFA,2014-06-25,1.676,USD
EFA,2014-12-17,0.585,USD
EFA,2015-06-25,1.111,USD
EFA,2015-12-21,0.508,USD
EFA,2016-06-22,1.175,USD
EFA,2016-12-21,0.596,USD
EFA,2017-06-20,1.062,USD
EFA,2017-12-19,0.743,USD
EFA,2018-06-19,1.354,USD
EFA,2018-12-18,0.638,USD
EFA,2019-06-17,1.376,USD
EFA,2019-12-16,0.776,USD
EFA,2020-06-15,0.858,USD
EFA,2020-12-14,0.694,USD
EFA,2021-06-10,1.102,USD
EFA,2021-12-13,1.352,USD
EFA,2021-12-30,0.163,USD
EFA,2022-06-09,1.498,USD
EFA,2022-12-13,0.268,USD
EFA,2023-06-07,1.311,USD
EFA,2023-12-20,0.931,USD
EFA,2024-06-11,1.393,USD
EFA,2024-12-17,1.057,USD
EFA,2025-06-16,1.519,USD
