Stock_ID,Ex-Dividend Date,Dividend Per Unit
GOVT,2012-04-02 00:00:00-04:00,0.015
GOVT,2012-05-01 00:00:00-04:00,0.02
GOVT,2012-06-01 00:00:00-04:00,0.019
GOVT,2012-07-02 00:00:00-04:00,0.02
GOVT,2012-08-01 00:00:00-04:00,0.021
GOVT,2012-09-04 00:00:00-04:00,0.02
GOVT,2012-10-01 00:00:00-04:00,0.019
GOVT,2012-12-03 00:00:00-05:00,0.033
GOVT,2012-12-26 00:00:00-05:00,0.016
GOVT,2013-02-01 00:00:00-05:00,0.019
GOVT,2013-03-01 00:00:00-05:00,0.017
GOVT,2013-04-01 00:00:00-04:00,0.02
GOVT,2013-05-01 00:00:00-04:00,0.026
GOVT,2013-06-03 00:00:00-04:00,0.016
GOVT,2013-07-01 00:00:00-04:00,0.015
GOVT,2013-08-01 00:00:00-04:00,0.018
GOVT,2013-09-03 00:00:00-04:00,0.017
GOVT,2013-10-01 00:00:00-04:00,0.018
GOVT,2013-11-01 00:00:00-04:00,0.021
GOVT,2013-12-02 00:00:00-05:00,0.02
GOVT,2013-12-26 00:00:00-05:00,0.022
GOVT,2014-02-03 00:00:00-05:00,0.023
GOVT,2014-03-03 00:00:00-05:00,0.021
GOVT,2014-04-01 00:00:00-04:00,0.024
GOVT,2014-05-01 00:00:00-04:00,0.025
GOVT,2014-06-02 00:00:00-04:00,0.023
GOVT,2014-07-01 00:00:00-04:00,0.025
GOVT,2014-08-01 00:00:00-04:00,0.025
GOVT,2014-09-02 00:00:00-04:00,0.025
GOVT,2014-10-01 00:00:00-04:00,0.023
GOVT,2014-11-03 00:00:00-05:00,0.027
GOVT,2014-12-01 00:00:00-05:00,0.027
GOVT,2014-12-24 00:00:00-05:00,0.026
GOVT,2015-02-02 00:00:00-05:00,0.029
GOVT,2015-03-02 00:00:00-05:00,0.023
GOVT,2015-04-01 00:00:00-04:00,0.025
GOVT,2015-05-01 00:00:00-04:00,0.02
GOVT,2015-06-01 00:00:00-04:00,0.02
GOVT,2015-07-01 00:00:00-04:00,0.026
GOVT,2015-08-03 00:00:00-04:00,0.028
GOVT,2015-09-01 00:00:00-04:00,0.028
GOVT,2015-10-01 00:00:00-04:00,0.028
GOVT,2015-11-02 00:00:00-05:00,0.029
GOVT,2015-12-01 00:00:00-05:00,0.028
GOVT,2015-12-24 00:00:00-05:00,0.028
GOVT,2016-02-01 00:00:00-05:00,0.03
GOVT,2016-05-02 00:00:00-04:00,0.03
GOVT,2016-06-01 00:00:00-04:00,0.032
GOVT,2016-07-01 00:00:00-04:00,0.03
GOVT,2016-08-01 00:00:00-04:00,0.03
GOVT,2016-09-01 00:00:00-04:00,0.029
GOVT,2016-10-03 00:00:00-04:00,0.028
GOVT,2016-11-01 00:00:00-04:00,0.029
GOVT,2016-12-01 00:00:00-05:00,0.028
GOVT,2016-12-22 00:00:00-05:00,0.024
GOVT,2017-02-01 00:00:00-05:00,0.025
GOVT,2017-03-01 00:00:00-05:00,0.028
GOVT,2017-04-03 00:00:00-04:00,0.03
GOVT,2017-05-01 00:00:00-04:00,0.033
GOVT,2017-06-01 00:00:00-04:00,0.034
GOVT,2017-07-03 00:00:00-04:00,0.033
GOVT,2017-08-01 00:00:00-04:00,0.035
GOVT,2017-09-01 00:00:00-04:00,0.035
GOVT,2017-10-02 00:00:00-04:00,0.034
GOVT,2017-11-01 00:00:00-04:00,0.036
GOVT,2017-12-01 00:00:00-05:00,0.035
GOVT,2017-12-21 00:00:00-05:00,0.036
GOVT,2018-02-01 00:00:00-05:00,0.037
GOVT,2018-03-01 00:00:00-05:00,0.035
GOVT,2018-04-02 00:00:00-04:00,0.038
GOVT,2018-05-01 00:00:00-04:00,0.039
GOVT,2018-06-01 00:00:00-04:00,0.043
GOVT,2018-07-02 00:00:00-04:00,0.039
GOVT,2018-08-01 00:00:00-04:00,0.043
GOVT,2018-09-04 00:00:00-04:00,0.043
GOVT,2018-10-01 00:00:00-04:00,0.041
GOVT,2018-11-01 00:00:00-04:00,0.044
GOVT,2018-12-03 00:00:00-05:00,0.044
GOVT,2018-12-18 00:00:00-05:00,0.04
GOVT,2019-02-01 00:00:00-05:00,0.046
GOVT,2019-03-01 00:00:00-05:00,0.042
GOVT,2019-04-01 00:00:00-04:00,0.046
GOVT,2019-05-01 00:00:00-04:00,0.045
GOVT,2019-06-03 00:00:00-04:00,0.046
GOVT,2019-07-01 00:00:00-04:00,0.041
GOVT,2019-08-01 00:00:00-04:00,0.042
GOVT,2019-09-03 00:00:00-04:00,0.043
GOVT,2019-10-01 00:00:00-04:00,0.041
GOVT,2019-11-01 00:00:00-04:00,0.041
GOVT,2019-12-02 00:00:00-05:00,0.04
GOVT,2019-12-19 00:00:00-05:00,0.04
GOVT,2020-02-03 00:00:00-05:00,0.041
GOVT,2020-03-02 00:00:00-05:00,0.037
GOVT,2020-04-01 00:00:00-04:00,0.037
