Stock_ID,Ex-Dividend Date,Dividend Per Unit
IEFA,2012-12-18 00:00:00-05:00,0.171
IEFA,2013-06-27 00:00:00-04:00,0.776
IEFA,2013-12-18 00:00:00-05:00,0.539
IEFA,2014-06-25 00:00:00-04:00,1.169
IEFA,2014-12-17 00:00:00-05:00,0.546
IEFA,2015-06-25 00:00:00-04:00,0.999
IEFA,2015-12-21 00:00:00-05:00,0.431
IEFA,2016-06-22 00:00:00-04:00,0.995
IEFA,2016-12-21 00:00:00-05:00,0.594
IEFA,2017-06-20 00:00:00-04:00,0.965
IEFA,2017-12-19 00:00:00-05:00,0.731
IEFA,2018-06-19 00:00:00-04:00,1.151
IEFA,2018-12-18 00:00:00-05:00,0.752
IEFA,2019-06-17 00:00:00-04:00,1.197
IEFA,2019-12-16 00:00:00-05:00,0.88
IEFA,2020-06-15 00:00:00-04:00,0.7
IEFA,2020-12-14 00:00:00-05:00,0.612
IEFA,2021-06-10 00:00:00-04:00,1.088
IEFA,2021-12-13 00:00:00-05:00,1.277
IEFA,2021-12-30 00:00:00-05:00,0.11
IEFA,2022-06-09 00:00:00-04:00,1.332
IEFA,2022-12-13 00:00:00-05:00,0.335
IEFA,2023-06-07 00:00:00-04:00,1.284
IEFA,2023-12-20 00:00:00-05:00,0.968
IEFA,2024-06-11 00:00:00-04:00,1.31
IEFA,2024-12-17 00:00:00-05:00,1.13
IEFA,2025-06-16 00:00:00-04:00,1.467
