etf_id,date,dividend_per_unit,currency
IGSB,2007-02-01,0.143,USD
IGSB,2007-03-01,0.1975,USD
IGSB,2007-04-02,0.2025,USD
IGSB,2007-05-01,0.202,USD
IGSB,2007-06-01,0.2025,USD
IGSB,2007-07-02,0.1975,USD
IGSB,2007-08-01,0.2125,USD
IGSB,2007-09-04,0.2125,USD
IGSB,2007-10-01,0.207,USD
IGSB,2007-11-01,0.2065,USD
IGSB,2007-12-03,0.1805,USD
IGSB,2007-12-27,0.176,USD
IGSB,2008-02-01,0.157,USD
IGSB,2008-03-03,0.1355,USD
IGSB,2008-04-01,0.161,USD
IGSB,2008-05-01,0.1585,USD
IGSB,2008-06-02,0.159,USD
IGSB,2008-07-01,0.166,USD
IGSB,2008-08-01,0.19,USD
IGSB,2008-09-02,0.162,USD
IGSB,2008-10-01,0.175,USD
IGSB,2008-11-03,0.175,USD
IGSB,2008-12-01,0.175,USD
IGSB,2008-12-29,0.1685,USD
IGSB,2009-02-02,0.1775,USD
IGSB,2009-03-02,0.1835,USD
IGSB,2009-04-01,0.187,USD
IGSB,2009-05-01,0.1795,USD
IGSB,2009-06-01,0.171,USD
IGSB,2009-07-01,0.1655,USD
IGSB,2009-08-03,0.162,USD
IGSB,2009-09-01,0.1605,USD
IGSB,2009-10-01,0.152,USD
IGSB,2009-11-02,0.1385,USD
IGSB,2009-12-01,0.138,USD
IGSB,2009-12-29,0.123,USD
IGSB,2010-02-01,0.129,USD
IGSB,2010-03-01,0.1235,USD
IGSB,2010-04-01,0.116,USD
IGSB,2010-05-03,0.131,USD
IGSB,2010-06-01,0.107,USD
IGSB,2010-07-01,0.1095,USD
IGSB,2010-08-02,0.1035,USD
IGSB,2010-09-01,0.097,USD
IGSB,2010-10-01,0.101,USD
IGSB,2010-11-01,0.091,USD
IGSB,2010-12-01,0.1165,USD
IGSB,2010-12-28,0.09,USD
IGSB,2011-02-01,0.092,USD
IGSB,2011-03-01,0.0985,USD
IGSB,2011-04-01,0.086,USD
IGSB,2011-05-02,0.0885,USD
IGSB,2011-06-01,0.0835,USD
IGSB,2011-07-01,0.0855,USD
IGSB,2011-08-01,0.081,USD
IGSB,2011-09-01,0.078,USD
IGSB,2011-10-03,0.082,USD
IGSB,2011-11-01,0.075,USD
IGSB,2011-12-01,0.0755,USD
IGSB,2011-12-27,0.0665,USD
IGSB,2012-02-01,0.068,USD
IGSB,2012-03-01,0.0785,USD
IGSB,2012-04-02,0.0705,USD
IGSB,2012-05-01,0.0695,USD
IGSB,2012-06-01,0.069,USD
IGSB,2012-07-02,0.0705,USD
IGSB,2012-08-01,0.069,USD
IGSB,2012-09-04,0.066,USD
IGSB,2012-10-01,0.0665,USD
IGSB,2012-12-03,0.065,USD
IGSB,2012-12-26,0.0685,USD
IGSB,2013-02-01,0.0575,USD
IGSB,2013-03-01,0.063,USD
IGSB,2013-04-01,0.055,USD
IGSB,2013-05-01,0.0545,USD
IGSB,2013-06-03,0.052,USD
IGSB,2013-07-01,0.0525,USD
IGSB,2013-08-01,0.05,USD
IGSB,2013-09-03,0.0485,USD
IGSB,2013-10-01,0.048,USD
IGSB,2013-11-01,0.0465,USD
IGSB,2013-12-02,0.045,USD
IGSB,2013-12-26,0.0425,USD
IGSB,2014-02-03,0.0415,USD
IGSB,2014-03-03,0.045,USD
IGSB,2014-04-01,0.039,USD
IGSB,2014-05-01,0.0415,USD
IGSB,2014-06-02,0.038,USD
IGSB,2014-07-01,0.0395,USD
IGSB,2014-08-01,0.0385,USD
IGSB,2014-09-02,0.04,USD
IGSB,2014-10-01,0.0415,USD
IGSB,2014-11-03,0.0405,USD
IGSB,2014-12-01,0.0435,USD
IGSB,2014-12-24,0.0445,USD
IGSB,2015-02-02,0.043,USD
IGSB,2015-03-02,0.047,USD
IGSB,2015-04-01,0.0455,USD
IGSB,2015-05-01,0.049,USD
IGSB,2015-06-01,0.05,USD
IGSB,2015-07-01,0.052,USD
