Stock_ID,Ex-Dividend Date,Dividend Per Unit
IJH,2000-06-21 00:00:00-04:00,0.0068
IJH,2000-09-20 00:00:00-04:00,0.0204
IJH,2000-12-13 00:00:00-05:00,0.05
IJH,2001-03-12 00:00:00-05:00,0.0214
IJH,2001-06-11 00:00:00-04:00,0.0163
IJH,2001-10-02 00:00:00-04:00,0.0218
IJH,2001-12-17 00:00:00-05:00,0.0201
IJH,2002-03-11 00:00:00-05:00,0.0169
IJH,2002-06-17 00:00:00-04:00,0.0209
IJH,2002-09-16 00:00:00-04:00,0.0202
IJH,2002-12-16 00:00:00-05:00,0.0144
IJH,2003-03-10 00:00:00-05:00,0.0195
IJH,2003-06-16 00:00:00-04:00,0.0225
IJH,2003-09-15 00:00:00-04:00,0.0245
IJH,2003-12-15 00:00:00-05:00,0.0288
IJH,2003-12-16 00:00:00-05:00,0.0203
IJH,2003-12-31 00:00:00-05:00,0.0047
IJH,2004-03-29 00:00:00-05:00,0.0244
IJH,2004-06-28 00:00:00-04:00,0.0279
IJH,2004-09-27 00:00:00-04:00,0.028
IJH,2004-12-27 00:00:00-05:00,0.0346
IJH,2005-03-28 00:00:00-05:00,0.0456
IJH,2005-06-21 00:00:00-04:00,0.031
IJH,2005-09-26 00:00:00-04:00,0.0368
IJH,2005-12-23 00:00:00-05:00,0.0534
IJH,2006-03-27 00:00:00-05:00,0.0404
IJH,2006-06-23 00:00:00-04:00,0.0044
IJH,2006-09-27 00:00:00-04:00,0.0452
IJH,2006-12-21 00:00:00-05:00,0.0592
IJH,2007-03-26 00:00:00-04:00,0.082
IJH,2007-06-29 00:00:00-04:00,0.0412
IJH,2007-09-26 00:00:00-04:00,0.0428
IJH,2007-12-27 00:00:00-05:00,0.0538
IJH,2008-03-25 00:00:00-04:00,0.0348
IJH,2008-06-24 00:00:00-04:00,0.0528
IJH,2008-09-25 00:00:00-04:00,0.0532
IJH,2008-12-24 00:00:00-05:00,0.0766
IJH,2009-03-25 00:00:00-04:00,0.0402
IJH,2009-06-23 00:00:00-04:00,0.037
IJH,2009-09-23 00:00:00-04:00,0.0404
IJH,2009-12-24 00:00:00-05:00,0.0674
IJH,2010-03-25 00:00:00-04:00,0.0394
IJH,2010-06-23 00:00:00-04:00,0.0392
IJH,2010-09-24 00:00:00-04:00,0.0498
IJH,2010-12-23 00:00:00-05:00,0.0628
IJH,2011-03-25 00:00:00-04:00,0.0446
IJH,2011-06-23 00:00:00-04:00,0.0478
IJH,2011-09-26 00:00:00-04:00,0.0584
IJH,2011-12-22 00:00:00-05:00,0.0722
IJH,2012-03-26 00:00:00-04:00,0.0516
IJH,2012-06-19 00:00:00-04:00,0.0586
IJH,2012-09-25 00:00:00-04:00,0.063
IJH,2012-12-19 00:00:00-05:00,0.117
IJH,2013-03-25 00:00:00-04:00,0.07
IJH,2013-06-26 00:00:00-04:00,0.0888
IJH,2013-09-24 00:00:00-04:00,0.0902
IJH,2013-12-23 00:00:00-05:00,0.0964
IJH,2014-03-25 00:00:00-04:00,0.088
IJH,2014-06-24 00:00:00-04:00,0.0776
IJH,2014-09-24 00:00:00-04:00,0.0894
IJH,2014-12-24 00:00:00-05:00,0.1334
IJH,2015-03-25 00:00:00-04:00,0.0962
IJH,2015-06-24 00:00:00-04:00,0.0946
IJH,2015-09-25 00:00:00-04:00,0.1058
IJH,2015-12-24 00:00:00-05:00,0.1382
IJH,2016-03-23 00:00:00-04:00,0.1056
IJH,2016-06-21 00:00:00-04:00,0.1212
IJH,2016-09-26 00:00:00-04:00,0.1418
IJH,2016-12-21 00:00:00-05:00,0.1592
IJH,2017-03-24 00:00:00-04:00,0.1068
IJH,2017-06-27 00:00:00-04:00,0.1204
IJH,2017-09-26 00:00:00-04:00,0.1268
IJH,2017-12-19 00:00:00-05:00,0.0986
IJH,2018-03-22 00:00:00-04:00,0.14
IJH,2018-06-26 00:00:00-04:00,0.1696
IJH,2018-09-26 00:00:00-04:00,0.1684
IJH,2018-12-17 00:00:00-05:00,0.093
IJH,2019-03-20 00:00:00-04:00,0.1402
IJH,2019-06-17 00:00:00-04:00,0.1754
IJH,2019-09-24 00:00:00-04:00,0.1716
IJH,2019-12-16 00:00:00-05:00,0.182
IJH,2020-03-25 00:00:00-04:00,0.1602
IJH,2020-06-15 00:00:00-04:00,0.1298
IJH,2020-09-23 00:00:00-04:00,0.1666
IJH,2020-12-14 00:00:00-05:00,0.132
IJH,2021-03-25 00:00:00-04:00,0.1334
IJH,2021-06-10 00:00:00-04:00,0.1476
IJH,2021-09-24 00:00:00-04:00,0.1958
IJH,2021-12-13 00:00:00-05:00,0.1932
IJH,2022-03-24 00:00:00-04:00,0.1694
IJH,2022-06-09 00:00:00-04:00,0.158
IJH,2022-09-26 00:00:00-04:00,0.27
IJH,2022-12-13 00:00:00-05:00,0.2168
IJH,2023-03-23 00:00:00-04:00,0.1894
IJH,2023-06-07 00:00:00-04:00,0.1512
IJH,2023-09-26 00:00:00-04:00,0.2276
IJH,2023-12-20 00:00:00-05:00,0.2412
IJH,2024-03-21 00:00:00-04:00,0.16
IJH,2024-06-11 00:00:00-04:00,0.161
IJH,2024-09-25 00:00:00-04:00,0.239
IJH,2024-12-17 00:00:00-05:00,0.267
IJH,2025-03-18 00:00:00-04:00,0.163
IJH,2025-06-16 00:00:00-04:00,0.19
