Stock_ID,Ex-Dividend Date,Dividend Per Unit
IJR,2000-06-21 00:00:00-04:00,0.007167
IJR,2000-09-20 00:00:00-04:00,0.014167
IJR,2000-12-13 00:00:00-05:00,0.202667
IJR,2001-03-12 00:00:00-05:00,0.02
IJR,2001-06-11 00:00:00-04:00,0.018
IJR,2001-10-02 00:00:00-04:00,0.033833
IJR,2001-12-17 00:00:00-05:00,0.024833
IJR,2002-03-11 00:00:00-05:00,0.018167
IJR,2002-06-17 00:00:00-04:00,0.0255
IJR,2002-09-16 00:00:00-04:00,0.028833
IJR,2002-12-16 00:00:00-05:00,0.032833
IJR,2003-03-10 00:00:00-05:00,0.024333
IJR,2003-06-16 00:00:00-04:00,0.034833
IJR,2003-09-15 00:00:00-04:00,0.035833
IJR,2003-12-15 00:00:00-05:00,0.040833
IJR,2004-03-29 00:00:00-05:00,0.035833
IJR,2004-06-28 00:00:00-04:00,0.0505
IJR,2004-09-27 00:00:00-04:00,0.047167
IJR,2004-12-27 00:00:00-05:00,0.0655
IJR,2005-03-28 00:00:00-05:00,0.082
IJR,2005-06-21 00:00:00-04:00,0.0525
IJR,2005-09-26 00:00:00-04:00,0.0515
IJR,2005-12-23 00:00:00-05:00,0.0645
IJR,2006-03-27 00:00:00-05:00,0.0585
IJR,2006-06-23 00:00:00-04:00,0.0525
IJR,2006-09-27 00:00:00-04:00,0.0625
IJR,2006-12-21 00:00:00-05:00,0.0795
IJR,2007-03-26 00:00:00-04:00,0.0575
IJR,2007-06-29 00:00:00-04:00,0.132
IJR,2007-09-26 00:00:00-04:00,0.0615
IJR,2007-12-27 00:00:00-05:00,0.0955
IJR,2008-03-25 00:00:00-04:00,0.037
IJR,2008-06-24 00:00:00-04:00,0.078
IJR,2008-09-25 00:00:00-04:00,0.0895
IJR,2008-12-24 00:00:00-05:00,0.125
IJR,2009-03-25 00:00:00-04:00,0.062
IJR,2009-06-23 00:00:00-04:00,0.057
IJR,2009-09-23 00:00:00-04:00,0.0635
IJR,2009-12-24 00:00:00-05:00,0.085
IJR,2010-03-25 00:00:00-04:00,0.063
IJR,2010-06-23 00:00:00-04:00,0.0655
IJR,2010-09-24 00:00:00-04:00,0.0745
IJR,2010-12-23 00:00:00-05:00,0.1655
IJR,2011-03-25 00:00:00-04:00,0.065
IJR,2011-06-23 00:00:00-04:00,0.07
IJR,2011-09-26 00:00:00-04:00,0.093
IJR,2011-12-22 00:00:00-05:00,0.122
IJR,2012-03-26 00:00:00-04:00,0.112
IJR,2012-06-19 00:00:00-04:00,0.1355
IJR,2012-09-25 00:00:00-04:00,0.1015
IJR,2012-12-19 00:00:00-05:00,0.2975
IJR,2013-03-25 00:00:00-04:00,0.114
IJR,2013-06-26 00:00:00-04:00,0.134
IJR,2013-09-24 00:00:00-04:00,0.1235
IJR,2013-12-23 00:00:00-05:00,0.175
IJR,2014-03-25 00:00:00-04:00,0.156
IJR,2014-06-24 00:00:00-04:00,0.1595
IJR,2014-09-24 00:00:00-04:00,0.156
IJR,2014-12-24 00:00:00-05:00,0.2285
IJR,2015-03-25 00:00:00-04:00,0.21
IJR,2015-06-24 00:00:00-04:00,0.179
IJR,2015-09-25 00:00:00-04:00,0.179
IJR,2015-12-24 00:00:00-05:00,0.2495
IJR,2016-03-23 00:00:00-04:00,0.2095
IJR,2016-06-21 00:00:00-04:00,0.1785
IJR,2016-09-26 00:00:00-04:00,0.1765
IJR,2016-12-21 00:00:00-05:00,0.2705
IJR,2017-03-24 00:00:00-04:00,0.224
IJR,2017-06-27 00:00:00-04:00,0.206
IJR,2017-09-26 00:00:00-04:00,0.226
IJR,2017-12-19 00:00:00-05:00,0.265
IJR,2018-03-22 00:00:00-04:00,0.239
IJR,2018-06-26 00:00:00-04:00,0.247
IJR,2018-09-26 00:00:00-04:00,0.287
IJR,2018-12-17 00:00:00-05:00,0.321
IJR,2019-03-20 00:00:00-04:00,0.26
IJR,2019-06-17 00:00:00-04:00,0.251
IJR,2019-09-24 00:00:00-04:00,0.285
IJR,2019-12-16 00:00:00-05:00,0.411
IJR,2020-03-25 00:00:00-04:00,0.252
IJR,2020-06-15 00:00:00-04:00,0.235
IJR,2020-09-23 00:00:00-04:00,0.289
IJR,2020-12-14 00:00:00-05:00,0.248
IJR,2021-03-25 00:00:00-04:00,0.266
IJR,2021-06-10 00:00:00-04:00,0.253
IJR,2021-09-24 00:00:00-04:00,0.501
IJR,2021-12-13 00:00:00-05:00,0.734
IJR,2022-03-24 00:00:00-04:00,0.169
IJR,2022-06-09 00:00:00-04:00,0.302
IJR,2022-09-26 00:00:00-04:00,0.455
IJR,2022-12-13 00:00:00-05:00,0.412
IJR,2023-03-23 00:00:00-04:00,0.329
IJR,2023-06-07 00:00:00-04:00,0.351
IJR,2023-09-26 00:00:00-04:00,0.459
IJR,2023-12-20 00:00:00-05:00,0.283
IJR,2024-03-21 00:00:00-04:00,0.326
IJR,2024-06-11 00:00:00-04:00,0.386
IJR,2024-09-25 00:00:00-04:00,0.515
IJR,2024-12-17 00:00:00-05:00,1.138
IJR,2025-03-18 00:00:00-04:00,0.323
IJR,2025-06-16 00:00:00-04:00,0.388
