Stock_ID,Ex-Dividend Date,Dividend Per Unit
IVE,2000-06-21 00:00:00-04:00,0.072
IVE,2000-09-20 00:00:00-04:00,0.194
IVE,2000-12-13 00:00:00-05:00,0.331
IVE,2001-03-12 00:00:00-05:00,0.157
IVE,2001-06-11 00:00:00-04:00,0.227
IVE,2001-10-02 00:00:00-04:00,0.246
IVE,2001-12-17 00:00:00-05:00,0.197
IVE,2002-03-11 00:00:00-05:00,0.171
IVE,2002-06-17 00:00:00-04:00,0.2
IVE,2002-09-16 00:00:00-04:00,0.214
IVE,2002-12-16 00:00:00-05:00,0.241
IVE,2003-03-10 00:00:00-05:00,0.183
IVE,2003-06-16 00:00:00-04:00,0.201
IVE,2003-09-15 00:00:00-04:00,0.231
IVE,2003-12-15 00:00:00-05:00,0.272
IVE,2003-12-16 00:00:00-05:00,0.215
IVE,2004-03-29 00:00:00-05:00,0.223
IVE,2004-06-28 00:00:00-04:00,0.23
IVE,2004-09-27 00:00:00-04:00,0.252
IVE,2004-12-27 00:00:00-05:00,0.313
IVE,2005-03-28 00:00:00-05:00,0.461
IVE,2005-06-21 00:00:00-04:00,0.229
IVE,2005-09-26 00:00:00-04:00,0.28
IVE,2005-12-23 00:00:00-05:00,0.342
IVE,2006-03-27 00:00:00-05:00,0.343
IVE,2006-06-23 00:00:00-04:00,0.327
IVE,2006-09-27 00:00:00-04:00,0.36
IVE,2006-12-21 00:00:00-05:00,0.436
IVE,2007-03-26 00:00:00-04:00,0.418
IVE,2007-06-29 00:00:00-04:00,0.426
IVE,2007-09-26 00:00:00-04:00,0.459
IVE,2007-12-27 00:00:00-05:00,0.464
IVE,2008-03-25 00:00:00-04:00,0.517
IVE,2008-06-24 00:00:00-04:00,0.453
IVE,2008-09-25 00:00:00-04:00,0.486
IVE,2008-12-24 00:00:00-05:00,0.468
IVE,2009-03-25 00:00:00-04:00,0.4
IVE,2009-06-23 00:00:00-04:00,0.292
IVE,2009-09-23 00:00:00-04:00,0.302
IVE,2009-12-24 00:00:00-05:00,0.361
IVE,2010-03-25 00:00:00-04:00,0.252
IVE,2010-06-23 00:00:00-04:00,0.271
IVE,2010-09-24 00:00:00-04:00,0.361
IVE,2010-12-23 00:00:00-05:00,0.358
IVE,2011-03-25 00:00:00-04:00,0.283
IVE,2011-06-23 00:00:00-04:00,0.308
IVE,2011-09-26 00:00:00-04:00,0.344
IVE,2011-12-22 00:00:00-05:00,0.392
IVE,2012-03-26 00:00:00-04:00,0.338
IVE,2012-06-19 00:00:00-04:00,0.329
IVE,2012-09-25 00:00:00-04:00,0.394
IVE,2012-12-19 00:00:00-05:00,0.49
IVE,2013-03-25 00:00:00-04:00,0.378
IVE,2013-06-26 00:00:00-04:00,0.415
IVE,2013-09-24 00:00:00-04:00,0.458
IVE,2013-12-23 00:00:00-05:00,0.493
IVE,2014-03-25 00:00:00-04:00,0.469
IVE,2014-06-24 00:00:00-04:00,0.461
IVE,2014-09-24 00:00:00-04:00,0.504
IVE,2014-12-24 00:00:00-05:00,0.569
IVE,2015-03-25 00:00:00-04:00,0.541
IVE,2015-06-24 00:00:00-04:00,0.495
IVE,2015-09-25 00:00:00-04:00,0.539
IVE,2015-12-24 00:00:00-05:00,0.59
IVE,2016-03-23 00:00:00-04:00,0.546
IVE,2016-06-21 00:00:00-04:00,0.533
IVE,2016-09-26 00:00:00-04:00,0.586
IVE,2016-12-21 00:00:00-05:00,0.622
IVE,2017-03-24 00:00:00-04:00,0.556
IVE,2017-06-27 00:00:00-04:00,0.582
IVE,2017-09-26 00:00:00-04:00,0.656
IVE,2017-12-19 00:00:00-05:00,0.626
IVE,2018-03-22 00:00:00-04:00,0.641
IVE,2018-06-26 00:00:00-04:00,0.713
IVE,2018-09-26 00:00:00-04:00,0.683
IVE,2018-12-17 00:00:00-05:00,0.738
IVE,2019-03-20 00:00:00-04:00,0.641
IVE,2019-06-17 00:00:00-04:00,0.646
IVE,2019-09-24 00:00:00-04:00,0.716
IVE,2019-12-16 00:00:00-05:00,0.739
IVE,2020-03-25 00:00:00-04:00,0.822
IVE,2020-06-15 00:00:00-04:00,0.628
IVE,2020-09-23 00:00:00-04:00,0.797
IVE,2020-12-14 00:00:00-05:00,0.781
IVE,2021-03-25 00:00:00-04:00,0.687
IVE,2021-06-10 00:00:00-04:00,0.532
IVE,2021-09-24 00:00:00-04:00,0.852
IVE,2021-12-13 00:00:00-05:00,0.761
IVE,2022-03-24 00:00:00-04:00,0.707
IVE,2022-06-09 00:00:00-04:00,0.586
IVE,2022-09-26 00:00:00-04:00,0.913
IVE,2022-12-13 00:00:00-05:00,0.842
IVE,2023-03-23 00:00:00-04:00,0.695
IVE,2023-06-07 00:00:00-04:00,0.545
IVE,2023-09-26 00:00:00-04:00,0.84
IVE,2023-12-20 00:00:00-05:00,0.794
IVE,2024-03-21 00:00:00-04:00,0.842
IVE,2024-06-11 00:00:00-04:00,0.848
IVE,2024-09-25 00:00:00-04:00,1.138
IVE,2024-12-17 00:00:00-05:00,1.064
IVE,2025-03-18 00:00:00-04:00,0.745
IVE,2025-06-16 00:00:00-04:00,0.81
