Stock_ID,Ex-Dividend Date,Dividend Per Unit
IWB,2000-06-21 00:00:00-04:00,0.062
IWB,2000-09-20 00:00:00-04:00,0.184
IWB,2000-12-13 00:00:00-05:00,0.203
IWB,2001-03-09 00:00:00-05:00,0.159
IWB,2001-06-08 00:00:00-04:00,0.157
IWB,2001-10-01 00:00:00-04:00,0.221
IWB,2001-12-14 00:00:00-05:00,0.156
IWB,2002-03-08 00:00:00-05:00,0.155
IWB,2002-06-14 00:00:00-04:00,0.17
IWB,2002-09-13 00:00:00-04:00,0.155
IWB,2002-12-13 00:00:00-05:00,0.24
IWB,2003-03-07 00:00:00-05:00,0.157
IWB,2003-06-13 00:00:00-04:00,0.188
IWB,2003-09-12 00:00:00-04:00,0.206
IWB,2003-12-12 00:00:00-05:00,0.294
IWB,2003-12-16 00:00:00-05:00,0.21
IWB,2004-03-26 00:00:00-05:00,0.201
IWB,2004-06-25 00:00:00-04:00,0.279
IWB,2004-09-24 00:00:00-04:00,0.245
IWB,2004-12-23 00:00:00-05:00,0.4
IWB,2005-03-24 00:00:00-05:00,0.463
IWB,2005-06-20 00:00:00-04:00,0.177
IWB,2005-09-23 00:00:00-04:00,0.319
IWB,2005-12-22 00:00:00-05:00,0.342
IWB,2006-03-24 00:00:00-05:00,0.266
IWB,2006-06-22 00:00:00-04:00,0.285
IWB,2006-09-26 00:00:00-04:00,0.315
IWB,2006-12-20 00:00:00-05:00,0.342
IWB,2007-03-23 00:00:00-04:00,0.324
IWB,2007-06-28 00:00:00-04:00,0.315
IWB,2007-09-25 00:00:00-04:00,0.341
IWB,2007-12-27 00:00:00-05:00,0.355
IWB,2008-03-24 00:00:00-04:00,0.323
IWB,2008-07-02 00:00:00-04:00,0.329
IWB,2008-09-24 00:00:00-04:00,0.299
IWB,2008-12-23 00:00:00-05:00,0.266
IWB,2009-03-24 00:00:00-04:00,0.338
IWB,2009-07-02 00:00:00-04:00,0.291
IWB,2009-09-22 00:00:00-04:00,0.242
IWB,2009-12-23 00:00:00-05:00,0.318
IWB,2010-03-24 00:00:00-04:00,0.243
IWB,2010-07-02 00:00:00-04:00,0.296
IWB,2010-09-23 00:00:00-04:00,0.286
IWB,2010-12-22 00:00:00-05:00,0.338
IWB,2011-03-24 00:00:00-04:00,0.29
IWB,2011-07-05 00:00:00-04:00,0.334
IWB,2011-09-23 00:00:00-04:00,0.307
IWB,2011-12-22 00:00:00-05:00,0.41
IWB,2012-03-23 00:00:00-04:00,0.322
IWB,2012-06-26 00:00:00-04:00,0.363
IWB,2012-09-24 00:00:00-04:00,0.403
IWB,2012-12-19 00:00:00-05:00,0.539
IWB,2013-03-25 00:00:00-04:00,0.391
IWB,2013-07-02 00:00:00-04:00,0.432
IWB,2013-09-24 00:00:00-04:00,0.404
IWB,2013-12-23 00:00:00-05:00,0.503
IWB,2014-03-25 00:00:00-04:00,0.432
IWB,2014-07-02 00:00:00-04:00,0.495
IWB,2014-09-24 00:00:00-04:00,0.436
IWB,2014-12-24 00:00:00-05:00,0.592
IWB,2015-03-25 00:00:00-04:00,0.481
IWB,2015-07-02 00:00:00-04:00,0.576
IWB,2015-09-25 00:00:00-04:00,0.489
IWB,2015-12-24 00:00:00-05:00,0.585
IWB,2015-12-29 00:00:00-05:00,0.082
IWB,2016-03-23 00:00:00-04:00,0.566
IWB,2016-07-06 00:00:00-04:00,0.642
IWB,2016-09-26 00:00:00-04:00,0.463
IWB,2016-12-22 00:00:00-05:00,0.679
IWB,2017-03-24 00:00:00-04:00,0.561
IWB,2017-07-06 00:00:00-04:00,0.63
IWB,2017-09-26 00:00:00-04:00,0.602
IWB,2017-12-21 00:00:00-05:00,0.642
IWB,2018-03-22 00:00:00-04:00,0.63
IWB,2018-07-03 00:00:00-04:00,0.68
IWB,2018-09-26 00:00:00-04:00,0.74
IWB,2018-12-17 00:00:00-05:00,0.812
IWB,2019-03-20 00:00:00-04:00,0.627
IWB,2019-06-17 00:00:00-04:00,0.874
IWB,2019-09-24 00:00:00-04:00,0.722
IWB,2019-12-16 00:00:00-05:00,0.836
IWB,2020-03-25 00:00:00-04:00,0.744
IWB,2020-06-15 00:00:00-04:00,0.6
IWB,2020-09-23 00:00:00-04:00,0.765
IWB,2020-12-14 00:00:00-05:00,0.79
IWB,2021-03-25 00:00:00-04:00,0.717
IWB,2021-06-10 00:00:00-04:00,0.545
IWB,2021-09-24 00:00:00-04:00,0.837
IWB,2021-12-13 00:00:00-05:00,0.78
IWB,2022-03-24 00:00:00-04:00,0.769
IWB,2022-06-09 00:00:00-04:00,0.624
IWB,2022-09-26 00:00:00-04:00,0.969
IWB,2022-12-13 00:00:00-05:00,0.927
IWB,2023-03-23 00:00:00-04:00,0.826
IWB,2023-06-07 00:00:00-04:00,0.633
IWB,2023-09-26 00:00:00-04:00,1.006
IWB,2023-12-20 00:00:00-05:00,0.976
IWB,2024-03-21 00:00:00-04:00,0.869
IWB,2024-06-11 00:00:00-04:00,0.733
IWB,2024-09-25 00:00:00-04:00,1.068
IWB,2024-12-17 00:00:00-05:00,1.015
IWB,2025-03-18 00:00:00-04:00,0.829
IWB,2025-06-16 00:00:00-04:00,0.838
