etf_id,date,dividend_per_unit,currency
IWD,2000-06-21,0.069,USD
IWD,2000-09-20,0.188,USD
IWD,2000-12-13,0.186,USD
IWD,2001-03-09,0.176,USD
IWD,2001-06-08,0.173,USD
IWD,2001-10-01,0.28,USD
IWD,2001-12-14,0.237,USD
IWD,2002-03-08,0.197,USD
IWD,2002-06-14,0.231,USD
IWD,2002-09-13,0.252,USD
IWD,2002-12-13,0.303,USD
IWD,2003-03-07,0.226,USD
IWD,2003-06-13,0.256,USD
IWD,2003-09-12,0.273,USD
IWD,2003-12-12,0.357,USD
IWD,2003-12-16,0.278,USD
IWD,2004-03-26,0.283,USD
IWD,2004-06-25,0.281,USD
IWD,2004-09-24,0.311,USD
IWD,2004-12-23,0.423,USD
IWD,2005-03-24,0.524,USD
IWD,2005-06-20,0.282,USD
IWD,2005-09-23,0.426,USD
IWD,2005-12-22,0.464,USD
IWD,2006-03-24,0.395,USD
IWD,2006-06-22,0.376,USD
IWD,2006-09-26,0.405,USD
IWD,2006-12-20,0.516,USD
IWD,2007-03-23,0.456,USD
IWD,2007-06-28,0.46,USD
IWD,2007-09-25,0.524,USD
IWD,2007-12-27,0.49,USD
IWD,2008-03-24,0.49,USD
IWD,2008-07-02,0.506,USD
IWD,2008-09-24,0.431,USD
IWD,2008-12-23,0.404,USD
IWD,2009-03-24,0.401,USD
IWD,2009-07-02,0.341,USD
IWD,2009-09-22,0.262,USD
IWD,2009-12-23,0.351,USD
IWD,2010-03-24,0.264,USD
IWD,2010-07-02,0.321,USD
IWD,2010-09-23,0.34,USD
IWD,2010-12-22,0.358,USD
IWD,2011-03-24,0.308,USD
IWD,2011-07-05,0.372,USD
IWD,2011-09-23,0.334,USD
IWD,2011-12-22,0.444,USD
IWD,2012-03-23,0.363,USD
IWD,2012-06-26,0.378,USD
IWD,2012-09-24,0.415,USD
IWD,2012-12-19,0.521,USD
IWD,2013-03-25,0.388,USD
IWD,2013-07-02,0.471,USD
IWD,2013-09-24,0.42,USD
IWD,2013-12-23,0.556,USD
IWD,2014-03-25,0.473,USD
IWD,2014-07-02,0.522,USD
IWD,2014-09-24,0.476,USD
IWD,2014-12-24,0.618,USD
IWD,2015-03-25,0.514,USD
IWD,2015-07-02,0.724,USD
IWD,2015-09-25,0.516,USD
IWD,2015-12-24,0.667,USD
IWD,2016-03-23,0.61,USD
IWD,2016-07-06,0.616,USD
IWD,2016-09-26,0.521,USD
IWD,2016-12-22,0.773,USD
IWD,2017-03-24,0.579,USD
IWD,2017-07-06,0.717,USD
IWD,2017-09-26,0.663,USD
IWD,2017-12-21,0.635,USD
IWD,2018-03-22,0.681,USD
IWD,2018-07-03,0.716,USD
IWD,2018-09-26,0.79,USD
IWD,2018-12-17,0.826,USD
IWD,2019-03-20,0.666,USD
IWD,2019-06-17,0.704,USD
IWD,2019-09-24,0.823,USD
IWD,2019-12-16,1.153,USD
IWD,2020-03-25,0.793,USD
IWD,2020-06-15,0.696,USD
IWD,2020-09-23,0.72,USD
IWD,2020-12-14,0.596,USD
IWD,2021-03-25,0.614,USD
IWD,2021-06-10,0.585,USD
IWD,2021-09-24,0.813,USD
IWD,2021-12-13,0.716,USD
IWD,2022-03-24,0.702,USD
IWD,2022-06-09,0.644,USD
IWD,2022-09-26,0.933,USD
IWD,2022-12-13,0.975,USD
IWD,2023-03-23,0.763,USD
IWD,2023-06-07,0.627,USD
IWD,2023-09-26,0.986,USD
IWD,2023-12-20,0.963,USD
IWD,2024-03-21,0.77,USD
IWD,2024-06-11,0.699,USD
IWD,2024-09-25,1.023,USD
IWD,2024-12-17,0.98,USD
IWD,2025-03-18,0.802,USD
IWD,2025-06-16,0.837,USD
