Stock_ID,Ex-Dividend Date,Dividend Per Unit
IWF,2000-06-21 00:00:00-04:00,0.031
IWF,2000-09-20 00:00:00-04:00,0.031
IWF,2000-12-13 00:00:00-05:00,0.147
IWF,2001-03-09 00:00:00-05:00,0.046
IWF,2001-06-08 00:00:00-04:00,0.021
IWF,2001-10-01 00:00:00-04:00,0.079
IWF,2001-12-14 00:00:00-05:00,0.063
IWF,2002-03-08 00:00:00-05:00,0.062
IWF,2002-06-14 00:00:00-04:00,0.057
IWF,2002-09-13 00:00:00-04:00,0.066
IWF,2002-12-13 00:00:00-05:00,0.106
IWF,2003-03-07 00:00:00-05:00,0.073
IWF,2003-06-13 00:00:00-04:00,0.087
IWF,2003-09-12 00:00:00-04:00,0.075
IWF,2003-12-12 00:00:00-05:00,0.135
IWF,2003-12-16 00:00:00-05:00,0.093
IWF,2004-03-26 00:00:00-05:00,0.084
IWF,2004-06-25 00:00:00-04:00,0.072
IWF,2004-09-24 00:00:00-04:00,0.101
IWF,2004-12-23 00:00:00-05:00,0.256
IWF,2005-03-24 00:00:00-05:00,0.138
IWF,2005-06-20 00:00:00-04:00,0.082
IWF,2005-09-23 00:00:00-04:00,0.099
IWF,2005-12-22 00:00:00-05:00,0.135
IWF,2006-03-24 00:00:00-05:00,0.116
IWF,2006-06-22 00:00:00-04:00,0.133
IWF,2006-09-26 00:00:00-04:00,0.138
IWF,2006-12-20 00:00:00-05:00,0.123
IWF,2007-03-23 00:00:00-04:00,0.14
IWF,2007-06-28 00:00:00-04:00,0.146
IWF,2007-09-25 00:00:00-04:00,0.131
IWF,2007-12-27 00:00:00-05:00,0.141
IWF,2008-03-24 00:00:00-04:00,0.151
IWF,2008-07-02 00:00:00-04:00,0.154
IWF,2008-09-24 00:00:00-04:00,0.147
IWF,2008-12-23 00:00:00-05:00,0.165
IWF,2009-03-24 00:00:00-04:00,0.156
IWF,2009-07-02 00:00:00-04:00,0.182
IWF,2009-09-22 00:00:00-04:00,0.156
IWF,2009-12-23 00:00:00-05:00,0.199
IWF,2010-03-24 00:00:00-04:00,0.158
IWF,2010-07-02 00:00:00-04:00,0.201
IWF,2010-09-23 00:00:00-04:00,0.163
IWF,2010-12-22 00:00:00-05:00,0.206
IWF,2011-03-24 00:00:00-04:00,0.188
IWF,2011-07-05 00:00:00-04:00,0.21
IWF,2011-09-23 00:00:00-04:00,0.167
IWF,2011-12-22 00:00:00-05:00,0.24
IWF,2012-03-23 00:00:00-04:00,0.192
IWF,2012-06-26 00:00:00-04:00,0.221
IWF,2012-09-24 00:00:00-04:00,0.258
IWF,2012-12-19 00:00:00-05:00,0.412
IWF,2013-03-25 00:00:00-04:00,0.23
IWF,2013-07-02 00:00:00-04:00,0.291
IWF,2013-09-24 00:00:00-04:00,0.264
IWF,2013-12-23 00:00:00-05:00,0.323
IWF,2014-03-25 00:00:00-04:00,0.286
IWF,2014-07-02 00:00:00-04:00,0.34
IWF,2014-09-24 00:00:00-04:00,0.275
IWF,2014-12-24 00:00:00-05:00,0.367
IWF,2015-03-25 00:00:00-04:00,0.324
IWF,2015-07-02 00:00:00-04:00,0.348
IWF,2015-09-25 00:00:00-04:00,0.309
IWF,2015-12-24 00:00:00-05:00,0.382
IWF,2016-03-23 00:00:00-04:00,0.365
IWF,2016-07-06 00:00:00-04:00,0.395
IWF,2016-09-26 00:00:00-04:00,0.32
IWF,2016-12-22 00:00:00-05:00,0.423
IWF,2017-03-24 00:00:00-04:00,0.331
IWF,2017-07-06 00:00:00-04:00,0.425
IWF,2017-09-26 00:00:00-04:00,0.365
IWF,2017-12-21 00:00:00-05:00,0.357
IWF,2018-03-22 00:00:00-04:00,0.401
IWF,2018-07-03 00:00:00-04:00,0.428
IWF,2018-09-26 00:00:00-04:00,0.436
IWF,2018-12-17 00:00:00-05:00,0.371
IWF,2018-12-28 00:00:00-05:00,0.025
IWF,2019-03-20 00:00:00-04:00,0.429
IWF,2019-06-17 00:00:00-04:00,0.437
IWF,2019-09-24 00:00:00-04:00,0.43
IWF,2019-12-16 00:00:00-05:00,0.45
IWF,2020-03-25 00:00:00-04:00,0.425
IWF,2020-06-15 00:00:00-04:00,0.362
IWF,2020-09-23 00:00:00-04:00,0.433
IWF,2020-12-14 00:00:00-05:00,0.374
IWF,2021-03-25 00:00:00-04:00,0.352
IWF,2021-06-10 00:00:00-04:00,0.302
IWF,2021-09-24 00:00:00-04:00,0.458
IWF,2021-12-13 00:00:00-05:00,0.401
IWF,2022-03-24 00:00:00-04:00,0.403
IWF,2022-06-09 00:00:00-04:00,0.391
IWF,2022-09-26 00:00:00-04:00,0.583
IWF,2022-12-13 00:00:00-05:00,0.572
IWF,2023-03-23 00:00:00-04:00,0.518
IWF,2023-06-07 00:00:00-04:00,0.391
IWF,2023-09-26 00:00:00-04:00,0.514
IWF,2023-12-20 00:00:00-05:00,0.604
IWF,2024-03-21 00:00:00-04:00,0.444
IWF,2024-06-11 00:00:00-04:00,0.411
IWF,2024-09-25 00:00:00-04:00,0.558
IWF,2024-12-17 00:00:00-05:00,0.426
IWF,2025-03-18 00:00:00-04:00,0.396
IWF,2025-06-16 00:00:00-04:00,0.394
