etf_id,date,dividend_per_unit,currency
IWM,2000-06-21,0.03,USD
IWM,2000-09-20,0.178,USD
IWM,2000-12-13,0.217,USD
IWM,2001-03-09,0.097,USD
IWM,2001-06-08,0.142,USD
IWM,2001-10-01,0.147,USD
IWM,2001-12-14,0.135,USD
IWM,2002-03-08,0.0575,USD
IWM,2002-06-14,0.1205,USD
IWM,2002-09-13,0.128,USD
IWM,2002-12-13,0.19,USD
IWM,2003-03-07,0.08,USD
IWM,2003-06-13,0.075,USD
IWM,2003-09-12,0.1185,USD
IWM,2003-12-12,0.1875,USD
IWM,2003-12-16,0.115,USD
IWM,2004-03-26,0.1045,USD
IWM,2004-06-25,0.1525,USD
IWM,2004-09-24,0.1325,USD
IWM,2004-12-23,0.2055,USD
IWM,2005-03-24,0.274,USD
IWM,2005-06-20,0.146,USD
IWM,2005-09-23,0.198,USD
IWM,2005-12-22,0.261,USD
IWM,2006-03-24,0.169,USD
IWM,2006-06-22,0.105,USD
IWM,2006-09-26,0.231,USD
IWM,2006-12-20,0.329,USD
IWM,2007-03-23,0.154,USD
IWM,2007-06-28,0.159,USD
IWM,2007-09-25,0.195,USD
IWM,2007-12-27,0.267,USD
IWM,2008-03-24,0.11,USD
IWM,2008-07-02,0.257,USD
IWM,2008-09-24,0.15,USD
IWM,2008-12-23,0.361,USD
IWM,2009-03-24,0.141,USD
IWM,2009-07-02,0.181,USD
IWM,2009-09-22,0.145,USD
IWM,2009-12-23,0.253,USD
IWM,2010-03-24,0.172,USD
IWM,2010-07-02,0.199,USD
IWM,2010-09-23,0.165,USD
IWM,2010-12-22,0.357,USD
IWM,2011-03-24,0.169,USD
IWM,2011-07-05,0.252,USD
IWM,2011-09-23,0.25,USD
IWM,2011-12-22,0.36,USD
IWM,2012-03-23,0.251,USD
IWM,2012-06-26,0.377,USD
IWM,2012-09-24,0.332,USD
IWM,2012-12-19,0.727,USD
IWM,2013-03-25,0.264,USD
IWM,2013-07-02,0.43,USD
IWM,2013-09-24,0.283,USD
IWM,2013-12-23,0.437,USD
IWM,2014-03-25,0.302,USD
IWM,2014-07-02,0.459,USD
IWM,2014-09-24,0.305,USD
IWM,2014-12-24,0.445,USD
IWM,2015-03-25,0.383,USD
IWM,2015-07-02,0.529,USD
IWM,2015-09-25,0.324,USD
IWM,2015-12-24,0.496,USD
IWM,2016-03-23,0.327,USD
IWM,2016-07-06,0.621,USD
IWM,2016-09-26,0.344,USD
IWM,2016-12-22,0.563,USD
IWM,2017-03-24,0.387,USD
IWM,2017-07-06,0.609,USD
IWM,2017-09-26,0.349,USD
IWM,2017-12-21,0.579,USD
IWM,2018-03-22,0.362,USD
IWM,2018-07-03,0.595,USD
IWM,2018-09-26,0.45,USD
IWM,2018-12-17,0.469,USD
IWM,2019-03-20,0.412,USD
IWM,2019-06-17,0.533,USD
IWM,2019-09-24,0.544,USD
IWM,2019-12-16,0.597,USD
IWM,2020-03-25,0.42,USD
IWM,2020-06-15,0.466,USD
IWM,2020-09-23,0.566,USD
IWM,2020-12-14,0.592,USD
IWM,2021-03-25,0.398,USD
IWM,2021-06-10,0.347,USD
IWM,2021-09-24,0.679,USD
IWM,2021-12-13,0.666,USD
IWM,2022-03-24,0.4,USD
IWM,2022-06-09,0.494,USD
IWM,2022-09-26,0.861,USD
IWM,2022-12-13,0.83,USD
IWM,2023-03-23,0.631,USD
IWM,2023-06-07,0.509,USD
IWM,2023-09-26,0.829,USD
IWM,2023-12-20,0.734,USD
IWM,2024-03-21,0.522,USD
IWM,2024-06-11,0.562,USD
IWM,2024-09-25,0.752,USD
IWM,2024-12-17,0.694,USD
IWM,2025-03-18,0.46,USD
IWM,2025-06-16,0.576,USD
