Stock_ID,Ex-Dividend Date,Dividend Per Unit
IXUS,2012-12-18 00:00:00-05:00,0.172
IXUS,2013-06-27 00:00:00-04:00,0.875
IXUS,2013-12-18 00:00:00-05:00,0.322
IXUS,2014-06-25 00:00:00-04:00,0.965
IXUS,2014-12-17 00:00:00-05:00,0.607
IXUS,2015-06-25 00:00:00-04:00,0.815
IXUS,2015-12-21 00:00:00-05:00,0.574
IXUS,2016-06-22 00:00:00-04:00,0.754
IXUS,2016-12-21 00:00:00-05:00,0.547
IXUS,2017-06-20 00:00:00-04:00,0.739
IXUS,2017-12-19 00:00:00-05:00,0.778
IXUS,2018-06-19 00:00:00-04:00,0.891
IXUS,2018-12-18 00:00:00-05:00,0.686
IXUS,2019-06-17 00:00:00-04:00,0.937
IXUS,2019-12-16 00:00:00-05:00,0.977
IXUS,2020-06-15 00:00:00-04:00,0.535
IXUS,2020-12-14 00:00:00-05:00,0.707
IXUS,2021-06-10 00:00:00-04:00,0.852
IXUS,2021-12-13 00:00:00-05:00,1.273
IXUS,2021-12-30 00:00:00-05:00,0.086
IXUS,2022-06-09 00:00:00-04:00,0.948
IXUS,2022-12-13 00:00:00-05:00,0.49
IXUS,2023-06-07 00:00:00-04:00,0.982
IXUS,2023-12-20 00:00:00-05:00,1.048
IXUS,2024-06-11 00:00:00-04:00,1.019
IXUS,2024-12-17 00:00:00-05:00,1.182
IXUS,2025-06-16 00:00:00-04:00,1.171
