etf_id,date,dividend_per_unit,currency
JAAA,2020-12-01,0.064,USD
JAAA,2020-12-30,0.066,USD
JAAA,2021-02-01,0.053,USD
JAAA,2021-03-01,0.052,USD
JAAA,2021-04-01,0.052,USD
JAAA,2021-05-03,0.051,USD
JAAA,2021-06-01,0.051,USD
JAAA,2021-07-01,0.05,USD
JAAA,2021-08-02,0.035,USD
JAAA,2021-09-01,0.045,USD
JAAA,2021-10-01,0.047,USD
JAAA,2021-11-01,0.056,USD
JAAA,2021-12-01,0.061,USD
JAAA,2021-12-23,0.055,USD
JAAA,2022-02-01,0.043,USD
JAAA,2022-03-01,0.033,USD
JAAA,2022-04-01,0.044,USD
JAAA,2022-05-02,0.062,USD
JAAA,2022-06-01,0.078,USD
JAAA,2022-07-01,0.089,USD
JAAA,2022-08-01,0.105,USD
JAAA,2022-09-01,0.153,USD
JAAA,2022-10-03,0.15,USD
JAAA,2022-11-01,0.172,USD
JAAA,2022-12-01,0.215,USD
JAAA,2022-12-23,0.221,USD
JAAA,2023-02-01,0.221,USD
JAAA,2023-03-01,0.215,USD
JAAA,2023-04-03,0.234,USD
JAAA,2023-05-01,0.251,USD
JAAA,2023-06-01,0.248,USD
JAAA,2023-07-03,0.253,USD
JAAA,2023-08-01,0.262,USD
JAAA,2023-09-01,0.274,USD
JAAA,2023-10-02,0.276,USD
JAAA,2023-11-01,0.263,USD
JAAA,2023-12-01,0.296,USD
JAAA,2024-02-01,0.27,USD
JAAA,2024-03-01,0.262,USD
JAAA,2024-04-01,0.27,USD
JAAA,2024-05-01,0.274,USD
JAAA,2024-06-03,0.256,USD
JAAA,2024-07-01,0.277,USD
JAAA,2024-08-01,0.264,USD
JAAA,2024-09-03,0.279,USD
JAAA,2024-10-01,0.273,USD
JAAA,2024-11-01,0.253,USD
JAAA,2024-12-02,0.281,USD
JAAA,2024-12-23,0.262,USD
JAAA,2025-02-03,0.206,USD
JAAA,2025-03-03,0.219,USD
JAAA,2025-04-01,0.238,USD
JAAA,2025-05-01,0.246,USD
JAAA,2025-06-02,0.22,USD
JAAA,2025-07-01,0.223,USD
