etf_id,date,dividend_per_unit,currency
JEPI,2020-07-01,0.494,USD
JEPI,2020-08-03,0.29,USD
JEPI,2020-09-01,0.453,USD
JEPI,2020-10-01,0.435,USD
JEPI,2020-11-02,0.515,USD
JEPI,2020-12-01,0.5,USD
JEPI,2020-12-30,0.543,USD
JEPI,2021-02-01,0.263,USD
JEPI,2021-03-01,0.321,USD
JEPI,2021-04-01,0.348,USD
JEPI,2021-05-03,0.374,USD
JEPI,2021-06-01,0.314,USD
JEPI,2021-07-01,0.395,USD
JEPI,2021-08-02,0.257,USD
JEPI,2021-09-01,0.339,USD
JEPI,2021-10-01,0.343,USD
JEPI,2021-11-01,0.366,USD
JEPI,2021-12-01,0.383,USD
JEPI,2021-12-30,0.459,USD
JEPI,2022-02-01,0.382,USD
JEPI,2022-03-01,0.462,USD
JEPI,2022-04-01,0.588,USD
JEPI,2022-05-02,0.468,USD
JEPI,2022-06-01,0.516,USD
JEPI,2022-07-01,0.621,USD
JEPI,2022-08-01,0.495,USD
JEPI,2022-09-01,0.559,USD
JEPI,2022-10-03,0.481,USD
JEPI,2022-11-01,0.606,USD
JEPI,2022-12-01,0.61,USD
JEPI,2022-12-29,0.573,USD
JEPI,2023-02-01,0.444,USD
JEPI,2023-03-01,0.411,USD
JEPI,2023-04-03,0.445,USD
JEPI,2023-05-01,0.425,USD
JEPI,2023-06-01,0.365,USD
JEPI,2023-07-03,0.359,USD
JEPI,2023-08-01,0.29,USD
JEPI,2023-09-01,0.338,USD
JEPI,2023-10-02,0.363,USD
JEPI,2023-11-01,0.359,USD
JEPI,2023-12-01,0.39,USD
JEPI,2023-12-28,0.428,USD
JEPI,2024-02-01,0.301,USD
JEPI,2024-03-01,0.301,USD
JEPI,2024-04-01,0.345,USD
JEPI,2024-05-01,0.326,USD
JEPI,2024-06-03,0.36,USD
JEPI,2024-07-01,0.33,USD
JEPI,2024-08-01,0.289,USD
JEPI,2024-09-03,0.4,USD
JEPI,2024-10-01,0.392,USD
JEPI,2024-11-01,0.375,USD
JEPI,2024-12-02,0.402,USD
JEPI,2024-12-31,0.395,USD
JEPI,2025-02-03,0.326,USD
JEPI,2025-03-03,0.328,USD
JEPI,2025-04-01,0.408,USD
JEPI,2025-05-01,0.488,USD
JEPI,2025-06-02,0.54,USD
JEPI,2025-07-01,0.4,USD
