etf_id,date,dividend_per_unit,currency
JEPQ,2022-06-01,0.376,USD
JEPQ,2022-07-01,0.34,USD
JEPQ,2022-08-01,0.407,USD
JEPQ,2022-09-01,0.546,USD
JEPQ,2022-10-03,0.38,USD
JEPQ,2022-11-01,0.681,USD
JEPQ,2022-12-01,0.546,USD
JEPQ,2022-12-29,0.576,USD
JEPQ,2023-02-01,0.441,USD
JEPQ,2023-03-01,0.433,USD
JEPQ,2023-04-03,0.454,USD
JEPQ,2023-05-01,0.484,USD
JEPQ,2023-06-01,0.357,USD
JEPQ,2023-07-03,0.367,USD
JEPQ,2023-08-01,0.366,USD
JEPQ,2023-09-01,0.451,USD
JEPQ,2023-10-02,0.417,USD
JEPQ,2023-11-01,0.418,USD
JEPQ,2023-12-01,0.422,USD
JEPQ,2024-02-01,0.342,USD
JEPQ,2024-03-01,0.38,USD
JEPQ,2024-04-01,0.427,USD
JEPQ,2024-05-01,0.431,USD
JEPQ,2024-06-03,0.45,USD
JEPQ,2024-07-01,0.421,USD
JEPQ,2024-08-01,0.427,USD
JEPQ,2024-09-03,0.557,USD
JEPQ,2024-10-01,0.551,USD
JEPQ,2024-11-01,0.494,USD
JEPQ,2024-12-02,0.508,USD
JEPQ,2024-12-31,0.456,USD
JEPQ,2025-02-03,0.45,USD
JEPQ,2025-03-03,0.482,USD
JEPQ,2025-04-01,0.541,USD
JEPQ,2025-05-01,0.598,USD
JEPQ,2025-06-02,0.621,USD
JEPQ,2025-07-01,0.494,USD
