etf_id,date,dividend_per_unit,currency
MBB,2007-04-02,0.235,USD
MBB,2007-05-01,0.443,USD
MBB,2007-06-01,0.456,USD
MBB,2007-07-02,0.395,USD
MBB,2007-08-01,0.436,USD
MBB,2007-09-04,0.396,USD
MBB,2007-10-01,0.394,USD
MBB,2007-11-01,0.411,USD
MBB,2007-12-03,0.387,USD
MBB,2007-12-27,0.406,USD
MBB,2008-02-01,0.378,USD
MBB,2008-03-03,0.289,USD
MBB,2008-04-01,0.325,USD
MBB,2008-05-01,0.404,USD
MBB,2008-06-02,0.433,USD
MBB,2008-07-01,0.423,USD
MBB,2008-08-01,0.425,USD
MBB,2008-09-02,0.464,USD
MBB,2008-10-01,0.49,USD
MBB,2008-11-03,0.32,USD
MBB,2008-12-01,0.325,USD
MBB,2008-12-29,0.272,USD
MBB,2009-02-02,0.293,USD
MBB,2009-03-02,0.27,USD
MBB,2009-04-01,0.268,USD
MBB,2009-05-01,0.248,USD
MBB,2009-06-01,0.261,USD
MBB,2009-07-01,0.341,USD
MBB,2009-08-03,0.316,USD
MBB,2009-09-01,0.368,USD
MBB,2009-10-01,0.363,USD
MBB,2009-11-02,0.373,USD
MBB,2009-12-01,0.373,USD
MBB,2009-12-29,0.311,USD
MBB,2010-02-01,0.325,USD
MBB,2010-03-01,0.378,USD
MBB,2010-04-01,0.316,USD
MBB,2010-05-03,0.302,USD
MBB,2010-06-01,0.334,USD
MBB,2010-07-01,0.34,USD
MBB,2010-08-02,0.279,USD
MBB,2010-09-01,0.259,USD
MBB,2010-10-01,0.301,USD
MBB,2010-11-01,0.214,USD
MBB,2010-12-01,2.864,USD
MBB,2010-12-28,0.342,USD
MBB,2011-02-01,0.341,USD
MBB,2011-03-01,0.325,USD
MBB,2011-04-01,0.299,USD
MBB,2011-05-02,0.305,USD
MBB,2011-06-01,0.288,USD
MBB,2011-07-01,0.322,USD
MBB,2011-08-01,0.337,USD
MBB,2011-09-01,0.282,USD
MBB,2011-10-03,0.289,USD
MBB,2011-11-01,0.272,USD
MBB,2011-12-01,0.275,USD
MBB,2011-12-27,0.267,USD
MBB,2012-02-01,0.287,USD
MBB,2012-03-01,0.304,USD
MBB,2012-04-02,0.209,USD
MBB,2012-05-01,0.174,USD
MBB,2012-06-01,0.18,USD
MBB,2012-07-02,0.19,USD
MBB,2012-08-01,0.155,USD
MBB,2012-09-04,0.12,USD
MBB,2012-10-01,0.128,USD
MBB,2012-12-03,0.329,USD
MBB,2013-02-01,0.091,USD
MBB,2013-03-01,0.107,USD
MBB,2013-04-01,0.258,USD
MBB,2013-05-01,0.079,USD
MBB,2013-06-03,0.057,USD
MBB,2013-07-01,0.067,USD
MBB,2013-08-01,0.086,USD
MBB,2013-09-03,0.077,USD
MBB,2013-10-01,0.111,USD
MBB,2013-11-01,0.121,USD
MBB,2013-12-02,0.14,USD
MBB,2013-12-26,0.135,USD
MBB,2014-02-03,0.151,USD
MBB,2014-03-03,0.156,USD
MBB,2014-04-01,0.147,USD
MBB,2014-05-01,0.151,USD
MBB,2014-06-02,0.134,USD
MBB,2014-07-01,0.126,USD
MBB,2014-08-01,0.136,USD
MBB,2014-09-02,0.112,USD
MBB,2014-10-01,0.12,USD
MBB,2014-11-03,0.114,USD
MBB,2014-12-01,0.113,USD
MBB,2014-12-24,0.422,USD
MBB,2015-02-02,0.089,USD
MBB,2015-03-02,0.098,USD
MBB,2015-04-01,0.167,USD
MBB,2015-05-01,0.179,USD
MBB,2015-06-01,0.174,USD
MBB,2015-07-01,0.177,USD
MBB,2015-08-03,0.192,USD
MBB,2015-09-01,0.212,USD
MBB,2015-10-01,0.232,USD
MBB,2015-11-02,0.212,USD
MBB,2015-12-01,0.746,USD
MBB,2015-12-24,0.386,USD
MBB,2016-02-01,0.191,USD
MBB,2016-04-01,0.199,USD
MBB,2016-05-02,0.18,USD
MBB,2016-06-01,0.187,USD
MBB,2016-07-01,0.189,USD
MBB,2016-08-01,0.173,USD
MBB,2016-09-01,0.175,USD
MBB,2016-10-03,0.158,USD
MBB,2016-11-01,0.171,USD
MBB,2016-12-01,0.417,USD
MBB,2016-12-22,0.512,USD
MBB,2017-02-01,0.193,USD
MBB,2017-03-01,0.212,USD
MBB,2017-04-03,0.226,USD
MBB,2017-05-01,0.23,USD
MBB,2017-06-01,0.232,USD
MBB,2017-07-03,0.209,USD
MBB,2017-08-01,0.211,USD
MBB,2017-09-01,0.207,USD
MBB,2017-10-02,0.205,USD
MBB,2017-11-01,0.214,USD
MBB,2017-12-01,0.234,USD
MBB,2018-02-01,0.246,USD
MBB,2018-03-01,0.25,USD
MBB,2018-04-02,0.254,USD
MBB,2018-05-01,0.253,USD
MBB,2018-06-01,0.248,USD
MBB,2018-07-02,0.232,USD
MBB,2018-08-01,0.211,USD
MBB,2018-09-04,0.229,USD
MBB,2018-10-01,0.224,USD
MBB,2018-11-01,0.254,USD
MBB,2018-12-03,0.272,USD
MBB,2018-12-18,0.084,USD
MBB,2019-02-01,0.29,USD
MBB,2019-03-01,0.285,USD
MBB,2019-04-01,0.271,USD
MBB,2019-05-01,0.262,USD
MBB,2019-06-03,0.262,USD
MBB,2019-07-01,0.264,USD
MBB,2019-08-01,0.263,USD
MBB,2019-09-03,0.265,USD
MBB,2019-10-01,0.262,USD
MBB,2019-11-01,0.259,USD
MBB,2019-12-02,0.251,USD
MBB,2019-12-19,0.056,USD
MBB,2020-02-03,0.256,USD
MBB,2020-03-02,0.235,USD
MBB,2020-04-01,0.231,USD
MBB,2020-05-01,0.218,USD
MBB,2020-06-01,0.201,USD
MBB,2020-07-01,0.199,USD
MBB,2020-08-03,0.2,USD
MBB,2020-09-01,0.192,USD
MBB,2020-10-01,0.191,USD
MBB,2020-11-02,0.191,USD
MBB,2020-12-01,0.199,USD
MBB,2021-02-01,0.192,USD
MBB,2021-03-01,0.196,USD
MBB,2021-04-01,0.188,USD
MBB,2021-05-03,0.16,USD
MBB,2021-06-01,0.128,USD
MBB,2021-07-01,0.097,USD
MBB,2021-08-02,0.08,USD
MBB,2021-09-01,0.073,USD
MBB,2021-10-01,0.019,USD
MBB,2022-02-01,0.166,USD
MBB,2022-03-01,0.137,USD
MBB,2022-04-01,0.136,USD
MBB,2022-05-02,0.148,USD
MBB,2022-06-01,0.162,USD
MBB,2022-07-01,0.15,USD
MBB,2022-08-01,0.184,USD
MBB,2022-09-01,0.197,USD
MBB,2022-10-03,0.198,USD
MBB,2022-11-01,0.196,USD
MBB,2022-12-01,0.227,USD
MBB,2022-12-15,0.241,USD
MBB,2023-02-01,0.243,USD
MBB,2023-03-01,0.25,USD
MBB,2023-04-03,0.251,USD
MBB,2023-05-01,0.26,USD
MBB,2023-06-01,0.269,USD
MBB,2023-07-03,0.264,USD
MBB,2023-08-01,0.276,USD
