etf_id,date,dividend_per_unit,currency
MDY,1995-06-16,0.095,USD
MDY,1995-12-28,0.184,USD
MDY,1996-03-15,0.136,USD
MDY,1996-06-21,0.162,USD
MDY,1996-09-20,0.153,USD
MDY,1996-12-20,0.193,USD
MDY,1997-03-21,0.151,USD
MDY,1997-06-20,0.15,USD
MDY,1997-09-19,0.153,USD
MDY,1997-12-19,0.155,USD
MDY,1997-12-24,0.16,USD
MDY,1998-03-20,0.15,USD
MDY,1998-06-19,0.142,USD
MDY,1998-09-18,0.146,USD
MDY,1998-12-18,0.158,USD
MDY,1998-12-21,1.5,USD
MDY,1999-03-19,0.175,USD
MDY,1999-06-18,0.179,USD
MDY,1999-09-17,0.17,USD
MDY,1999-12-17,0.185,USD
MDY,1999-12-20,2.0,USD
MDY,2000-03-17,0.179,USD
MDY,2000-06-16,0.207,USD
MDY,2000-09-14,0.202,USD
MDY,2000-12-15,0.193,USD
MDY,2001-03-16,0.167,USD
MDY,2001-06-15,0.181,USD
MDY,2001-09-21,0.171,USD
MDY,2001-12-21,0.196,USD
MDY,2002-03-15,0.173,USD
MDY,2002-06-21,0.179,USD
MDY,2002-09-20,0.175,USD
MDY,2002-12-20,0.191,USD
MDY,2003-03-21,0.223,USD
MDY,2003-06-20,0.198,USD
MDY,2003-09-19,0.202,USD
MDY,2003-12-19,0.236,USD
MDY,2004-03-19,0.246,USD
MDY,2004-06-18,0.269,USD
MDY,2004-09-17,0.235,USD
MDY,2004-12-17,0.306,USD
MDY,2005-03-18,0.231,USD
MDY,2005-06-17,0.487,USD
MDY,2005-09-16,0.317,USD
MDY,2005-12-16,0.364,USD
MDY,2006-03-17,0.38,USD
MDY,2006-06-16,0.405,USD
MDY,2006-09-15,0.34,USD
MDY,2006-12-15,0.599,USD
MDY,2007-03-16,0.613,USD
MDY,2007-06-15,0.424,USD
MDY,2007-09-21,0.351,USD
MDY,2007-12-21,0.447,USD
MDY,2008-03-20,0.393,USD
MDY,2008-06-20,0.435,USD
MDY,2008-09-19,0.437,USD
MDY,2008-12-19,0.555,USD
MDY,2009-03-20,0.337,USD
MDY,2009-06-19,0.394,USD
MDY,2009-09-18,0.389,USD
MDY,2009-12-18,0.488,USD
MDY,2010-03-19,0.396,USD
MDY,2010-06-18,0.369,USD
MDY,2010-09-17,0.283,USD
MDY,2010-12-17,0.456,USD
MDY,2011-03-18,0.444,USD
MDY,2011-06-17,0.469,USD
MDY,2011-09-16,0.272,USD
MDY,2011-12-16,0.529,USD
MDY,2012-03-16,0.383,USD
MDY,2012-06-15,0.51,USD
MDY,2012-09-21,0.411,USD
MDY,2012-12-21,0.816,USD
MDY,2013-03-15,0.497,USD
MDY,2013-06-21,0.736,USD
MDY,2013-09-20,0.662,USD
MDY,2013-12-20,0.71,USD
MDY,2014-03-21,0.685,USD
MDY,2014-06-20,0.779,USD
MDY,2014-09-19,0.56,USD
MDY,2014-12-19,1.074,USD
MDY,2015-03-20,0.614,USD
MDY,2015-06-19,0.924,USD
MDY,2015-09-18,0.901,USD
MDY,2015-12-18,1.003,USD
MDY,2016-03-18,0.816,USD
MDY,2016-06-17,0.848,USD
MDY,2016-09-16,1.113,USD
MDY,2016-12-16,1.165,USD
MDY,2017-03-17,0.823,USD
MDY,2017-06-16,0.524,USD
MDY,2017-09-15,1.445,USD
MDY,2017-12-15,1.299,USD
MDY,2018-03-16,0.861,USD
MDY,2018-06-15,1.01,USD
MDY,2018-09-21,1.056,USD
MDY,2018-12-21,1.268,USD
MDY,2019-03-15,0.884,USD
MDY,2019-06-21,1.337,USD
MDY,2019-09-20,1.373,USD
MDY,2019-12-20,1.449,USD
MDY,2020-03-20,1.11,USD
MDY,2020-06-19,1.122,USD
MDY,2020-09-18,1.033,USD
MDY,2020-12-18,1.448,USD
MDY,2021-03-19,0.864,USD
MDY,2021-09-17,1.31,USD
MDY,2021-12-17,1.488,USD
MDY,2022-03-18,1.152,USD
MDY,2022-06-17,1.402,USD
MDY,2022-09-16,1.828,USD
MDY,2022-12-16,1.666,USD
MDY,2023-03-17,1.193,USD
MDY,2023-06-16,1.513,USD
MDY,2023-09-15,1.555,USD
MDY,2023-12-15,1.891,USD
MDY,2024-03-15,1.014,USD
MDY,2024-06-21,1.997,USD
MDY,2024-09-20,1.65,USD
MDY,2024-12-20,2.081,USD
MDY,2025-03-21,1.308,USD
MDY,2025-06-20,1.803,USD
