etf_id,date,dividend_per_unit,currency
MGK,2008-03-25,0.06,USD
MGK,2008-06-24,0.098,USD
MGK,2008-09-24,0.135,USD
MGK,2008-12-22,0.133,USD
MGK,2009-03-25,0.137,USD
MGK,2009-06-24,0.115,USD
MGK,2009-09-24,0.126,USD
MGK,2009-12-22,0.198,USD
MGK,2010-03-25,0.107,USD
MGK,2010-06-24,0.123,USD
MGK,2010-09-24,0.173,USD
MGK,2010-12-22,0.179,USD
MGK,2011-03-25,0.124,USD
MGK,2011-06-24,0.165,USD
MGK,2011-09-23,0.146,USD
MGK,2011-12-21,0.217,USD
MGK,2012-03-26,0.143,USD
MGK,2012-06-25,0.181,USD
MGK,2012-09-24,0.209,USD
MGK,2012-12-20,0.388,USD
MGK,2013-03-22,0.173,USD
MGK,2013-06-24,0.217,USD
MGK,2013-09-23,0.239,USD
MGK,2013-12-20,0.306,USD
MGK,2014-03-24,0.198,USD
MGK,2014-06-23,0.256,USD
MGK,2014-09-22,0.239,USD
MGK,2015-03-23,0.236,USD
MGK,2015-06-22,0.303,USD
MGK,2015-09-21,0.3,USD
MGK,2015-12-17,0.349,USD
MGK,2016-03-21,0.283,USD
MGK,2016-06-21,0.304,USD
MGK,2016-09-20,0.34,USD
MGK,2016-12-20,0.402,USD
MGK,2017-03-29,0.242,USD
MGK,2017-06-23,0.347,USD
MGK,2017-09-27,0.353,USD
MGK,2017-12-26,0.422,USD
MGK,2018-03-22,0.258,USD
MGK,2018-06-28,0.428,USD
MGK,2018-09-28,0.4,USD
MGK,2018-12-24,0.113,USD
MGK,2019-03-25,0.089,USD
MGK,2019-06-27,0.417,USD
MGK,2019-10-01,0.373,USD
MGK,2019-12-24,0.36,USD
MGK,2020-03-26,0.305,USD
MGK,2020-06-25,0.297,USD
MGK,2020-09-11,0.267,USD
MGK,2020-12-24,0.45,USD
MGK,2021-03-26,0.27,USD
MGK,2021-06-24,0.262,USD
MGK,2021-09-29,0.272,USD
MGK,2021-12-27,0.276,USD
MGK,2022-03-24,0.238,USD
MGK,2022-06-23,0.276,USD
MGK,2022-09-28,0.347,USD
MGK,2022-12-22,0.339,USD
MGK,2023-03-23,0.283,USD
MGK,2023-06-23,0.274,USD
MGK,2023-09-21,0.316,USD
MGK,2023-12-21,0.429,USD
MGK,2024-03-21,0.302,USD
MGK,2024-06-27,0.309,USD
MGK,2024-09-26,0.374,USD
MGK,2024-12-23,0.491,USD
MGK,2025-03-27,0.34,USD
MGK,2025-06-30,0.383,USD
