etf_id,date,dividend_per_unit,currency
MUB,2007-11-01,0.587,USD
MUB,2007-12-03,0.298,USD
MUB,2007-12-27,0.285,USD
MUB,2008-02-01,0.309,USD
MUB,2008-03-03,0.287,USD
MUB,2008-04-01,0.294,USD
MUB,2008-05-01,0.28,USD
MUB,2008-06-02,0.267,USD
MUB,2008-07-01,0.259,USD
MUB,2008-08-01,0.281,USD
MUB,2008-09-02,0.23,USD
MUB,2008-10-01,0.295,USD
MUB,2008-11-03,0.31,USD
MUB,2008-12-01,0.308,USD
MUB,2008-12-29,0.399,USD
MUB,2009-02-02,0.312,USD
MUB,2009-03-02,0.316,USD
MUB,2009-04-01,0.33,USD
MUB,2009-05-01,0.313,USD
MUB,2009-06-01,0.309,USD
MUB,2009-07-01,0.287,USD
MUB,2009-08-03,0.312,USD
MUB,2009-09-01,0.312,USD
MUB,2009-10-01,0.31,USD
MUB,2009-11-02,0.311,USD
MUB,2009-12-01,0.301,USD
MUB,2009-12-29,0.296,USD
MUB,2010-02-01,0.318,USD
MUB,2010-03-01,0.323,USD
MUB,2010-04-01,0.328,USD
MUB,2010-05-03,0.322,USD
MUB,2010-06-01,0.307,USD
MUB,2010-07-01,0.315,USD
MUB,2010-08-02,0.315,USD
MUB,2010-09-01,0.321,USD
MUB,2010-10-01,0.312,USD
MUB,2010-11-01,0.301,USD
MUB,2010-12-01,0.305,USD
MUB,2010-12-28,0.306,USD
MUB,2011-02-01,0.307,USD
MUB,2011-03-01,0.306,USD
MUB,2011-04-01,0.305,USD
MUB,2011-05-02,0.31,USD
MUB,2011-06-01,0.306,USD
MUB,2011-07-01,0.305,USD
MUB,2011-08-01,0.287,USD
MUB,2011-09-01,0.297,USD
MUB,2011-10-03,0.298,USD
MUB,2011-11-01,0.293,USD
MUB,2011-12-01,0.298,USD
MUB,2011-12-27,0.269,USD
MUB,2012-02-01,0.281,USD
MUB,2012-03-01,0.286,USD
MUB,2012-04-02,0.27,USD
MUB,2012-05-01,0.267,USD
MUB,2012-06-01,0.268,USD
MUB,2012-07-02,0.272,USD
MUB,2012-08-01,0.271,USD
MUB,2012-09-04,0.269,USD
MUB,2012-10-01,0.27,USD
MUB,2012-12-03,0.243,USD
MUB,2012-12-26,0.247,USD
MUB,2013-02-01,0.243,USD
MUB,2013-03-01,0.263,USD
MUB,2013-04-01,0.249,USD
MUB,2013-05-01,0.253,USD
MUB,2013-06-03,0.25,USD
MUB,2013-07-01,0.259,USD
MUB,2013-08-01,0.261,USD
MUB,2013-09-03,0.265,USD
MUB,2013-10-01,0.265,USD
MUB,2013-11-01,0.277,USD
MUB,2013-12-02,0.271,USD
MUB,2013-12-26,0.275,USD
MUB,2014-02-03,0.27,USD
MUB,2014-03-03,0.271,USD
MUB,2014-04-01,0.257,USD
MUB,2014-05-01,0.26,USD
MUB,2014-06-02,0.252,USD
MUB,2014-07-01,0.249,USD
MUB,2014-08-01,0.253,USD
MUB,2014-09-02,0.252,USD
MUB,2014-10-01,0.25,USD
MUB,2014-11-03,0.239,USD
MUB,2014-12-01,0.243,USD
MUB,2014-12-24,0.213,USD
MUB,2015-02-02,0.243,USD
MUB,2015-03-02,0.24,USD
MUB,2015-04-01,0.237,USD
MUB,2015-05-01,0.235,USD
MUB,2015-06-01,0.229,USD
MUB,2015-07-01,0.233,USD
MUB,2015-08-03,0.23,USD
MUB,2015-09-01,0.228,USD
MUB,2015-10-01,0.233,USD
MUB,2015-11-02,0.225,USD
MUB,2015-12-01,0.226,USD
MUB,2015-12-24,0.216,USD
MUB,2016-02-01,0.224,USD
MUB,2016-03-01,0.201,USD
MUB,2016-04-01,0.182,USD
MUB,2016-05-02,0.2,USD
MUB,2016-06-01,0.205,USD
MUB,2016-07-01,0.212,USD
MUB,2016-08-01,0.202,USD
MUB,2016-09-01,0.212,USD
MUB,2016-10-03,0.205,USD
MUB,2016-11-01,0.198,USD
MUB,2016-12-01,0.209,USD
MUB,2016-12-22,0.143,USD
MUB,2017-02-01,0.206,USD
MUB,2017-03-01,0.223,USD
MUB,2017-04-03,0.208,USD
MUB,2017-05-01,0.213,USD
MUB,2017-06-01,0.206,USD
MUB,2017-07-03,0.212,USD
MUB,2017-08-01,0.205,USD
MUB,2017-09-01,0.204,USD
MUB,2017-10-02,0.209,USD
MUB,2017-11-01,0.203,USD
MUB,2017-12-01,0.215,USD
MUB,2017-12-21,0.197,USD
MUB,2018-02-01,0.202,USD
MUB,2018-03-01,0.215,USD
MUB,2018-04-02,0.208,USD
MUB,2018-05-01,0.208,USD
MUB,2018-06-01,0.22,USD
MUB,2018-07-02,0.233,USD
MUB,2018-08-01,0.229,USD
MUB,2018-09-04,0.229,USD
MUB,2018-10-01,0.237,USD
MUB,2018-11-01,0.247,USD
MUB,2018-12-03,0.231,USD
MUB,2018-12-18,0.22,USD
MUB,2019-02-01,0.234,USD
MUB,2019-03-01,0.247,USD
MUB,2019-04-01,0.235,USD
MUB,2019-05-01,0.235,USD
MUB,2019-06-03,0.24,USD
MUB,2019-07-01,0.229,USD
MUB,2019-08-01,0.226,USD
MUB,2019-09-03,0.222,USD
MUB,2019-10-01,0.226,USD
MUB,2019-11-01,0.223,USD
MUB,2019-12-02,0.222,USD
MUB,2019-12-19,0.217,USD
MUB,2020-02-03,0.215,USD
MUB,2020-03-02,0.228,USD
MUB,2020-04-01,0.227,USD
MUB,2020-05-01,0.22,USD
MUB,2020-06-01,0.208,USD
MUB,2020-07-01,0.206,USD
MUB,2020-08-03,0.194,USD
MUB,2020-09-01,0.194,USD
MUB,2020-10-01,0.208,USD
MUB,2020-11-02,0.197,USD
MUB,2020-12-01,0.194,USD
MUB,2020-12-17,0.183,USD
MUB,2021-02-01,0.182,USD
MUB,2021-03-01,0.195,USD
MUB,2021-04-01,0.182,USD
MUB,2021-05-03,0.182,USD
MUB,2021-06-01,0.177,USD
MUB,2021-07-01,0.178,USD
MUB,2021-08-02,0.171,USD
MUB,2021-09-01,0.165,USD
MUB,2021-10-01,0.174,USD
MUB,2021-11-01,0.161,USD
MUB,2021-12-01,0.169,USD
MUB,2021-12-16,0.163,USD
MUB,2022-02-01,0.158,USD
MUB,2022-03-01,0.174,USD
MUB,2022-04-01,0.165,USD
MUB,2022-05-02,0.172,USD
MUB,2022-06-01,0.162,USD
MUB,2022-07-01,0.186,USD
MUB,2022-08-01,0.186,USD
MUB,2022-09-01,0.199,USD
MUB,2022-10-03,0.202,USD
MUB,2022-11-01,0.198,USD
MUB,2022-12-01,0.211,USD
MUB,2022-12-15,0.212,USD
MUB,2023-02-01,0.224,USD
MUB,2023-03-01,0.243,USD
MUB,2023-04-03,0.228,USD
MUB,2023-05-01,0.234,USD
MUB,2023-06-01,0.231,USD
MUB,2023-07-03,0.24,USD
MUB,2023-08-01,0.236,USD
MUB,2023-09-01,0.234,USD
MUB,2023-10-02,0.242,USD
MUB,2023-11-01,0.252,USD
MUB,2023-12-01,0.251,USD
MUB,2023-12-14,0.254,USD
MUB,2024-02-01,0.258,USD
MUB,2024-03-01,0.268,USD
MUB,2024-04-01,0.26,USD
MUB,2024-05-01,0.261,USD
MUB,2024-06-03,0.278,USD
MUB,2024-07-01,0.26,USD
MUB,2024-08-01,0.264,USD
MUB,2024-09-03,0.268,USD
MUB,2024-10-01,0.276,USD
MUB,2024-11-01,0.268,USD
MUB,2024-12-02,0.27,USD
MUB,2024-12-18,0.272,USD
MUB,2025-02-03,0.271,USD
MUB,2025-03-03,0.282,USD
