etf_id,date,dividend_per_unit,currency
QQQM,2020-12-21,0.206,USD
QQQM,2021-03-22,0.157,USD
QQQM,2021-06-21,0.182,USD
QQQM,2021-09-20,0.166,USD
QQQM,2021-12-20,0.149,USD
QQQM,2022-03-21,0.194,USD
QQQM,2022-06-21,0.205,USD
QQQM,2022-09-19,0.245,USD
QQQM,2022-12-19,0.27,USD
QQQM,2023-03-20,0.254,USD
QQQM,2023-06-20,0.217,USD
QQQM,2023-09-18,0.245,USD
QQQM,2023-12-18,0.381,USD
QQQM,2024-03-18,0.345,USD
QQQM,2024-06-24,0.32,USD
QQQM,2024-09-23,0.3,USD
QQQM,2024-12-23,0.31,USD
QQQM,2025-03-24,0.318,USD
QQQM,2025-06-23,0.316,USD
