etf_id,date,dividend_per_unit,currency
QUAL,2013-09-24,0.171,USD
QUAL,2013-12-23,0.185,USD
QUAL,2014-03-25,0.203,USD
QUAL,2014-06-25,0.221,USD
QUAL,2014-09-24,0.185,USD
QUAL,2015-03-25,0.225,USD
QUAL,2015-06-24,0.304,USD
QUAL,2015-09-25,0.253,USD
QUAL,2015-12-24,0.27,USD
QUAL,2016-06-21,0.376,USD
QUAL,2016-09-26,0.3,USD
QUAL,2016-12-22,0.362,USD
QUAL,2017-03-24,0.347,USD
QUAL,2017-06-27,0.393,USD
QUAL,2017-09-26,0.34,USD
QUAL,2017-12-21,0.378,USD
QUAL,2018-03-22,0.377,USD
QUAL,2018-06-26,0.377,USD
QUAL,2018-09-26,0.368,USD
QUAL,2018-12-17,0.412,USD
QUAL,2019-03-20,0.354,USD
QUAL,2019-06-17,0.455,USD
QUAL,2019-09-24,0.367,USD
QUAL,2019-12-16,0.44,USD
QUAL,2020-03-25,0.41,USD
QUAL,2020-06-15,0.355,USD
QUAL,2020-09-23,0.442,USD
QUAL,2020-12-14,0.408,USD
QUAL,2021-03-25,0.54,USD
QUAL,2021-06-10,0.378,USD
QUAL,2021-09-24,0.418,USD
QUAL,2021-12-13,0.407,USD
QUAL,2022-03-24,0.382,USD
QUAL,2022-06-09,0.422,USD
QUAL,2022-09-26,0.53,USD
QUAL,2022-12-13,0.481,USD
QUAL,2023-03-23,0.365,USD
QUAL,2023-06-07,0.385,USD
QUAL,2023-09-26,0.51,USD
QUAL,2023-12-20,0.449,USD
QUAL,2023-12-28,0.097,USD
QUAL,2024-03-21,0.375,USD
QUAL,2024-06-11,0.345,USD
QUAL,2024-09-25,0.543,USD
QUAL,2024-12-17,0.548,USD
QUAL,2025-03-18,0.391,USD
QUAL,2025-06-16,0.388,USD
