Stock_ID,Ex-Dividend Date,Dividend Per Unit
SCHF,2010-12-20 00:00:00-05:00,0.2375
SCHF,2013-12-23 00:00:00-05:00,0.3485
SCHF,2014-12-22 00:00:00-05:00,0.4195
SCHF,2016-12-19 00:00:00-05:00,0.3565
SCHF,2018-12-12 00:00:00-05:00,0.434
SCHF,2019-06-26 00:00:00-04:00,0.1285
SCHF,2019-12-12 00:00:00-05:00,0.367
SCHF,2020-12-10 00:00:00-05:00,0.255
SCHF,2021-06-23 00:00:00-04:00,0.1705
SCHF,2023-12-06 00:00:00-05:00,0.352
SCHF,2024-06-26 00:00:00-04:00,0.1815
SCHF,2024-12-13 00:00:00-05:00,0.422
SCHF,2025-06-25 00:00:00-04:00,0.144
