etf_id,date,dividend_per_unit,currency
SGOV,2020-07-01,0.006,USD
SGOV,2020-08-03,0.011,USD
SGOV,2020-09-01,0.007,USD
SGOV,2020-10-01,0.005,USD
SGOV,2020-11-02,0.005,USD
SGOV,2020-12-01,0.005,USD
SGOV,2020-12-17,0.006,USD
SGOV,2021-02-01,0.005,USD
SGOV,2021-05-03,0.004,USD
SGOV,2021-06-01,0.002,USD
SGOV,2021-07-01,0.002,USD
SGOV,2021-08-02,0.002,USD
SGOV,2021-09-01,0.003,USD
SGOV,2021-10-01,0.003,USD
SGOV,2021-11-01,0.003,USD
SGOV,2021-12-01,0.003,USD
SGOV,2021-12-16,0.005,USD
SGOV,2022-02-01,0.002,USD
SGOV,2022-03-01,0.008,USD
SGOV,2022-04-01,0.018,USD
SGOV,2022-05-02,0.025,USD
SGOV,2022-06-01,0.041,USD
SGOV,2022-07-01,0.069,USD
SGOV,2022-08-01,0.116,USD
SGOV,2022-09-01,0.168,USD
SGOV,2022-10-03,0.157,USD
SGOV,2022-11-01,0.241,USD
SGOV,2022-12-01,0.283,USD
SGOV,2022-12-15,0.327,USD
SGOV,2023-02-01,0.394,USD
SGOV,2023-03-01,0.278,USD
SGOV,2023-04-03,0.362,USD
SGOV,2023-05-01,0.392,USD
SGOV,2023-06-01,0.432,USD
SGOV,2023-07-03,0.417,USD
SGOV,2023-08-01,0.442,USD
SGOV,2023-09-01,0.431,USD
SGOV,2023-10-02,0.412,USD
SGOV,2023-11-01,0.427,USD
SGOV,2023-12-01,0.443,USD
SGOV,2023-12-14,0.455,USD
SGOV,2024-02-01,0.458,USD
SGOV,2024-03-01,0.41,USD
SGOV,2024-04-01,0.45,USD
SGOV,2024-05-01,0.428,USD
SGOV,2024-06-03,0.44,USD
SGOV,2024-07-01,0.439,USD
SGOV,2024-08-01,0.453,USD
SGOV,2024-09-03,0.444,USD
SGOV,2024-10-01,0.43,USD
SGOV,2024-11-01,0.415,USD
SGOV,2024-12-02,0.378,USD
SGOV,2024-12-18,0.372,USD
SGOV,2025-02-03,0.363,USD
SGOV,2025-03-03,0.313,USD
SGOV,2025-04-01,0.346,USD
SGOV,2025-05-01,0.335,USD
SGOV,2025-06-02,0.358,USD
SGOV,2025-07-01,0.347,USD
