Stock_ID,Ex-Dividend Date,Dividend Per Unit
SPDW,2007-12-21 00:00:00-05:00,0.658
SPDW,2008-12-19 00:00:00-05:00,0.643
SPDW,2009-12-18 00:00:00-05:00,0.188
SPDW,2010-06-18 00:00:00-04:00,0.32
SPDW,2010-12-17 00:00:00-05:00,0.263
SPDW,2011-06-17 00:00:00-04:00,0.418
SPDW,2011-12-16 00:00:00-05:00,0.292
SPDW,2012-06-15 00:00:00-04:00,0.301
SPDW,2012-12-21 00:00:00-05:00,0.263
SPDW,2013-06-21 00:00:00-04:00,0.42
SPDW,2013-12-20 00:00:00-05:00,0.274
SPDW,2014-06-20 00:00:00-04:00,0.561
SPDW,2014-12-19 00:00:00-05:00,0.382
SPDW,2015-06-19 00:00:00-04:00,0.366
SPDW,2015-12-18 00:00:00-05:00,0.352
SPDW,2016-06-17 00:00:00-04:00,0.376
SPDW,2016-12-16 00:00:00-05:00,0.424
SPDW,2017-06-16 00:00:00-04:00,0.361
SPDW,2017-12-15 00:00:00-05:00,0.23
SPDW,2018-06-15 00:00:00-04:00,0.533
SPDW,2018-12-24 00:00:00-05:00,0.281
SPDW,2019-06-24 00:00:00-04:00,0.578
SPDW,2019-12-23 00:00:00-05:00,0.402
SPDW,2020-06-22 00:00:00-04:00,0.305
SPDW,2020-12-21 00:00:00-05:00,0.325
SPDW,2021-06-21 00:00:00-04:00,0.51
SPDW,2021-12-20 00:00:00-05:00,0.598
SPDW,2022-06-21 00:00:00-04:00,0.585
SPDW,2022-12-20 00:00:00-05:00,0.342
SPDW,2023-06-20 00:00:00-04:00,0.584
SPDW,2023-12-18 00:00:00-05:00,0.35
SPDW,2024-06-24 00:00:00-04:00,0.618
SPDW,2024-12-23 00:00:00-05:00,0.472
SPDW,2025-06-23 00:00:00-04:00,0.672
