Stock_ID,Ex-Dividend Date,Dividend Per Unit
SPLG,2005-12-16 00:00:00-05:00,0.02775
SPLG,2006-03-17 00:00:00-05:00,0.0555
SPLG,2006-06-16 00:00:00-04:00,0.145
SPLG,2006-09-15 00:00:00-04:00,0.0605
SPLG,2006-12-15 00:00:00-05:00,0.0725
SPLG,2007-03-16 00:00:00-04:00,0.07625
SPLG,2007-06-15 00:00:00-04:00,0.06775
SPLG,2007-09-21 00:00:00-04:00,0.0715
SPLG,2007-12-21 00:00:00-05:00,0.07625
SPLG,2008-03-20 00:00:00-04:00,0.07125
SPLG,2008-06-20 00:00:00-04:00,0.07625
SPLG,2008-09-19 00:00:00-04:00,0.075
SPLG,2008-12-19 00:00:00-05:00,0.0855
SPLG,2009-03-20 00:00:00-04:00,0.06525
SPLG,2009-06-19 00:00:00-04:00,0.06
SPLG,2009-09-18 00:00:00-04:00,0.0575
SPLG,2009-12-18 00:00:00-05:00,0.03625
SPLG,2010-03-19 00:00:00-04:00,0.0515
SPLG,2010-06-18 00:00:00-04:00,0.05825
SPLG,2010-09-17 00:00:00-04:00,0.0655
SPLG,2010-12-17 00:00:00-05:00,0.06775
SPLG,2011-03-18 00:00:00-04:00,0.058
SPLG,2011-06-17 00:00:00-04:00,0.0675
SPLG,2011-09-16 00:00:00-04:00,0.0675
SPLG,2011-12-16 00:00:00-05:00,0.08225
SPLG,2012-03-16 00:00:00-04:00,0.0665
SPLG,2012-06-15 00:00:00-04:00,0.076
SPLG,2012-09-21 00:00:00-04:00,0.08925
SPLG,2012-12-21 00:00:00-05:00,0.11275
SPLG,2013-03-15 00:00:00-04:00,0.0725
SPLG,2013-06-21 00:00:00-04:00,0.09225
SPLG,2013-09-20 00:00:00-04:00,0.09425
SPLG,2013-12-20 00:00:00-05:00,0.1125
SPLG,2014-03-21 00:00:00-04:00,0.0935
SPLG,2014-06-20 00:00:00-04:00,0.108
SPLG,2014-09-19 00:00:00-04:00,0.1065
SPLG,2014-12-19 00:00:00-05:00,0.126
SPLG,2015-03-20 00:00:00-04:00,0.102
SPLG,2015-06-19 00:00:00-04:00,0.117
SPLG,2015-09-18 00:00:00-04:00,0.11625
SPLG,2015-12-18 00:00:00-05:00,0.1405
SPLG,2016-03-18 00:00:00-04:00,0.11925
SPLG,2016-06-17 00:00:00-04:00,0.124
SPLG,2016-09-16 00:00:00-04:00,0.1245
SPLG,2016-12-16 00:00:00-05:00,0.15125
SPLG,2017-03-17 00:00:00-04:00,0.11675
SPLG,2017-06-16 00:00:00-04:00,0.13475
SPLG,2017-09-15 00:00:00-04:00,0.14025
SPLG,2017-12-15 00:00:00-05:00,0.157
SPLG,2018-03-16 00:00:00-04:00,0.139
SPLG,2018-06-15 00:00:00-04:00,0.152
SPLG,2018-09-21 00:00:00-04:00,0.189
SPLG,2018-12-21 00:00:00-05:00,0.172
SPLG,2019-03-15 00:00:00-04:00,0.148
SPLG,2019-06-21 00:00:00-04:00,0.172
SPLG,2019-09-20 00:00:00-04:00,0.17
SPLG,2019-12-20 00:00:00-05:00,0.188
SPLG,2020-03-23 00:00:00-04:00,0.178
SPLG,2020-06-22 00:00:00-04:00,0.168
SPLG,2020-09-21 00:00:00-04:00,0.15
SPLG,2020-12-21 00:00:00-05:00,0.181
SPLG,2021-03-22 00:00:00-04:00,0.173
SPLG,2021-06-21 00:00:00-04:00,0.167
SPLG,2021-09-20 00:00:00-04:00,0.154
SPLG,2021-12-20 00:00:00-05:00,0.203
SPLG,2022-03-21 00:00:00-04:00,0.167
SPLG,2022-06-21 00:00:00-04:00,0.194
SPLG,2022-09-19 00:00:00-04:00,0.193
SPLG,2022-12-19 00:00:00-05:00,0.207
SPLG,2023-03-20 00:00:00-04:00,0.183
SPLG,2023-06-20 00:00:00-04:00,0.203
SPLG,2023-09-18 00:00:00-04:00,0.198
SPLG,2023-12-18 00:00:00-05:00,0.221
SPLG,2024-03-18 00:00:00-04:00,0.202
SPLG,2024-06-24 00:00:00-04:00,0.223
SPLG,2024-09-23 00:00:00-04:00,0.216
SPLG,2024-12-27 00:00:00-05:00,0.239
SPLG,2025-03-28 00:00:00-04:00,0.217
SPLG,2025-06-27 00:00:00-04:00,0.214
