Stock_ID,Ex-Dividend Date,Dividend Per Unit
SPYV,2000-12-15 00:00:00-05:00,0.07175
SPYV,2001-03-16 00:00:00-05:00,0.074375
SPYV,2001-06-15 00:00:00-04:00,0.064125
SPYV,2001-09-21 00:00:00-04:00,0.066625
SPYV,2001-12-21 00:00:00-05:00,0.075875
SPYV,2002-03-15 00:00:00-05:00,0.065375
SPYV,2002-06-21 00:00:00-04:00,0.078375
SPYV,2002-09-20 00:00:00-04:00,0.127625
SPYV,2002-12-20 00:00:00-05:00,0.087125
SPYV,2003-03-21 00:00:00-05:00,0.062375
SPYV,2003-06-20 00:00:00-04:00,0.062625
SPYV,2003-09-19 00:00:00-04:00,0.081
SPYV,2003-12-19 00:00:00-05:00,0.116125
SPYV,2004-03-19 00:00:00-05:00,0.089125
SPYV,2004-06-18 00:00:00-04:00,0.07775
SPYV,2004-09-17 00:00:00-04:00,0.11325
SPYV,2004-12-17 00:00:00-05:00,0.108125
SPYV,2005-03-18 00:00:00-05:00,0.1115
SPYV,2005-06-17 00:00:00-04:00,0.0925
SPYV,2005-09-16 00:00:00-04:00,0.116375
SPYV,2005-12-16 00:00:00-05:00,0.135
SPYV,2006-03-17 00:00:00-05:00,0.10575
SPYV,2006-06-16 00:00:00-04:00,0.09525
SPYV,2006-09-15 00:00:00-04:00,0.108
SPYV,2006-12-15 00:00:00-05:00,0.13325
SPYV,2007-03-16 00:00:00-04:00,0.1365
SPYV,2007-06-15 00:00:00-04:00,0.1235
SPYV,2007-09-21 00:00:00-04:00,0.14325
SPYV,2007-12-21 00:00:00-05:00,0.1545
SPYV,2008-03-20 00:00:00-04:00,0.12975
SPYV,2008-06-20 00:00:00-04:00,0.1425
SPYV,2008-09-19 00:00:00-04:00,0.14975
SPYV,2008-12-19 00:00:00-05:00,0.15225
SPYV,2009-03-20 00:00:00-04:00,0.105
SPYV,2009-06-19 00:00:00-04:00,0.097
SPYV,2009-09-18 00:00:00-04:00,0.09375
SPYV,2009-12-18 00:00:00-05:00,0.0735
SPYV,2010-03-19 00:00:00-04:00,0.081
SPYV,2010-06-18 00:00:00-04:00,0.0955
SPYV,2010-09-17 00:00:00-04:00,0.11025
SPYV,2010-12-17 00:00:00-05:00,0.1065
SPYV,2011-03-18 00:00:00-04:00,0.07475
SPYV,2011-06-17 00:00:00-04:00,0.087
SPYV,2011-09-16 00:00:00-04:00,0.08875
SPYV,2011-12-16 00:00:00-05:00,0.09975
SPYV,2012-03-16 00:00:00-04:00,0.08625
SPYV,2012-06-15 00:00:00-04:00,0.09325
SPYV,2012-09-21 00:00:00-04:00,0.10925
SPYV,2012-12-21 00:00:00-05:00,0.15625
SPYV,2013-03-15 00:00:00-04:00,0.09225
SPYV,2013-06-21 00:00:00-04:00,0.12025
SPYV,2013-09-20 00:00:00-04:00,0.1175
SPYV,2013-12-20 00:00:00-05:00,0.12275
SPYV,2014-03-21 00:00:00-04:00,0.125
SPYV,2014-06-20 00:00:00-04:00,0.1345
SPYV,2014-09-19 00:00:00-04:00,0.13875
SPYV,2014-12-19 00:00:00-05:00,0.158
SPYV,2015-03-20 00:00:00-04:00,0.137
SPYV,2015-06-19 00:00:00-04:00,0.1495
SPYV,2015-09-18 00:00:00-04:00,0.14975
SPYV,2015-12-18 00:00:00-05:00,0.17125
SPYV,2016-03-18 00:00:00-04:00,0.153
SPYV,2016-06-17 00:00:00-04:00,0.15625
SPYV,2016-09-16 00:00:00-04:00,0.1575
SPYV,2016-12-16 00:00:00-05:00,0.1865
SPYV,2017-03-17 00:00:00-04:00,0.14575
SPYV,2017-06-16 00:00:00-04:00,0.168
SPYV,2017-09-15 00:00:00-04:00,0.176
SPYV,2017-12-15 00:00:00-05:00,0.361
SPYV,2018-03-19 00:00:00-04:00,0.174
SPYV,2018-06-18 00:00:00-04:00,0.19
SPYV,2018-09-24 00:00:00-04:00,0.224
SPYV,2018-12-24 00:00:00-05:00,0.219
SPYV,2019-03-18 00:00:00-04:00,0.175
SPYV,2019-06-24 00:00:00-04:00,0.203
SPYV,2019-09-23 00:00:00-04:00,0.195
SPYV,2019-12-23 00:00:00-05:00,0.212
SPYV,2020-03-23 00:00:00-04:00,0.222
SPYV,2020-06-22 00:00:00-04:00,0.211
SPYV,2020-09-21 00:00:00-04:00,0.192
SPYV,2020-12-21 00:00:00-05:00,0.194
SPYV,2021-03-22 00:00:00-04:00,0.241
SPYV,2021-06-21 00:00:00-04:00,0.202
SPYV,2021-09-20 00:00:00-04:00,0.184
SPYV,2021-12-20 00:00:00-05:00,0.255
SPYV,2022-03-21 00:00:00-04:00,0.184
SPYV,2022-06-21 00:00:00-04:00,0.222
SPYV,2022-09-19 00:00:00-04:00,0.222
SPYV,2022-12-19 00:00:00-05:00,0.238
SPYV,2023-03-20 00:00:00-04:00,0.177
SPYV,2023-06-20 00:00:00-04:00,0.205
SPYV,2023-09-18 00:00:00-04:00,0.201
SPYV,2023-12-18 00:00:00-05:00,0.231
SPYV,2024-03-18 00:00:00-04:00,0.256
SPYV,2024-06-24 00:00:00-04:00,0.288
SPYV,2024-09-23 00:00:00-04:00,0.276
SPYV,2024-12-23 00:00:00-05:00,0.349
SPYV,2025-03-24 00:00:00-04:00,0.18
SPYV,2025-06-23 00:00:00-04:00,0.253
