Stock_ID,Ex-Dividend Date,Dividend Per Unit
TLT,2002-09-03 00:00:00-04:00,0.373
TLT,2002-10-01 00:00:00-04:00,0.343
TLT,2002-11-01 00:00:00-05:00,0.389
TLT,2002-12-02 00:00:00-05:00,0.389
TLT,2002-12-31 00:00:00-05:00,0.446
TLT,2003-02-03 00:00:00-05:00,0.308
TLT,2003-03-03 00:00:00-05:00,0.34
TLT,2003-04-01 00:00:00-05:00,0.378
TLT,2003-05-01 00:00:00-04:00,0.473
TLT,2003-06-02 00:00:00-04:00,0.398
TLT,2003-07-01 00:00:00-04:00,0.353
TLT,2003-08-01 00:00:00-04:00,0.378
TLT,2003-09-02 00:00:00-04:00,0.372
TLT,2003-10-01 00:00:00-04:00,0.367
TLT,2003-11-03 00:00:00-05:00,0.348
TLT,2003-12-01 00:00:00-05:00,0.418
TLT,2003-12-31 00:00:00-05:00,0.4
TLT,2004-02-02 00:00:00-05:00,0.358
TLT,2004-03-01 00:00:00-05:00,0.356
TLT,2004-04-01 00:00:00-05:00,0.348
TLT,2004-05-03 00:00:00-04:00,0.325
TLT,2004-06-01 00:00:00-04:00,0.322
TLT,2004-07-01 00:00:00-04:00,0.336
TLT,2004-08-02 00:00:00-04:00,0.33
TLT,2004-09-01 00:00:00-04:00,0.35
TLT,2004-10-01 00:00:00-04:00,0.361
TLT,2004-11-01 00:00:00-05:00,0.366
TLT,2004-12-01 00:00:00-05:00,0.355
TLT,2004-12-31 00:00:00-05:00,0.335
TLT,2005-02-01 00:00:00-05:00,0.345
TLT,2005-03-01 00:00:00-05:00,0.282
TLT,2005-04-01 00:00:00-05:00,0.33
TLT,2005-05-02 00:00:00-04:00,0.33
TLT,2005-06-01 00:00:00-04:00,0.349
TLT,2005-07-01 00:00:00-04:00,0.332
TLT,2005-08-01 00:00:00-04:00,0.345
TLT,2005-09-01 00:00:00-04:00,0.334
TLT,2005-10-03 00:00:00-04:00,0.362
TLT,2005-11-01 00:00:00-05:00,0.397
TLT,2005-12-01 00:00:00-05:00,0.39
TLT,2005-12-28 00:00:00-05:00,0.383
TLT,2006-02-01 00:00:00-05:00,0.321
TLT,2006-03-01 00:00:00-05:00,0.32
TLT,2006-04-03 00:00:00-04:00,0.328
TLT,2006-05-01 00:00:00-04:00,0.33
TLT,2006-06-01 00:00:00-04:00,0.332
TLT,2006-07-03 00:00:00-04:00,0.327
TLT,2006-08-01 00:00:00-04:00,0.342
TLT,2006-09-01 00:00:00-04:00,0.35
TLT,2006-10-02 00:00:00-04:00,0.354
TLT,2006-11-01 00:00:00-05:00,0.345
TLT,2006-12-01 00:00:00-05:00,0.342
TLT,2006-12-27 00:00:00-05:00,0.303
TLT,2007-02-01 00:00:00-05:00,0.355
TLT,2007-03-01 00:00:00-05:00,0.343
TLT,2007-04-02 00:00:00-04:00,0.326
TLT,2007-05-01 00:00:00-04:00,0.324
TLT,2007-06-01 00:00:00-04:00,0.338
TLT,2007-07-02 00:00:00-04:00,0.326
TLT,2007-08-01 00:00:00-04:00,0.341
TLT,2007-09-04 00:00:00-04:00,0.362
TLT,2007-10-01 00:00:00-04:00,0.345
TLT,2007-11-01 00:00:00-04:00,0.394
TLT,2007-12-03 00:00:00-05:00,0.376
TLT,2007-12-27 00:00:00-05:00,0.362
TLT,2008-02-01 00:00:00-05:00,0.329
TLT,2008-03-03 00:00:00-05:00,0.348
TLT,2008-04-01 00:00:00-04:00,0.406
TLT,2008-05-01 00:00:00-04:00,0.336
TLT,2008-06-02 00:00:00-04:00,0.327
TLT,2008-07-01 00:00:00-04:00,0.332
TLT,2008-08-01 00:00:00-04:00,0.332
TLT,2008-09-02 00:00:00-04:00,0.34
TLT,2008-10-01 00:00:00-04:00,0.29
TLT,2008-11-03 00:00:00-05:00,0.37
TLT,2008-12-01 00:00:00-05:00,0.355
TLT,2008-12-29 00:00:00-05:00,0.405
TLT,2009-02-02 00:00:00-05:00,0.285
TLT,2009-03-02 00:00:00-05:00,0.282
TLT,2009-04-01 00:00:00-04:00,0.302
TLT,2009-05-01 00:00:00-04:00,0.297
TLT,2009-06-01 00:00:00-04:00,0.305
TLT,2009-07-01 00:00:00-04:00,0.303
TLT,2009-08-03 00:00:00-04:00,0.318
TLT,2009-09-01 00:00:00-04:00,0.307
TLT,2009-10-01 00:00:00-04:00,0.307
TLT,2009-11-02 00:00:00-05:00,0.308
TLT,2009-12-01 00:00:00-05:00,0.307
TLT,2009-12-29 00:00:00-05:00,0.318
TLT,2010-02-01 00:00:00-05:00,0.325
TLT,2010-03-01 00:00:00-05:00,0.29
TLT,2010-04-01 00:00:00-04:00,0.332
TLT,2010-05-03 00:00:00-04:00,0.32
TLT,2010-06-01 00:00:00-04:00,0.326
TLT,2010-07-01 00:00:00-04:00,0.31
TLT,2010-08-02 00:00:00-04:00,0.324
TLT,2010-09-01 00:00:00-04:00,0.322
TLT,2010-10-01 00:00:00-04:00,0.392
TLT,2010-11-01 00:00:00-04:00,0.319
TLT,2010-12-01 00:00:00-05:00,0.34
TLT,2010-12-28 00:00:00-05:00,0.32
TLT,2011-02-01 00:00:00-05:00,0.32
TLT,2011-03-01 00:00:00-05:00,0.297
TLT,2011-04-01 00:00:00-04:00,0.386
TLT,2011-05-02 00:00:00-04:00,0.4
TLT,2011-06-01 00:00:00-04:00,0.352
TLT,2011-07-01 00:00:00-04:00,0.32
TLT,2011-08-01 00:00:00-04:00,0.325
TLT,2011-09-01 00:00:00-04:00,0.322
TLT,2011-10-03 00:00:00-04:00,0.306
TLT,2011-11-01 00:00:00-04:00,0.299
TLT,2011-12-01 00:00:00-05:00,0.29
TLT,2011-12-27 00:00:00-05:00,0.38
TLT,2012-02-01 00:00:00-05:00,0.289
TLT,2012-03-01 00:00:00-05:00,0.267
TLT,2012-04-02 00:00:00-04:00,0.29
TLT,2012-05-01 00:00:00-04:00,0.283
TLT,2012-06-01 00:00:00-04:00,0.263
TLT,2012-07-02 00:00:00-04:00,0.269
TLT,2012-08-01 00:00:00-04:00,0.273
TLT,2012-09-04 00:00:00-04:00,0.272
TLT,2012-10-01 00:00:00-04:00,0.26
TLT,2012-12-03 00:00:00-05:00,0.245
TLT,2012-12-26 00:00:00-05:00,0.268
TLT,2013-02-01 00:00:00-05:00,0.26
TLT,2013-03-01 00:00:00-05:00,0.254
TLT,2013-04-01 00:00:00-04:00,0.255
TLT,2013-05-01 00:00:00-04:00,0.261
TLT,2013-06-03 00:00:00-04:00,0.275
TLT,2013-07-01 00:00:00-04:00,0.252
TLT,2013-08-01 00:00:00-04:00,0.27
TLT,2013-09-03 00:00:00-04:00,0.279
TLT,2013-10-01 00:00:00-04:00,0.278
TLT,2013-11-01 00:00:00-04:00,0.288
TLT,2013-12-02 00:00:00-05:00,0.31
TLT,2013-12-26 00:00:00-05:00,0.335
TLT,2014-02-03 00:00:00-05:00,0.276
TLT,2014-03-03 00:00:00-05:00,0.263
TLT,2014-04-01 00:00:00-04:00,0.28
TLT,2014-05-01 00:00:00-04:00,0.269
TLT,2014-06-02 00:00:00-04:00,0.294
TLT,2014-07-01 00:00:00-04:00,0.292
TLT,2014-08-01 00:00:00-04:00,0.3
TLT,2014-09-02 00:00:00-04:00,0.271
TLT,2014-10-01 00:00:00-04:00,0.289
TLT,2014-11-03 00:00:00-05:00,0.29
TLT,2014-12-01 00:00:00-05:00,0.277
TLT,2014-12-24 00:00:00-05:00,0.261
TLT,2015-02-02 00:00:00-05:00,0.279
TLT,2015-03-02 00:00:00-05:00,0.252
TLT,2015-04-01 00:00:00-04:00,0.273
TLT,2015-05-01 00:00:00-04:00,0.258
TLT,2015-06-01 00:00:00-04:00,0.264
TLT,2015-07-01 00:00:00-04:00,0.258
TLT,2015-08-03 00:00:00-04:00,0.267
TLT,2015-09-01 00:00:00-04:00,0.263
TLT,2015-10-01 00:00:00-04:00,0.256
TLT,2015-11-02 00:00:00-05:00,0.267
TLT,2015-12-01 00:00:00-05:00,0.257
TLT,2015-12-24 00:00:00-05:00,0.254
TLT,2016-02-01 00:00:00-05:00,0.241
TLT,2016-03-01 00:00:00-05:00,0.248
TLT,2016-04-01 00:00:00-04:00,0.27
TLT,2016-05-02 00:00:00-04:00,0.26
TLT,2016-06-01 00:00:00-04:00,0.267
TLT,2016-07-01 00:00:00-04:00,0.255
TLT,2016-08-01 00:00:00-04:00,0.258
TLT,2016-09-01 00:00:00-04:00,0.254
TLT,2016-10-03 00:00:00-04:00,0.247
TLT,2016-11-01 00:00:00-04:00,0.25
TLT,2016-12-01 00:00:00-05:00,0.243
TLT,2016-12-22 00:00:00-05:00,0.309
TLT,2017-02-01 00:00:00-05:00,0.259
TLT,2017-03-01 00:00:00-05:00,0.234
TLT,2017-04-03 00:00:00-04:00,0.255
TLT,2017-05-01 00:00:00-04:00,0.255
TLT,2017-06-01 00:00:00-04:00,0.263
TLT,2017-07-03 00:00:00-04:00,0.258
TLT,2017-08-01 00:00:00-04:00,0.269
TLT,2017-09-01 00:00:00-04:00,0.263
TLT,2017-10-02 00:00:00-04:00,0.252
TLT,2017-11-01 00:00:00-04:00,0.263
TLT,2017-12-01 00:00:00-05:00,0.255
TLT,2017-12-21 00:00:00-05:00,0.262
TLT,2018-02-01 00:00:00-05:00,0.255
TLT,2018-03-01 00:00:00-05:00,0.239
TLT,2018-04-02 00:00:00-04:00,0.26
TLT,2018-05-01 00:00:00-04:00,0.262
TLT,2018-06-01 00:00:00-04:00,0.281
TLT,2018-07-02 00:00:00-04:00,0.275
TLT,2018-08-01 00:00:00-04:00,0.267
TLT,2018-09-04 00:00:00-04:00,0.272
TLT,2018-10-01 00:00:00-04:00,0.261
TLT,2018-11-01 00:00:00-04:00,0.275
TLT,2018-12-03 00:00:00-05:00,0.267
TLT,2018-12-18 00:00:00-05:00,0.282
TLT,2019-02-01 00:00:00-05:00,0.275
TLT,2019-03-01 00:00:00-05:00,0.253
TLT,2019-04-01 00:00:00-04:00,0.278
TLT,2019-05-01 00:00:00-04:00,0.259
TLT,2019-06-03 00:00:00-04:00,0.27
TLT,2019-07-01 00:00:00-04:00,0.26
TLT,2019-08-01 00:00:00-04:00,0.264
TLT,2019-09-03 00:00:00-04:00,0.26
TLT,2019-10-01 00:00:00-04:00,0.25
TLT,2019-11-01 00:00:00-04:00,0.246
TLT,2019-12-02 00:00:00-05:00,0.241
TLT,2019-12-19 00:00:00-05:00,0.218
TLT,2020-02-03 00:00:00-05:00,0.242
TLT,2020-03-02 00:00:00-05:00,0.229
TLT,2020-04-01 00:00:00-04:00,0.238
TLT,2020-05-01 00:00:00-04:00,0.216
TLT,2020-06-01 00:00:00-04:00,0.21
TLT,2020-07-01 00:00:00-04:00,0.192
TLT,2020-08-03 00:00:00-04:00,0.19
TLT,2020-09-01 00:00:00-04:00,0.183
TLT,2020-10-01 00:00:00-04:00,0.169
TLT,2020-11-02 00:00:00-05:00,0.169
TLT,2020-12-01 00:00:00-05:00,0.163
TLT,2020-12-17 00:00:00-05:00,0.164
TLT,2021-02-01 00:00:00-05:00,0.176
TLT,2021-03-01 00:00:00-05:00,0.172
TLT,2021-04-01 00:00:00-04:00,0.185
TLT,2021-05-03 00:00:00-04:00,0.203
TLT,2021-06-01 00:00:00-04:00,0.199
TLT,2021-07-01 00:00:00-04:00,0.188
TLT,2021-08-02 00:00:00-04:00,0.182
TLT,2021-09-01 00:00:00-04:00,0.189
TLT,2021-10-01 00:00:00-04:00,0.183
TLT,2021-11-01 00:00:00-04:00,0.188
TLT,2021-12-01 00:00:00-05:00,0.184
TLT,2021-12-16 00:00:00-05:00,0.168
TLT,2022-02-01 00:00:00-05:00,0.198
TLT,2022-03-01 00:00:00-05:00,0.185
TLT,2022-04-01 00:00:00-04:00,0.202
TLT,2022-05-02 00:00:00-04:00,0.203
TLT,2022-06-01 00:00:00-04:00,0.207
TLT,2022-07-01 00:00:00-04:00,0.227
TLT,2022-08-01 00:00:00-04:00,0.213
TLT,2022-09-01 00:00:00-04:00,0.236
TLT,2022-10-03 00:00:00-04:00,0.244
TLT,2022-11-01 00:00:00-04:00,0.236
TLT,2022-12-01 00:00:00-05:00,0.244
TLT,2022-12-15 00:00:00-05:00,0.261
TLT,2023-02-01 00:00:00-05:00,0.275
TLT,2023-03-01 00:00:00-05:00,0.25
TLT,2023-04-03 00:00:00-04:00,0.269
TLT,2023-05-01 00:00:00-04:00,0.268
TLT,2023-06-01 00:00:00-04:00,0.273
TLT,2023-07-03 00:00:00-04:00,0.278
TLT,2023-08-01 00:00:00-04:00,0.275
TLT,2023-09-01 00:00:00-04:00,0.289
TLT,2023-10-02 00:00:00-04:00,0.28
TLT,2023-11-01 00:00:00-04:00,0.286
TLT,2023-12-01 00:00:00-05:00,0.289
TLT,2023-12-14 00:00:00-05:00,0.311
TLT,2024-02-01 00:00:00-05:00,0.31
TLT,2024-03-01 00:00:00-05:00,0.295
TLT,2024-04-01 00:00:00-04:00,0.312
TLT,2024-05-01 00:00:00-04:00,0.308
TLT,2024-06-03 00:00:00-04:00,0.308
TLT,2024-07-01 00:00:00-04:00,0.291
TLT,2024-08-01 00:00:00-04:00,0.315
TLT,2024-09-03 00:00:00-04:00,0.313
TLT,2024-10-01 00:00:00-04:00,0.316
TLT,2024-11-01 00:00:00-04:00,0.311
TLT,2024-12-02 00:00:00-05:00,0.325
TLT,2024-12-18 00:00:00-05:00,0.351
TLT,2025-02-03 00:00:00-05:00,0.312
TLT,2025-03-03 00:00:00-05:00,0.29
TLT,2025-04-01 00:00:00-04:00,0.326
TLT,2025-05-01 00:00:00-04:00,0.328
TLT,2025-06-02 00:00:00-04:00,0.32
TLT,2025-07-01 00:00:00-04:00,0.328
