etf_id,date,dividend_per_unit,currency
USHY,2017-12-01,0.185,USD
USHY,2017-12-21,0.068333,USD
USHY,2017-12-28,0.048333,USD
USHY,2018-02-01,0.189167,USD
USHY,2018-03-01,0.191667,USD
USHY,2018-04-02,0.195833,USD
USHY,2018-05-01,0.194167,USD
USHY,2018-06-01,0.21,USD
USHY,2018-07-02,0.200833,USD
USHY,2018-08-01,0.2,USD
USHY,2018-09-04,0.201667,USD
USHY,2018-10-01,0.203333,USD
USHY,2018-11-01,0.21,USD
USHY,2018-12-03,0.2025,USD
USHY,2018-12-18,0.205833,USD
USHY,2019-02-01,0.218333,USD
USHY,2019-03-01,0.2175,USD
USHY,2019-04-01,0.218333,USD
USHY,2019-05-01,0.206,USD
USHY,2019-06-03,0.208,USD
USHY,2019-07-01,0.192,USD
USHY,2019-08-01,0.194,USD
USHY,2019-09-03,0.19,USD
USHY,2019-10-01,0.19,USD
USHY,2019-11-01,0.197,USD
USHY,2019-12-02,0.199,USD
USHY,2019-12-19,0.2,USD
USHY,2020-02-03,0.189,USD
USHY,2020-03-02,0.18,USD
USHY,2020-04-01,0.194,USD
USHY,2020-05-01,0.193,USD
USHY,2020-06-01,0.167,USD
USHY,2020-07-01,0.18,USD
USHY,2020-08-03,0.177,USD
USHY,2020-09-01,0.178,USD
USHY,2020-10-01,0.191,USD
USHY,2020-11-02,0.188,USD
USHY,2020-12-01,0.18,USD
USHY,2020-12-17,0.172,USD
USHY,2021-02-01,0.18,USD
USHY,2021-03-01,0.178,USD
USHY,2021-04-01,0.18,USD
USHY,2021-05-03,0.182,USD
USHY,2021-06-01,0.176,USD
USHY,2021-07-01,0.171,USD
USHY,2021-08-02,0.172,USD
USHY,2021-09-01,0.169,USD
USHY,2021-10-01,0.173,USD
USHY,2021-11-01,0.17,USD
USHY,2021-12-01,0.162,USD
USHY,2021-12-16,0.174,USD
USHY,2022-02-01,0.169,USD
USHY,2022-03-01,0.172,USD
USHY,2022-04-01,0.187,USD
USHY,2022-05-02,0.168,USD
USHY,2022-06-01,0.161,USD
USHY,2022-07-01,0.176,USD
USHY,2022-08-01,0.148,USD
USHY,2022-09-01,0.193,USD
USHY,2022-10-03,0.186,USD
USHY,2022-11-01,0.195,USD
USHY,2022-12-01,0.18,USD
USHY,2022-12-15,0.163,USD
USHY,2023-02-01,0.233,USD
USHY,2023-03-01,0.207,USD
USHY,2023-04-03,0.198,USD
USHY,2023-05-01,0.193,USD
USHY,2023-06-01,0.201,USD
USHY,2023-07-03,0.194,USD
USHY,2023-08-01,0.198,USD
USHY,2023-09-01,0.201,USD
USHY,2023-10-02,0.198,USD
USHY,2023-11-01,0.19,USD
USHY,2023-12-01,0.194,USD
USHY,2023-12-14,0.201,USD
USHY,2024-02-01,0.218,USD
USHY,2024-03-01,0.218,USD
USHY,2024-04-01,0.227,USD
USHY,2024-05-01,0.21,USD
USHY,2024-06-03,0.202,USD
USHY,2024-07-01,0.208,USD
USHY,2024-08-01,0.189,USD
USHY,2024-09-03,0.207,USD
USHY,2024-10-01,0.203,USD
USHY,2024-11-01,0.211,USD
USHY,2024-12-02,0.218,USD
USHY,2024-12-18,0.224,USD
USHY,2025-02-03,0.214,USD
USHY,2025-03-03,0.21,USD
USHY,2025-04-01,0.21,USD
USHY,2025-05-01,0.202,USD
USHY,2025-06-02,0.211,USD
USHY,2025-07-01,0.211,USD
