etf_id,date,dividend_per_unit,currency
USMV,2011-12-22,0.078,USD
USMV,2012-03-23,0.119,USD
USMV,2012-06-22,0.055,USD
USMV,2012-09-24,0.186,USD
USMV,2012-12-19,0.194,USD
USMV,2012-12-27,0.016,USD
USMV,2013-03-25,0.122,USD
USMV,2013-06-27,0.173,USD
USMV,2013-09-24,0.272,USD
USMV,2013-12-23,0.206,USD
USMV,2014-03-25,0.182,USD
USMV,2014-06-25,0.189,USD
USMV,2014-09-24,0.171,USD
USMV,2014-12-24,0.218,USD
USMV,2015-03-25,0.179,USD
USMV,2015-06-24,0.2,USD
USMV,2015-09-25,0.202,USD
USMV,2015-12-24,0.263,USD
USMV,2016-03-23,0.209,USD
USMV,2016-06-21,0.238,USD
USMV,2016-09-26,0.244,USD
USMV,2016-12-22,0.312,USD
USMV,2017-03-24,0.209,USD
USMV,2017-06-27,0.258,USD
USMV,2017-09-26,0.219,USD
USMV,2017-12-21,0.246,USD
USMV,2018-03-22,0.235,USD
USMV,2018-06-26,0.291,USD
USMV,2018-09-26,0.253,USD
USMV,2018-12-17,0.299,USD
USMV,2018-12-28,0.033,USD
USMV,2019-03-20,0.236,USD
USMV,2019-06-17,0.325,USD
USMV,2019-09-24,0.287,USD
USMV,2019-12-16,0.384,USD
USMV,2020-03-25,0.313,USD
USMV,2020-06-15,0.302,USD
USMV,2020-09-23,0.313,USD
USMV,2020-12-14,0.302,USD
USMV,2021-03-25,0.274,USD
USMV,2021-06-10,0.213,USD
USMV,2021-09-24,0.286,USD
USMV,2021-12-13,0.25,USD
USMV,2022-03-24,0.268,USD
USMV,2022-06-09,0.222,USD
USMV,2022-09-26,0.332,USD
USMV,2022-12-13,0.347,USD
USMV,2023-03-23,0.32,USD
USMV,2023-06-07,0.28,USD
USMV,2023-09-26,0.387,USD
USMV,2023-12-20,0.43,USD
USMV,2024-03-21,0.36,USD
USMV,2024-06-11,0.301,USD
USMV,2024-09-25,0.408,USD
USMV,2024-12-17,0.418,USD
USMV,2025-03-18,0.325,USD
USMV,2025-06-16,0.325,USD
