etf_id,date,dividend_per_unit,currency
VBR,2004-12-27,0.968,USD
VBR,2005-03-21,0.008,USD
VBR,2005-12-27,1.256,USD
VBR,2006-03-20,0.04,USD
VBR,2006-12-22,1.331,USD
VBR,2007-03-22,0.058,USD
VBR,2007-12-20,1.509,USD
VBR,2008-03-12,0.046,USD
VBR,2008-12-24,1.267,USD
VBR,2009-03-23,0.033,USD
VBR,2009-12-24,1.051,USD
VBR,2010-03-23,0.029,USD
VBR,2010-12-27,1.27,USD
VBR,2011-03-23,0.008,USD
VBR,2011-12-23,1.372,USD
VBR,2012-03-22,0.029,USD
VBR,2012-12-24,1.874,USD
VBR,2013-03-20,0.021,USD
VBR,2013-12-24,1.797,USD
VBR,2014-03-25,0.024,USD
VBR,2014-12-22,1.845,USD
VBR,2015-03-25,0.076,USD
VBR,2015-09-25,1.143,USD
VBR,2015-12-23,0.744,USD
VBR,2016-03-15,0.367,USD
VBR,2016-06-14,0.32,USD
VBR,2016-09-20,0.655,USD
VBR,2016-12-22,0.796,USD
VBR,2017-03-24,0.477,USD
VBR,2017-06-28,0.42,USD
VBR,2017-09-27,0.617,USD
VBR,2017-12-21,0.862,USD
VBR,2018-03-22,0.566,USD
VBR,2018-06-22,0.513,USD
VBR,2018-09-28,0.783,USD
VBR,2018-12-24,0.817,USD
VBR,2019-03-28,0.59,USD
VBR,2019-06-27,0.741,USD
VBR,2019-09-16,0.478,USD
VBR,2019-12-24,1.016,USD
VBR,2020-03-10,0.4,USD
VBR,2020-06-25,0.493,USD
VBR,2020-09-25,0.62,USD
VBR,2020-12-24,0.876,USD
VBR,2021-03-25,0.636,USD
VBR,2021-06-24,0.651,USD
VBR,2021-09-24,0.662,USD
VBR,2021-12-27,1.182,USD
VBR,2022-03-23,0.626,USD
VBR,2022-06-23,0.712,USD
VBR,2022-09-23,0.771,USD
VBR,2022-12-22,1.119,USD
VBR,2023-03-23,0.892,USD
VBR,2023-06-23,0.887,USD
VBR,2023-09-21,0.875,USD
VBR,2023-12-21,1.154,USD
VBR,2024-03-21,0.943,USD
VBR,2024-06-27,1.017,USD
VBR,2024-09-26,0.87,USD
VBR,2024-12-23,1.091,USD
VBR,2025-03-27,1.242,USD
VBR,2025-06-30,0.911,USD
