etf_id,date,dividend_per_unit,currency
VB,2004-12-27,0.621,USD
VB,2005-03-21,0.005,USD
VB,2005-12-27,0.678,USD
VB,2006-03-20,0.01,USD
VB,2006-12-22,0.825,USD
VB,2007-03-22,0.014,USD
VB,2007-12-20,0.942,USD
VB,2008-03-12,0.024,USD
VB,2008-12-24,0.894,USD
VB,2009-03-23,0.021,USD
VB,2009-12-24,0.637,USD
VB,2010-03-23,0.009,USD
VB,2010-12-27,0.837,USD
VB,2011-03-23,0.006,USD
VB,2011-12-23,0.94,USD
VB,2012-03-22,0.019,USD
VB,2012-12-24,1.485,USD
VB,2013-03-20,0.017,USD
VB,2013-12-24,1.422,USD
VB,2014-03-25,0.009,USD
VB,2014-12-22,1.664,USD
VB,2015-03-25,0.052,USD
VB,2015-09-25,0.959,USD
VB,2015-12-23,0.626,USD
VB,2016-03-15,0.305,USD
VB,2016-06-14,0.304,USD
VB,2016-09-20,0.572,USD
VB,2016-12-22,0.749,USD
VB,2017-03-24,0.424,USD
VB,2017-06-21,0.263,USD
VB,2017-09-20,0.533,USD
VB,2017-12-21,0.775,USD
VB,2018-03-22,0.455,USD
VB,2018-06-22,0.382,USD
VB,2018-09-28,0.646,USD
VB,2018-12-24,0.717,USD
VB,2019-03-28,0.477,USD
VB,2019-06-27,0.485,USD
VB,2019-09-16,0.451,USD
VB,2019-12-24,0.893,USD
VB,2020-03-10,0.467,USD
VB,2020-06-25,0.32,USD
VB,2020-09-25,0.545,USD
VB,2020-12-24,0.893,USD
VB,2021-03-25,0.563,USD
VB,2021-06-24,0.555,USD
VB,2021-09-24,0.586,USD
VB,2021-12-27,1.091,USD
VB,2022-03-23,0.557,USD
VB,2022-06-23,0.589,USD
VB,2022-09-23,0.665,USD
VB,2022-12-15,0.091,USD
VB,2022-12-22,1.009,USD
VB,2023-03-23,0.746,USD
VB,2023-06-23,0.759,USD
VB,2023-09-21,0.735,USD
VB,2023-12-21,1.077,USD
VB,2024-03-22,0.677,USD
VB,2024-06-28,0.847,USD
VB,2024-09-27,0.705,USD
VB,2024-12-23,0.904,USD
VB,2025-03-27,0.919,USD
VB,2025-06-30,0.788,USD
