Stock_ID,Ex-Dividend Date,Dividend Per Unit
VCSH,2009-12-24 00:00:00-05:00,0.169
VCSH,2010-01-29 00:00:00-05:00,0.127
VCSH,2010-02-26 00:00:00-05:00,0.127
VCSH,2010-03-31 00:00:00-04:00,0.171
VCSH,2010-04-30 00:00:00-04:00,0.132
VCSH,2010-05-28 00:00:00-04:00,0.159
VCSH,2010-06-30 00:00:00-04:00,0.142
VCSH,2010-07-30 00:00:00-04:00,0.161
VCSH,2010-08-31 00:00:00-04:00,0.152
VCSH,2010-09-30 00:00:00-04:00,0.154
VCSH,2010-10-29 00:00:00-04:00,0.156
VCSH,2010-11-30 00:00:00-05:00,0.148
VCSH,2010-12-27 00:00:00-05:00,0.226
VCSH,2011-01-31 00:00:00-05:00,0.144
VCSH,2011-02-28 00:00:00-05:00,0.135
VCSH,2011-03-31 00:00:00-04:00,0.167
VCSH,2011-04-29 00:00:00-04:00,0.141
VCSH,2011-05-31 00:00:00-04:00,0.154
VCSH,2011-06-30 00:00:00-04:00,0.149
VCSH,2011-07-29 00:00:00-04:00,0.157
VCSH,2011-08-31 00:00:00-04:00,0.147
VCSH,2011-09-30 00:00:00-04:00,0.149
VCSH,2011-10-31 00:00:00-04:00,0.153
VCSH,2011-11-30 00:00:00-05:00,0.149
VCSH,2011-12-23 00:00:00-05:00,0.248
VCSH,2012-01-31 00:00:00-05:00,0.146
VCSH,2012-02-29 00:00:00-05:00,0.143
VCSH,2012-03-30 00:00:00-04:00,0.153
VCSH,2012-04-30 00:00:00-04:00,0.144
VCSH,2012-05-31 00:00:00-04:00,0.152
VCSH,2012-06-29 00:00:00-04:00,0.148
VCSH,2012-07-31 00:00:00-04:00,0.151
VCSH,2012-08-31 00:00:00-04:00,0.145
VCSH,2012-09-28 00:00:00-04:00,0.139
VCSH,2012-11-02 00:00:00-04:00,0.136
VCSH,2012-11-30 00:00:00-05:00,0.132
VCSH,2012-12-24 00:00:00-05:00,0.249
VCSH,2013-01-31 00:00:00-05:00,0.128
VCSH,2013-02-28 00:00:00-05:00,0.121
VCSH,2013-03-28 00:00:00-04:00,0.136
VCSH,2013-04-30 00:00:00-04:00,0.115
VCSH,2013-05-31 00:00:00-04:00,0.122
VCSH,2013-06-28 00:00:00-04:00,0.119
VCSH,2013-07-31 00:00:00-04:00,0.122
VCSH,2013-08-30 00:00:00-04:00,0.115
VCSH,2013-09-30 00:00:00-04:00,0.12
VCSH,2013-10-31 00:00:00-04:00,0.122
VCSH,2013-11-29 00:00:00-05:00,0.119
VCSH,2013-12-24 00:00:00-05:00,0.298
VCSH,2014-02-03 00:00:00-05:00,0.115
VCSH,2014-03-03 00:00:00-05:00,0.119
VCSH,2014-04-01 00:00:00-04:00,0.128
VCSH,2014-05-01 00:00:00-04:00,0.118
VCSH,2014-06-02 00:00:00-04:00,0.122
VCSH,2014-07-01 00:00:00-04:00,0.119
VCSH,2014-08-01 00:00:00-04:00,0.121
VCSH,2014-09-02 00:00:00-04:00,0.114
VCSH,2014-10-01 00:00:00-04:00,0.122
VCSH,2014-11-03 00:00:00-05:00,0.125
VCSH,2014-12-01 00:00:00-05:00,0.118
VCSH,2014-12-23 00:00:00-05:00,0.277
VCSH,2015-02-02 00:00:00-05:00,0.116
VCSH,2015-03-02 00:00:00-05:00,0.124
VCSH,2015-04-01 00:00:00-04:00,0.134
VCSH,2015-05-01 00:00:00-04:00,0.124
VCSH,2015-06-01 00:00:00-04:00,0.128
VCSH,2015-07-01 00:00:00-04:00,0.128
VCSH,2015-08-03 00:00:00-04:00,0.131
VCSH,2015-09-01 00:00:00-04:00,0.128
VCSH,2015-10-01 00:00:00-04:00,0.132
VCSH,2015-12-01 00:00:00-05:00,0.133
VCSH,2015-12-23 00:00:00-05:00,0.23
VCSH,2016-02-01 00:00:00-05:00,0.111
VCSH,2016-03-01 00:00:00-05:00,0.135
VCSH,2016-04-01 00:00:00-04:00,0.14
VCSH,2016-05-02 00:00:00-04:00,0.137
VCSH,2016-06-01 00:00:00-04:00,0.144
VCSH,2016-07-01 00:00:00-04:00,0.144
VCSH,2016-08-01 00:00:00-04:00,0.143
VCSH,2016-09-01 00:00:00-04:00,0.14
VCSH,2016-10-03 00:00:00-04:00,0.14
VCSH,2016-11-01 00:00:00-04:00,0.137
VCSH,2016-12-01 00:00:00-05:00,0.136
VCSH,2016-12-22 00:00:00-05:00,0.162
VCSH,2017-02-01 00:00:00-05:00,0.119
VCSH,2017-03-01 00:00:00-05:00,0.14
VCSH,2017-04-03 00:00:00-04:00,0.15
VCSH,2017-05-01 00:00:00-04:00,0.147
VCSH,2017-06-01 00:00:00-04:00,0.15
VCSH,2017-07-03 00:00:00-04:00,0.149
VCSH,2017-08-01 00:00:00-04:00,0.151
VCSH,2017-09-01 00:00:00-04:00,0.151
VCSH,2017-10-02 00:00:00-04:00,0.152
VCSH,2017-11-01 00:00:00-04:00,0.153
VCSH,2017-12-01 00:00:00-05:00,0.153
VCSH,2017-12-26 00:00:00-05:00,0.173
VCSH,2018-02-01 00:00:00-05:00,0.143
VCSH,2018-03-01 00:00:00-05:00,0.142
VCSH,2018-04-02 00:00:00-04:00,0.183
VCSH,2018-05-01 00:00:00-04:00,0.158
VCSH,2018-06-01 00:00:00-04:00,0.174
VCSH,2018-07-02 00:00:00-04:00,0.165
VCSH,2018-08-01 00:00:00-04:00,0.18
VCSH,2018-09-04 00:00:00-04:00,0.174
