etf_id,date,dividend_per_unit,currency
VEA,2007-12-24,1.055,USD
VEA,2008-03-12,0.016,USD
VEA,2008-12-24,0.914,USD
VEA,2009-03-23,0.019,USD
VEA,2009-12-24,0.797,USD
VEA,2010-03-23,0.011,USD
VEA,2010-12-22,0.886,USD
VEA,2011-03-23,0.012,USD
VEA,2011-12-21,1.046,USD
VEA,2012-03-22,0.011,USD
VEA,2012-09-24,0.689,USD
VEA,2012-12-20,0.346,USD
VEA,2013-03-22,0.161,USD
VEA,2013-06-24,0.545,USD
VEA,2013-09-23,0.164,USD
VEA,2013-12-20,0.213,USD
VEA,2014-03-25,0.429,USD
VEA,2014-06-24,0.513,USD
VEA,2014-09-24,0.212,USD
VEA,2014-12-22,0.24,USD
VEA,2015-03-25,0.181,USD
VEA,2015-06-26,0.513,USD
VEA,2015-09-25,0.156,USD
VEA,2015-12-21,0.221,USD
VEA,2016-03-15,0.157,USD
VEA,2016-06-14,0.482,USD
VEA,2016-09-13,0.175,USD
VEA,2016-12-22,0.3,USD
VEA,2017-03-24,0.15,USD
VEA,2017-06-21,0.482,USD
VEA,2017-09-20,0.179,USD
VEA,2017-12-21,0.432,USD
VEA,2018-03-26,0.162,USD
VEA,2018-06-22,0.54,USD
VEA,2018-09-26,0.158,USD
VEA,2018-12-24,0.384,USD
VEA,2019-03-28,0.175,USD
VEA,2019-06-17,0.45,USD
VEA,2019-09-24,0.275,USD
VEA,2019-12-23,0.44,USD
VEA,2020-03-23,0.131,USD
VEA,2020-06-22,0.198,USD
VEA,2020-09-21,0.221,USD
VEA,2020-12-21,0.415,USD
VEA,2021-03-22,0.231,USD
VEA,2021-06-21,0.414,USD
VEA,2021-09-20,0.2,USD
VEA,2021-12-20,0.769,USD
VEA,2022-03-21,0.083,USD
VEA,2022-06-21,0.53,USD
VEA,2022-09-19,0.12,USD
VEA,2022-12-19,0.49,USD
VEA,2023-03-20,0.16,USD
VEA,2023-06-20,0.432,USD
VEA,2023-09-18,0.31,USD
VEA,2023-12-18,0.61,USD
VEA,2024-03-15,0.287,USD
VEA,2024-06-21,0.461,USD
VEA,2024-09-20,0.144,USD
VEA,2024-12-20,0.713,USD
VEA,2025-03-21,0.242,USD
VEA,2025-06-20,0.441,USD
