etf_id,date,dividend_per_unit,currency
VGIT,2009-12-24,0.16,USD
VGIT,2010-01-29,0.077,USD
VGIT,2010-02-26,0.089,USD
VGIT,2010-03-31,0.074,USD
VGIT,2010-04-30,0.105,USD
VGIT,2010-05-28,0.122,USD
VGIT,2010-06-30,0.106,USD
VGIT,2010-07-30,0.117,USD
VGIT,2010-08-31,0.11,USD
VGIT,2010-09-30,0.108,USD
VGIT,2010-10-29,0.111,USD
VGIT,2010-11-30,0.11,USD
VGIT,2010-12-27,0.728,USD
VGIT,2011-01-31,0.11,USD
VGIT,2011-02-28,0.101,USD
VGIT,2011-03-31,0.113,USD
VGIT,2011-04-29,0.109,USD
VGIT,2011-05-31,0.109,USD
VGIT,2011-06-30,0.107,USD
VGIT,2011-07-29,0.108,USD
VGIT,2011-08-31,0.106,USD
VGIT,2011-09-30,0.101,USD
VGIT,2011-10-31,0.099,USD
VGIT,2011-11-30,0.101,USD
VGIT,2011-12-23,0.226,USD
VGIT,2012-01-31,0.093,USD
VGIT,2012-02-29,0.09,USD
VGIT,2012-03-30,0.083,USD
VGIT,2012-04-30,0.09,USD
VGIT,2012-05-31,0.087,USD
VGIT,2012-06-29,0.084,USD
VGIT,2012-07-31,0.08,USD
VGIT,2012-08-31,0.084,USD
VGIT,2012-09-28,0.079,USD
VGIT,2012-11-02,0.077,USD
VGIT,2012-11-30,0.077,USD
VGIT,2012-12-24,0.759,USD
VGIT,2013-01-31,0.071,USD
VGIT,2013-02-28,0.07,USD
VGIT,2013-03-28,0.064,USD
VGIT,2013-04-30,0.069,USD
VGIT,2013-05-31,0.066,USD
VGIT,2013-06-28,0.072,USD
VGIT,2013-07-31,0.068,USD
VGIT,2013-08-30,0.069,USD
VGIT,2013-09-30,0.066,USD
VGIT,2013-10-31,0.071,USD
VGIT,2013-11-29,0.074,USD
VGIT,2013-12-24,0.263,USD
VGIT,2014-02-03,0.079,USD
VGIT,2014-03-03,0.081,USD
VGIT,2014-04-01,0.069,USD
VGIT,2014-05-01,0.081,USD
VGIT,2014-06-02,0.081,USD
VGIT,2014-07-01,0.085,USD
VGIT,2014-08-01,0.082,USD
VGIT,2014-09-02,0.079,USD
VGIT,2014-10-01,0.084,USD
VGIT,2014-11-03,0.085,USD
VGIT,2014-12-01,0.093,USD
VGIT,2014-12-23,0.097,USD
