etf_id,date,dividend_per_unit,currency
VGK,2005-12-27,1.38,USD
VGK,2006-12-22,1.809,USD
VGK,2007-12-24,2.356,USD
VGK,2008-12-24,2.901,USD
VGK,2009-12-24,1.912,USD
VGK,2010-12-22,2.306,USD
VGK,2011-12-21,1.908,USD
VGK,2012-09-24,1.078,USD
VGK,2012-12-20,0.391,USD
VGK,2013-03-22,0.238,USD
VGK,2013-06-24,0.95,USD
VGK,2013-09-23,0.204,USD
VGK,2013-12-20,0.237,USD
VGK,2014-03-25,0.878,USD
VGK,2014-06-24,0.984,USD
VGK,2014-09-24,0.268,USD
VGK,2014-12-22,0.291,USD
VGK,2015-03-25,0.316,USD
VGK,2015-06-26,0.879,USD
VGK,2015-09-25,0.225,USD
VGK,2015-12-21,0.202,USD
VGK,2016-03-15,0.272,USD
VGK,2016-06-14,0.924,USD
VGK,2016-09-13,0.265,USD
VGK,2016-12-20,0.226,USD
VGK,2017-03-22,0.277,USD
VGK,2017-06-21,0.777,USD
VGK,2017-09-20,0.231,USD
VGK,2017-12-19,0.314,USD
VGK,2018-03-26,0.278,USD
VGK,2018-06-22,1.11,USD
VGK,2018-09-26,0.222,USD
VGK,2018-12-24,0.311,USD
VGK,2019-03-25,0.306,USD
VGK,2019-06-17,0.96,USD
VGK,2019-09-24,0.322,USD
VGK,2019-12-23,0.331,USD
VGK,2020-03-23,0.246,USD
VGK,2020-06-22,0.347,USD
VGK,2020-09-21,0.303,USD
VGK,2020-12-18,0.378,USD
VGK,2020-12-21,0.378,USD
VGK,2021-03-22,0.271,USD
VGK,2021-06-21,0.74,USD
VGK,2021-09-20,0.392,USD
VGK,2021-12-20,0.678,USD
VGK,2022-03-21,0.139,USD
VGK,2022-06-21,1.048,USD
VGK,2022-09-19,0.218,USD
VGK,2022-12-19,0.398,USD
VGK,2023-03-20,0.213,USD
VGK,2023-06-20,1.099,USD
VGK,2023-09-18,0.261,USD
VGK,2023-12-18,0.457,USD
VGK,2024-03-15,0.37,USD
VGK,2024-06-21,1.032,USD
VGK,2024-09-20,0.171,USD
VGK,2024-12-20,0.719,USD
VGK,2025-03-21,0.294,USD
VGK,2025-06-20,1.107,USD
