Stock_ID,Ex-Dividend Date,Dividend Per Unit
VONG,2010-12-22 00:00:00-05:00,0.02175
VONG,2011-03-25 00:00:00-04:00,0.03975
VONG,2011-06-24 00:00:00-04:00,0.04675
VONG,2011-09-23 00:00:00-04:00,0.04425
VONG,2011-12-21 00:00:00-05:00,0.05775
VONG,2012-03-26 00:00:00-04:00,0.0475
VONG,2012-06-25 00:00:00-04:00,0.05625
VONG,2012-09-24 00:00:00-04:00,0.069
VONG,2012-12-20 00:00:00-05:00,0.11125
VONG,2013-03-22 00:00:00-04:00,0.05325
VONG,2013-06-24 00:00:00-04:00,0.07325
VONG,2013-09-23 00:00:00-04:00,0.07125
VONG,2013-12-20 00:00:00-05:00,0.084
VONG,2014-03-24 00:00:00-04:00,0.075
VONG,2014-06-23 00:00:00-04:00,0.09125
VONG,2014-09-22 00:00:00-04:00,0.0795
VONG,2015-03-23 00:00:00-04:00,0.0865
VONG,2015-06-22 00:00:00-04:00,0.08975
VONG,2015-09-21 00:00:00-04:00,0.08875
VONG,2015-12-21 00:00:00-05:00,0.11075
VONG,2016-03-21 00:00:00-04:00,0.08625
VONG,2016-06-21 00:00:00-04:00,0.08875
VONG,2016-09-20 00:00:00-04:00,0.11175
VONG,2016-12-14 00:00:00-05:00,0.1105
VONG,2017-03-22 00:00:00-04:00,0.09
VONG,2017-06-28 00:00:00-04:00,0.108
VONG,2017-09-27 00:00:00-04:00,0.102
VONG,2017-12-14 00:00:00-05:00,0.11
VONG,2018-03-22 00:00:00-04:00,0.0935
VONG,2018-06-28 00:00:00-04:00,0.1115
VONG,2018-09-26 00:00:00-04:00,0.17375
VONG,2018-12-13 00:00:00-05:00,0.0185
VONG,2019-03-25 00:00:00-04:00,0.094
VONG,2019-06-21 00:00:00-04:00,0.122
VONG,2019-09-26 00:00:00-04:00,0.127
VONG,2019-12-16 00:00:00-05:00,0.12275
VONG,2020-03-26 00:00:00-04:00,0.123
VONG,2020-06-25 00:00:00-04:00,0.112
VONG,2020-09-11 00:00:00-04:00,0.0835
VONG,2020-12-17 00:00:00-05:00,0.15625
VONG,2021-03-26 00:00:00-04:00,0.1025
VONG,2021-06-29 00:00:00-04:00,0.107
VONG,2021-09-29 00:00:00-04:00,0.121
VONG,2021-12-16 00:00:00-05:00,0.125
VONG,2022-03-24 00:00:00-04:00,0.115
VONG,2022-06-29 00:00:00-04:00,0.128
VONG,2022-09-28 00:00:00-04:00,0.151
VONG,2022-12-15 00:00:00-05:00,0.146
VONG,2023-03-23 00:00:00-04:00,0.128
VONG,2023-06-23 00:00:00-04:00,0.13
VONG,2023-09-21 00:00:00-04:00,0.128
VONG,2023-12-19 00:00:00-05:00,0.165
VONG,2024-03-21 00:00:00-04:00,0.155
VONG,2024-06-27 00:00:00-04:00,0.141
VONG,2024-09-26 00:00:00-04:00,0.139
VONG,2024-12-23 00:00:00-05:00,0.138
VONG,2025-03-25 00:00:00-04:00,0.137
VONG,2025-06-20 00:00:00-04:00,0.134
