Stock_ID,Ex-Dividend Date,Dividend Per Unit
VOO,2010-09-24 00:00:00-04:00,0.558
VOO,2010-12-27 00:00:00-05:00,0.526
VOO,2011-03-25 00:00:00-04:00,0.536
VOO,2011-06-24 00:00:00-04:00,0.57
VOO,2011-09-23 00:00:00-04:00,0.58
VOO,2011-12-23 00:00:00-05:00,0.686
VOO,2012-03-26 00:00:00-04:00,0.57
VOO,2012-06-25 00:00:00-04:00,0.64
VOO,2012-09-24 00:00:00-04:00,0.686
VOO,2012-12-24 00:00:00-05:00,0.94
VOO,2013-03-22 00:00:00-04:00,0.67
VOO,2013-06-24 00:00:00-04:00,0.738
VOO,2013-09-23 00:00:00-04:00,0.786
VOO,2013-12-24 00:00:00-05:00,0.914
VOO,2014-03-24 00:00:00-04:00,0.779
VOO,2014-06-23 00:00:00-04:00,0.809
VOO,2014-09-22 00:00:00-04:00,0.876
VOO,2015-03-23 00:00:00-04:00,0.984
VOO,2015-06-22 00:00:00-04:00,0.902
VOO,2015-09-21 00:00:00-04:00,0.953
VOO,2015-12-21 00:00:00-05:00,1.092
VOO,2016-03-21 00:00:00-04:00,1.006
VOO,2016-06-21 00:00:00-04:00,0.953
VOO,2016-09-13 00:00:00-04:00,0.883
VOO,2016-12-22 00:00:00-05:00,1.296
VOO,2017-03-22 00:00:00-04:00,0.998
VOO,2017-06-23 00:00:00-04:00,1.01
VOO,2017-09-20 00:00:00-04:00,1.176
VOO,2017-12-26 00:00:00-05:00,1.184
VOO,2018-03-26 00:00:00-04:00,1.084
VOO,2018-06-28 00:00:00-04:00,1.157
VOO,2018-09-26 00:00:00-04:00,1.207
VOO,2018-12-17 00:00:00-05:00,1.289
VOO,2019-03-21 00:00:00-04:00,1.455
VOO,2019-06-27 00:00:00-04:00,1.386
VOO,2019-09-26 00:00:00-04:00,1.301
VOO,2019-12-23 00:00:00-05:00,1.429
VOO,2020-03-10 00:00:00-04:00,1.178
VOO,2020-06-29 00:00:00-04:00,1.433
VOO,2020-09-29 00:00:00-04:00,1.309
VOO,2020-12-22 00:00:00-05:00,1.383
VOO,2021-03-26 00:00:00-04:00,1.263
VOO,2021-06-29 00:00:00-04:00,1.333
VOO,2021-09-29 00:00:00-04:00,1.308
VOO,2021-12-21 00:00:00-05:00,1.533
VOO,2022-03-24 00:00:00-04:00,1.374
VOO,2022-06-29 00:00:00-04:00,1.432
VOO,2022-09-28 00:00:00-04:00,1.469
VOO,2022-12-20 00:00:00-05:00,1.672
VOO,2023-03-24 00:00:00-04:00,1.487
VOO,2023-06-29 00:00:00-04:00,1.576
VOO,2023-09-28 00:00:00-04:00,1.493
VOO,2023-12-20 00:00:00-05:00,1.801
VOO,2024-03-22 00:00:00-04:00,1.543
VOO,2024-06-28 00:00:00-04:00,1.784
VOO,2024-09-27 00:00:00-04:00,1.639
VOO,2024-12-23 00:00:00-05:00,1.739
VOO,2025-03-27 00:00:00-04:00,1.812
VOO,2025-06-30 00:00:00-04:00,1.745
