Stock_ID,Ex-Dividend Date,Dividend Per Unit
VUG,2004-03-29 00:00:00-05:00,0.09
VUG,2004-06-28 00:00:00-04:00,0.07
VUG,2004-09-27 00:00:00-04:00,0.089
VUG,2004-12-27 00:00:00-05:00,0.364
VUG,2005-03-24 00:00:00-05:00,0.11
VUG,2005-06-27 00:00:00-04:00,0.091
VUG,2005-09-26 00:00:00-04:00,0.112
VUG,2005-12-27 00:00:00-05:00,0.147
VUG,2006-03-20 00:00:00-05:00,0.149
VUG,2006-06-26 00:00:00-04:00,0.114
VUG,2006-09-25 00:00:00-04:00,0.112
VUG,2006-12-22 00:00:00-05:00,0.153
VUG,2007-03-26 00:00:00-04:00,0.134
VUG,2007-06-25 00:00:00-04:00,0.153
VUG,2007-09-24 00:00:00-04:00,0.154
VUG,2007-12-20 00:00:00-05:00,0.159
VUG,2008-03-25 00:00:00-04:00,0.131
VUG,2008-06-24 00:00:00-04:00,0.14
VUG,2008-09-24 00:00:00-04:00,0.138
VUG,2008-12-22 00:00:00-05:00,0.168
VUG,2009-03-25 00:00:00-04:00,0.148
VUG,2009-06-24 00:00:00-04:00,0.145
VUG,2009-09-24 00:00:00-04:00,0.142
VUG,2009-12-22 00:00:00-05:00,0.179
VUG,2010-03-25 00:00:00-04:00,0.145
VUG,2010-06-24 00:00:00-04:00,0.149
VUG,2010-09-24 00:00:00-04:00,0.203
VUG,2010-12-27 00:00:00-05:00,0.203
VUG,2011-03-25 00:00:00-04:00,0.17
VUG,2011-06-24 00:00:00-04:00,0.195
VUG,2011-09-23 00:00:00-04:00,0.174
VUG,2011-12-23 00:00:00-05:00,0.227
VUG,2012-03-26 00:00:00-04:00,0.194
VUG,2012-06-25 00:00:00-04:00,0.209
VUG,2012-09-24 00:00:00-04:00,0.248
VUG,2012-12-24 00:00:00-05:00,0.422
VUG,2013-03-22 00:00:00-04:00,0.227
VUG,2013-06-24 00:00:00-04:00,0.258
VUG,2013-09-23 00:00:00-04:00,0.278
VUG,2013-12-24 00:00:00-05:00,0.347
VUG,2014-03-25 00:00:00-04:00,0.275
VUG,2014-06-24 00:00:00-04:00,0.275
VUG,2014-09-24 00:00:00-04:00,0.304
VUG,2014-12-22 00:00:00-05:00,0.406
VUG,2015-03-25 00:00:00-04:00,0.332
VUG,2015-06-22 00:00:00-04:00,0.296
VUG,2015-09-21 00:00:00-04:00,0.347
VUG,2015-12-17 00:00:00-05:00,0.413
VUG,2016-03-21 00:00:00-04:00,0.32
VUG,2016-06-14 00:00:00-04:00,0.323
VUG,2016-09-13 00:00:00-04:00,0.376
VUG,2016-12-22 00:00:00-05:00,0.528
VUG,2017-03-24 00:00:00-04:00,0.379
VUG,2017-06-23 00:00:00-04:00,0.341
VUG,2017-09-22 00:00:00-04:00,0.411
VUG,2017-12-21 00:00:00-05:00,0.475
VUG,2018-03-22 00:00:00-04:00,0.359
VUG,2018-06-22 00:00:00-04:00,0.419
VUG,2018-09-28 00:00:00-04:00,0.467
VUG,2018-12-24 00:00:00-05:00,0.527
VUG,2019-03-28 00:00:00-04:00,0.432
VUG,2019-06-27 00:00:00-04:00,0.413
VUG,2019-09-16 00:00:00-04:00,0.385
VUG,2019-12-24 00:00:00-05:00,0.508
VUG,2020-03-26 00:00:00-04:00,0.398
VUG,2020-06-25 00:00:00-04:00,0.419
VUG,2020-09-25 00:00:00-04:00,0.406
VUG,2020-12-24 00:00:00-05:00,0.461
VUG,2021-03-25 00:00:00-04:00,0.381
VUG,2021-06-24 00:00:00-04:00,0.374
VUG,2021-09-24 00:00:00-04:00,0.317
VUG,2021-12-27 00:00:00-05:00,0.469
VUG,2022-03-23 00:00:00-04:00,0.301
VUG,2022-06-23 00:00:00-04:00,0.321
VUG,2022-09-23 00:00:00-04:00,0.43
VUG,2022-12-22 00:00:00-05:00,0.448
VUG,2023-03-23 00:00:00-04:00,0.429
VUG,2023-06-23 00:00:00-04:00,0.412
VUG,2023-09-21 00:00:00-04:00,0.376
VUG,2023-12-21 00:00:00-05:00,0.585
VUG,2024-03-21 00:00:00-04:00,0.468
VUG,2024-06-27 00:00:00-04:00,0.456
VUG,2024-09-26 00:00:00-04:00,0.455
VUG,2024-12-23 00:00:00-05:00,0.534
VUG,2025-03-27 00:00:00-04:00,0.5
VUG,2025-06-30 00:00:00-04:00,0.504
