etf_id,date,dividend_per_unit,currency
VWO,2005-12-27,0.5385,USD
VWO,2006-12-22,0.6695,USD
VWO,2007-12-24,0.9845,USD
VWO,2008-12-24,1.178,USD
VWO,2009-12-24,0.545,USD
VWO,2010-12-22,0.815,USD
VWO,2011-12-21,0.906,USD
VWO,2012-09-24,0.525,USD
VWO,2012-12-20,0.45,USD
VWO,2013-03-22,0.058,USD
VWO,2013-06-24,0.506,USD
VWO,2013-09-23,0.345,USD
VWO,2013-12-20,0.216,USD
VWO,2014-03-25,0.105,USD
VWO,2014-06-24,0.418,USD
VWO,2014-09-24,0.446,USD
VWO,2014-12-22,0.174,USD
VWO,2015-03-25,0.071,USD
VWO,2015-06-26,0.386,USD
VWO,2015-09-25,0.45,USD
VWO,2015-12-21,0.159,USD
VWO,2016-03-15,0.057,USD
VWO,2016-06-14,0.223,USD
VWO,2016-09-13,0.45,USD
VWO,2016-12-20,0.17,USD
VWO,2017-03-22,0.071,USD
VWO,2017-06-21,0.253,USD
VWO,2017-09-20,0.522,USD
VWO,2017-12-21,0.212,USD
VWO,2018-03-26,0.089,USD
VWO,2018-06-22,0.275,USD
VWO,2018-09-26,0.475,USD
VWO,2018-12-24,0.259,USD
VWO,2019-03-25,0.082,USD
VWO,2019-06-17,0.279,USD
VWO,2019-09-24,0.519,USD
VWO,2019-12-23,0.559,USD
VWO,2020-03-23,0.058,USD
VWO,2020-06-22,0.17,USD
VWO,2020-09-21,0.426,USD
VWO,2020-12-21,0.301,USD
VWO,2021-03-22,0.068,USD
VWO,2021-06-21,0.28,USD
VWO,2021-09-20,0.473,USD
VWO,2021-12-20,0.478,USD
VWO,2022-03-21,0.134,USD
VWO,2022-06-21,0.306,USD
VWO,2022-09-19,0.529,USD
VWO,2022-12-19,0.635,USD
VWO,2023-03-20,0.028,USD
VWO,2023-06-20,0.227,USD
VWO,2023-09-18,0.328,USD
VWO,2023-12-18,0.865,USD
VWO,2024-03-15,0.039,USD
VWO,2024-06-21,0.17,USD
VWO,2024-09-20,0.134,USD
VWO,2024-12-20,1.066,USD
VWO,2025-03-21,0.047,USD
VWO,2025-06-20,0.139,USD
