etf_id,date,dividend_per_unit,currency
XLE,1999-03-19,0.09,USD
XLE,1999-06-18,0.146,USD
XLE,1999-09-17,0.13,USD
XLE,1999-12-17,0.08,USD
XLE,2000-03-17,0.096,USD
XLE,2000-06-16,0.151,USD
XLE,2000-09-15,0.143,USD
XLE,2000-12-15,0.091,USD
XLE,2001-03-16,0.097,USD
XLE,2001-06-15,0.151,USD
XLE,2001-09-21,0.141,USD
XLE,2001-12-21,0.106,USD
XLE,2002-03-15,0.096,USD
XLE,2002-06-21,0.156,USD
XLE,2002-09-20,0.115,USD
XLE,2002-12-20,0.116,USD
XLE,2003-03-21,0.119,USD
XLE,2003-06-20,0.118,USD
XLE,2003-09-19,0.121,USD
XLE,2003-12-19,0.122,USD
XLE,2004-03-19,0.127,USD
XLE,2004-06-18,0.124,USD
XLE,2004-09-17,0.133,USD
XLE,2004-12-17,0.131,USD
XLE,2005-03-18,0.144,USD
XLE,2005-06-17,0.141,USD
XLE,2005-09-16,0.148,USD
XLE,2005-12-16,0.137,USD
XLE,2006-03-17,0.161,USD
XLE,2006-06-16,0.197,USD
XLE,2006-09-15,0.177,USD
XLE,2006-12-15,0.184,USD
XLE,2007-03-16,0.187,USD
XLE,2007-06-15,0.203,USD
XLE,2007-09-21,0.198,USD
XLE,2007-12-21,0.199,USD
XLE,2008-03-20,0.203,USD
XLE,2008-06-20,0.228,USD
XLE,2008-09-19,0.215,USD
XLE,2008-12-19,0.239,USD
XLE,2009-03-20,0.23,USD
XLE,2009-06-19,0.254,USD
XLE,2009-09-18,0.246,USD
XLE,2009-12-18,0.304,USD
XLE,2010-03-19,0.203,USD
XLE,2010-06-18,0.252,USD
XLE,2010-09-17,0.249,USD
XLE,2010-12-17,0.293,USD
XLE,2011-03-18,0.255,USD
XLE,2011-06-17,0.265,USD
XLE,2011-09-16,0.264,USD
XLE,2011-12-16,0.277,USD
XLE,2012-03-16,0.285,USD
XLE,2012-06-15,0.311,USD
XLE,2012-09-21,0.334,USD
XLE,2012-12-21,0.371,USD
XLE,2013-03-15,0.357,USD
XLE,2013-06-21,0.374,USD
XLE,2013-09-20,0.393,USD
XLE,2013-12-20,0.403,USD
XLE,2014-03-21,0.427,USD
XLE,2014-06-20,0.464,USD
XLE,2014-09-19,0.483,USD
XLE,2014-12-19,0.485,USD
XLE,2015-03-20,0.515,USD
XLE,2015-06-19,0.509,USD
XLE,2015-09-18,0.478,USD
XLE,2015-12-18,0.542,USD
XLE,2016-03-18,0.452,USD
XLE,2016-06-17,0.436,USD
XLE,2016-09-16,0.411,USD
XLE,2016-12-16,0.402,USD
XLE,2017-03-17,0.419,USD
XLE,2017-06-16,0.449,USD
XLE,2017-09-15,0.865,USD
XLE,2017-12-15,0.458,USD
XLE,2018-03-16,0.475,USD
XLE,2018-06-15,0.512,USD
XLE,2018-09-21,0.513,USD
XLE,2018-12-21,0.53,USD
XLE,2019-03-15,0.514,USD
XLE,2019-06-21,0.576,USD
XLE,2019-09-20,0.56,USD
XLE,2019-12-20,0.593,USD
XLE,2019-12-30,1.791,USD
XLE,2020-03-23,0.566,USD
XLE,2020-06-22,0.501,USD
XLE,2020-09-21,0.544,USD
XLE,2020-12-21,0.52,USD
XLE,2021-03-22,0.52,USD
XLE,2021-06-21,0.53,USD
XLE,2021-09-20,0.592,USD
XLE,2021-12-20,0.695,USD
XLE,2022-03-21,0.7,USD
XLE,2022-06-21,0.815,USD
XLE,2022-09-19,0.846,USD
XLE,2022-12-19,0.86,USD
XLE,2023-03-20,0.795,USD
XLE,2023-06-20,0.706,USD
XLE,2023-09-18,0.674,USD
XLE,2023-12-18,0.802,USD
XLE,2024-03-18,0.734,USD
XLE,2024-06-24,0.715,USD
XLE,2024-09-23,0.727,USD
XLE,2024-12-23,0.7,USD
XLE,2025-03-24,0.716,USD
XLE,2025-06-23,0.718,USD
