Stock_ID,Ex-Dividend Date,Dividend Per Unit
XLK,1999-12-17 00:00:00-05:00,0.001
XLK,2002-12-20 00:00:00-05:00,0.041
XLK,2003-12-19 00:00:00-05:00,0.141
XLK,2004-12-17 00:00:00-05:00,0.418
XLK,2005-12-16 00:00:00-05:00,0.148
XLK,2006-09-15 00:00:00-04:00,0.044
XLK,2006-12-15 00:00:00-05:00,0.135
XLK,2007-06-15 00:00:00-04:00,0.018
XLK,2007-09-21 00:00:00-04:00,0.053
XLK,2007-12-21 00:00:00-05:00,0.123
XLK,2008-03-20 00:00:00-04:00,0.006
XLK,2008-06-20 00:00:00-04:00,0.069
XLK,2008-09-19 00:00:00-04:00,0.071
XLK,2008-12-19 00:00:00-05:00,0.081
XLK,2009-03-20 00:00:00-04:00,0.077
XLK,2009-06-19 00:00:00-04:00,0.081
XLK,2009-09-18 00:00:00-04:00,0.077
XLK,2009-12-18 00:00:00-05:00,0.079
XLK,2010-03-19 00:00:00-04:00,0.073
XLK,2010-06-18 00:00:00-04:00,0.079
XLK,2010-09-17 00:00:00-04:00,0.081
XLK,2010-12-17 00:00:00-05:00,0.09
XLK,2011-03-18 00:00:00-04:00,0.084
XLK,2011-06-17 00:00:00-04:00,0.098
XLK,2011-09-16 00:00:00-04:00,0.094
XLK,2011-12-16 00:00:00-05:00,0.109
XLK,2012-03-16 00:00:00-04:00,0.096
XLK,2012-06-15 00:00:00-04:00,0.109
XLK,2012-09-21 00:00:00-04:00,0.13
XLK,2012-12-21 00:00:00-05:00,0.168
XLK,2013-03-15 00:00:00-04:00,0.124
XLK,2013-06-21 00:00:00-04:00,0.155
XLK,2013-09-20 00:00:00-04:00,0.158
XLK,2013-12-20 00:00:00-05:00,0.171
XLK,2014-03-21 00:00:00-04:00,0.157
XLK,2014-06-20 00:00:00-04:00,0.176
XLK,2014-09-19 00:00:00-04:00,0.174
XLK,2014-12-19 00:00:00-05:00,0.216
XLK,2015-03-20 00:00:00-04:00,0.173
XLK,2015-06-19 00:00:00-04:00,0.193
XLK,2015-09-18 00:00:00-04:00,0.183
XLK,2015-12-18 00:00:00-05:00,0.216
XLK,2016-03-18 00:00:00-04:00,0.22
XLK,2016-06-17 00:00:00-04:00,0.211
XLK,2016-09-16 00:00:00-04:00,0.196
XLK,2016-12-16 00:00:00-05:00,0.216
XLK,2017-03-17 00:00:00-04:00,0.205
XLK,2017-06-16 00:00:00-04:00,0.223
XLK,2017-09-15 00:00:00-04:00,0.209
XLK,2017-12-15 00:00:00-05:00,0.238
XLK,2018-03-16 00:00:00-04:00,0.218
XLK,2018-06-15 00:00:00-04:00,0.255
XLK,2018-09-21 00:00:00-04:00,0.254
XLK,2018-12-21 00:00:00-05:00,0.265
XLK,2019-03-15 00:00:00-04:00,0.233
XLK,2019-06-21 00:00:00-04:00,0.278
XLK,2019-09-20 00:00:00-04:00,0.253
XLK,2019-12-20 00:00:00-05:00,0.295
XLK,2020-03-23 00:00:00-04:00,0.371
XLK,2020-06-22 00:00:00-04:00,0.281
XLK,2020-09-21 00:00:00-04:00,0.247
XLK,2020-12-21 00:00:00-05:00,0.298
XLK,2021-03-22 00:00:00-04:00,0.273
XLK,2021-06-21 00:00:00-04:00,0.26
XLK,2021-09-20 00:00:00-04:00,0.273
XLK,2021-12-20 00:00:00-05:00,0.317
XLK,2022-03-21 00:00:00-04:00,0.286
XLK,2022-06-21 00:00:00-04:00,0.323
XLK,2022-09-19 00:00:00-04:00,0.317
XLK,2022-12-19 00:00:00-05:00,0.365
XLK,2023-03-20 00:00:00-04:00,0.316
XLK,2023-06-20 00:00:00-04:00,0.362
XLK,2023-09-18 00:00:00-04:00,0.36
XLK,2023-12-18 00:00:00-05:00,0.422
XLK,2024-03-18 00:00:00-04:00,0.339
XLK,2024-06-24 00:00:00-04:00,0.4
XLK,2024-09-23 00:00:00-04:00,0.399
XLK,2024-12-23 00:00:00-05:00,0.386
XLK,2025-03-24 00:00:00-04:00,0.375
XLK,2025-06-23 00:00:00-04:00,0.398
